,state,participation,ebrw,math,total
0,Alabama,0.05,593,572,1165
1,Alaska,0.38,547,533,1080
2,Arizona,0.3,563,553,1116
3,Arkansas,0.03,614,594,1208
4,California,0.53,531,524,1055
5,Colorado,0.11,606,595,1201
6,Connecticut,1.0,530,512,1041
7,Delaware,1.0,503,492,996
8,District of Columbia,1.0,482,468,950
9,Florida,0.83,520,497,1017
10,Georgia,0.61,535,515,1050
11,Hawaii,0.55,544,541,1085
12,Idaho,0.93,513,493,1005
13,Illinois,0.09,559,556,1115
14,Indiana,0.63,542,532,1074
15,Iowa,0.02,641,635,1275
16,Kansas,0.04,632,628,1260
17,Kentucky,0.04,631,616,1247
18,Louisiana,0.04,611,586,1198
19,Maine,0.95,513,499,1012
20,Maryland,0.69,536,524,1060
21,Massachusetts,0.76,555,551,1107
22,Michigan,1.0,509,495,1005
23,Minnesota,0.03,644,651,1295
24,Mississippi,0.02,634,607,1242
25,Missouri,0.03,640,631,1271
26,Montana,0.1,605,591,1196
27,Nebraska,0.03,629,625,1253
28,Nevada,0.26,563,553,1116
29,New Hampshire,0.96,532,520,1052
30,New Jersey,0.7,530,526,1056
31,New Mexico,0.11,577,561,1138
32,New York,0.67,528,523,1052
33,North Carolina,0.49,546,535,1081
34,North Dakota,0.02,635,621,1256
35,Ohio,0.12,578,570,1149
36,Oklahoma,0.07,530,517,1047
37,Oregon,0.43,560,548,1108
38,Pennsylvania,0.65,540,531,1071
39,Rhode Island,0.71,539,524,1062
40,South Carolina,0.5,543,521,1064
41,South Dakota,0.03,612,603,1216
42,Tennessee,0.05,623,604,1228
43,Texas,0.62,513,507,1020
44,Utah,0.03,624,614,1238
45,Vermont,0.6,562,551,1114
46,Virginia,0.65,561,541,1102
47,Washington,0.64,541,534,1075
48,West Virginia,0.14,558,528,1086
49,Wisconsin,0.03,642,649,1291
50,Wyoming,0.03,626,604,1230
