,state,participation,ebrw,math,total
0,Alabama,0.07,583,560,1143
1,Alaska,0.41,556,541,1097
2,Arizona,0.31,569,565,1134
3,Arkansas,0.06,582,559,1141
4,California,0.63,534,531,1065
5,Colorado,1.0,518,506,1024
6,Connecticut,1.0,529,516,1046
7,Delaware,1.0,499,486,985
8,District of Columbia,0.94,495,480,975
9,Florida,1.0,516,483,999
10,Georgia,0.71,538,519,1058
11,Hawaii,0.54,550,550,1100
12,Idaho,1.0,505,488,993
13,Illinois,1.0,509,504,1013
14,Indiana,0.66,543,537,1080
15,Iowa,0.03,622,622,1244
16,Kansas,0.04,618,623,1241
17,Kentucky,0.04,620,612,1232
18,Louisiana,0.05,610,591,1200
19,Maine,0.99,512,502,1013
20,Maryland,0.82,535,523,1058
21,Massachusetts,0.81,559,561,1120
22,Michigan,1.0,507,496,1003
23,Minnesota,0.04,636,648,1284
24,Mississippi,0.03,628,608,1237
25,Missouri,0.04,622,615,1236
26,Montana,0.09,603,596,1199
27,Nebraska,0.03,628,631,1260
28,Nevada,0.2,580,576,1156
29,New Hampshire,0.95,533,526,1059
30,New Jersey,0.82,544,545,1090
31,New Mexico,0.18,543,530,1073
32,New York,0.79,531,533,1064
33,North Carolina,0.51,554,546,1100
34,North Dakota,0.02,627,636,1263
35,Ohio,0.19,550,548,1097
36,Oklahoma,0.22,490,472,963
37,Oregon,0.51,562,550,1112
38,Pennsylvania,0.7,545,537,1082
39,Rhode Island,1.0,503,492,995
40,South Carolina,0.68,526,504,1030
41,South Dakota,0.03,633,635,1268
42,Tennessee,0.07,618,602,1220
43,Texas,0.68,515,507,1022
44,Utah,0.04,614,615,1230
45,Vermont,0.66,560,546,1106
46,Virginia,0.68,567,551,1119
47,Washington,0.7,539,535,1074
48,West Virginia,0.99,483,460,943
49,Wisconsin,0.03,635,648,1283
50,Wyoming,0.03,623,615,1238
