SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
35,20190035,F,260,NA,IP (Y),SCHOOL Y,,58.8,,48.9,,,,71.1,73.7,,,,,,,,70.5,,,,,,,,,,,,,,,,,,2
36,20190036,F,252,NA,IP (Y),SCHOOL Y,,52.4,,27.1,,,,58.8,,,,,,,49.9,,,,,,,,,,,,,,,,55.5,,,,1
37,20190037,F,243,NA,IP (Y),SCHOOL Y,,45.7,,51.1,45.6,,54.6,,,,,,34.4,,,,,,,,,,,,,,,,,,,,,,2
38,20190038,F,259,NA,IP (Y),SCHOOL Y,,63.3,,60,,,67.5,70.2,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,1
39,20190039,F,235,NA,DSA (CCA),CHIJ SECONDARY (TOA PAYOH),,42.5,,50.2,,,51.7,47.3,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,1
40,20190040,F,229,NA,IP (Y),SCHOOL Y,,46.7,,49.8,,,,44.5,49.6,,,,,,,,,,,,,,,,,,,,,,49.9,,,,1
41,20190041,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,47.5,,53,,,,66.2,70.4,,,,56.3,,,,,,,,,,,,,,,,,,,,,,1
42,20190042,M,250,NA,IP (X),SCHOOL X,,66.7,,90.4,,93.9,79.2,,,,,,70.2,,,,,,,,,,,,,,,,,,,,,,2
43,20190043,F,267,NA,IP (Y),SCHOOL Y,,49.3,,51.2,,,45,71.5,,,,,37.8,,,,,,,,,,,,,,,,,,,,,,1
44,20190044,F,266,NA,IP (Y),SCHOOL Y,,58.2,,83.6,,,,90.9,77.9,62.8,,,,,,,,,,,,,,,,,,,,,,,,,1
