SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
155,20190155,F,254,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,53.1,,37.4,,,,49.6,57.1,,,,48.3,,,,,,,,,,,,,,,,,,,,,,2
156,20190156,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52.3,,62.2,,,,79.7,74,,,,68.5,,,,,,,,,,,,,,,,,,,,,,2
157,20190157,F,250,NA,IP (Y),SCHOOL Y,,55.1,,45.6,,,,56.4,59.8,,,,,,,,,,,,,,,,,,,,,,66.2,,,,0
158,20190158,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,49.9,,54.8,,,43,47.3,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,1
159,20190159,F,227,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,49.4,,39.7,,,46,44.4,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,1
160,20190160,M,257,NA,IP (X),SCHOOL X,,51.6,,56,,,,60.2,57.7,,,,45.1,,,,,,,,,,,,,,,,,,,,,,1
161,20190161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,62,,64.6,,,,72.3,64.4,,,,46.2,,,,,,,,,,,,,,,,,,,,,,1
162,20190162,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,45.7,,41.8,,,,39.9,46.3,,,,42.5,,,,,,,,,,,,,,,,,,,,,,2
163,20190163,F,264,NA,IP (Y),SCHOOL Y,,61.6,,61,,,,,,,,66.3,67.5,,63,,,,,,,,,,,,,,,,,,,,2
164,20190164,M,257,NA,IP (X),SCHOOL X,,59,,94.8,,,90.2,85.2,,,,,74.7,,,,,,,,,,,,,,,,,,,,,,1
165,20190165,F,270,NA,IP (Y),SCHOOL Y,,58.8,,48.2,,,69.5,76.8,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,1
166,20190166,M,257,NA,IP (X),SCHOOL X,,57.2,,81.7,,,68.3,84.3,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,2
167,20190167,F,255,NA,IP (Y),SCHOOL Y,,47.8,,57.3,,,,59.9,47.3,,,,51.9,,,,,,,,,,,,,,,,,,,,,,1
168,20190168,F,261,NA,IP (Y),SCHOOL Y,,53.6,,59.7,,,,60.9,54.8,,,,47.5,,,,,,,,,,,,,,,,,,,,,,1
169,20190169,M,249,NA,IP (X),SCHOOL X,,51,,50.3,,,,58.8,48.6,,,,58.3,,,,,,,,,,,,,,,,,,,,,,2
170,20190170,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,57.8,,59.3,,,75.6,80,,,,,73.3,,,,,,,,,,,,,,,,,,,,,,2
171,20190171,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,58.2,,90,,,81.7,88.6,,,,,69.8,,,,,,,,,,,,,,,,,,,,,,1
172,20190172,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,65.2,,MC,,,,73.3,76.2,,,,68.1,,,,,,,,,,,,,,,,,,,,,,1
173,20190173,M,255,NA,IP (X),SCHOOL X,,52.1,,45.9,,,55,64.7,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,1
174,20190174,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,54.8,,62.8,,,55.2,51,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
175,20190175,F,262,NA,IP (Y),SCHOOL Y,,60.2,,47,,,60.1,59.7,,,,,49.9,,,,,,,,,,,,,,,,,,,,,,1
176,20190176,M,260,NA,IP (X),SCHOOL X,,58.8,,53.6,,,54.5,54.2,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,1
177,20190177,M,230,NA,DSA,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,,48.8,,52.4,,,61.2,48.8,,,,,53.8,,,,,,,,,,,,,,,,,,,,,,3
178,20190178,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,47.6,,38.6,,,,,,,56.2,,,47.3,,,,51,,,,,,,,,,,,,,,,,1
179,20190179,F,260,NA,IP (Y),SCHOOL Y,,55.8,,61.2,,,,77.5,78.1,59,,,,,,,,,,,,,,,,,,,,,,,,,1
180,20190180,F,255,NA,IP (Y),SCHOOL Y,,55.3,,27.8,,,36.8,39.3,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,1
181,20190181,F,258,NA,IP (Y),SCHOOL Y,,59.5,,69.2,,,,65.3,69.6,,,,56.5,,,,,,,,,,,,,,,,,,,,,,1
182,20190182,F,264,NA,IP (Y),SCHOOL Y,,61.6,,60.8,,,,56.6,59.4,,,,,,,,,,,75,,,,,,,,,,,,,,,1
183,20190183,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,49.5,,51.8,,,,64.1,50.3,,,,56,,,,,,,,,,,,,,,,,,,,,,1
184,20190184,M,253,NA,IP (X),SCHOOL X,,55.2,,57,,,,68.2,66.6,,,,51.3,,,,,,,,,,,,,,,,,,,,,,1
185,20190185,M,255,NA,IP (X),SCHOOL X,,62.7,,52.8,,,63.5,69,,,,,,,,,69.4,,,,,,,,,,,,,,,,,,2
186,20190186,F,263,NA,IP (Y),SCHOOL Y,,54.3,,32.6,,,,55.1,50.9,,,,,,,,,,,,,54.9,,,,,,,,,,,,,1
187,20190187,F,0,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,56.7,,29.7,,,,,,56.2,,,51.8,,47.4,,,,,,,,,,,,,,,,,,,,1
188,20190188,F,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,,58.7,,80.4,,,,90.1,74,,,,68.1,,,,,,,,,,,,,,,,,,,,,,2
189,20190189,F,259,NA,IP (Y),SCHOOL Y,,56.9,,64.7,,,,70.2,67.4,,,,69,,,,,,,,,,,,,,,,,,,,,,1
190,20190190,F,259,NA,IP (Y),SCHOOL Y,,62.4,,54.6,,,,,,,61.2,,,70.3,,,,79.4,,,,,,,,,,,,,,,,,3
191,20190191,F,264,NA,IP (Y),SCHOOL Y,,57.4,,64,,,72,72,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,2
192,20190192,F,246,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,54.7,,58.3,,,,,,,60.4,,,59.6,,52,,,,,,,,,,,,,,,,,,,2
193,20190193,F,258,NA,IP (Y),SCHOOL Y,,54.1,,50.7,,,60,55.4,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,1
194,20190194,M,255,NA,IP (X),SCHOOL X,,52,,71.8,,,,74.7,73.8,,,,55.9,,,,,,,,,,,,,,,,,,,,,,2
195,20190195,F,261,NA,IP (Y),SCHOOL Y,,62.1,,50,,,,,,68.5,,,61,,55.1,,,,,,,,,,,,,,,,,,,,1
196,20190196,M,255,NA,IP (X),SCHOOL X,,55.2,,61.5,,,,72,64.3,,,,64.9,,,,,,,,,,,,,,,,,,,,,,2
197,20190197,M,253,NA,IP (X),SCHOOL X,,46.2,,41.8,,,41.5,47.1,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,2
198,20190198,M,255,NA,IP (X),SCHOOL X,,62.3,,40,,,48.4,58.5,,,,,49.9,,,,,,,,,,,,,,,,,,,,,,1
199,20190199,M,256,NA,IP (X),SCHOOL X,,47.3,,58.2,,,53.1,72.3,,,,,54,,,,,,,,,,,,,,,,,,,,,,1
200,20190200,M,259,NA,IP (X),SCHOOL X,,55.3,,77.4,,,,88.1,74.8,,,,,,,,,,,,,,,,,64.7,,,,,,,,,1
201,20190201,M,258,NA,IP (X),SCHOOL X,,59.1,,49.4,,,52.8,51.9,,,,,54.7,,,,,,,,,,,,,,,,,,,,,,1
202,20190202,M,260,NA,IP (X),SCHOOL X,,55.5,,36,,,,,,,54.4,,,MC,,56.8,,,,,,,,,,,,,,,,,,,1
203,20190203,F,270,NA,IP (Y),SCHOOL Y,,57.3,,66.6,,,,54.3,77.5,,,,63.1,,,,,,,,,,,,,,,,,,,,,,1
204,20190204,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,49.9,,51.8,,,,,,63.3,,,48.8,,50.7,,,,,,,,,,,,,,,,,,,,1
205,20190205,M,263,NA,IP (X),SCHOOL X,,64.4,,57.6,,,70.3,80.7,,,,,72.3,,,,,,,,,,,,,,,,,,,,,,1
206,20190206,F,261,NA,IP (Y),SCHOOL Y,,49.3,,50.1,,,55.4,51.1,,,,,58.7,,,,,,,,,,,,,,,,,,,,,,1
207,20190207,F,244,NA,Appeals (Academic),ST. MARGARET'S SECONDARY SCHOOL,,54,,45.3,,,,54.3,55.9,,,,51.6,,,,,,,,,,,,,,,,,,,,,,1
208,20190208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,52.3,,41.3,,,46.2,60.9,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
209,20190209,M,244,NA,IP (X),SCHOOL X,,56.5,,54.6,,,64.9,63.2,,,,,52,,,,,,,,,,,,,,,,,,,,,,2
210,20190210,M,261,NA,IP (X),SCHOOL X,,56.3,,55.8,,,,69.8,73.5,,,,52.1,,,,,,,,,,,,,,,,,,,,,,2
211,20190211,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,59,,64,,,73.2,78.3,,,,68.8,,,,,,,,,,,,,,,,,,,,,,,1
212,20190212,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,,EX,66.7,,,,,,,,59.2,,,31,,,,46.2,,,,,,,,,,,,,,,,,2
213,20190213,M,256,NA,IP (X),SCHOOL X,,48.9,,59,,,57.1,64.9,,,,,59.1,,,,,,,,,,,,,,,,,,,,,,1
214,20190214,F,0,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,51.7,,68.3,,70.2,53.3,,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,2
215,20190215,F,260,NA,IP (Y),SCHOOL Y,,53.9,,40,,,51.2,,,57.7,,,,,,,,,,,,,,,,,,,,,53,,,,1
216,20190216,M,258,NA,IP (X),SCHOOL X,,65.4,,55.7,,,66.5,64.1,,,,,53.3,,,,,,,,,,,,,,,,,,,,,,2
217,20190217,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,39.9,,70.6,,,60,59.6,,,,,44,,,,,,,,,,,,,,,,,,,,,,2
218,20190218,F,0,NA,IP (Y),SCHOOL Y,70.2,,,87.3,,,88.1,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2
219,20190219,F,223,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,54.2,,43.3,,,,50.9,56.3,,,,,,,,,,,,,,,,,,,,,,73.5,,,,1
220,20190220,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,43.4,,46.5,,,45.3,61.4,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,1
221,20190221,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,,57.7,,46.1,,,42,,,,,,52.4,,,,,,,,,59.3,,,,,,,,,,,,,0
222,20190222,M,256,NA,IP (X),SCHOOL X,,64.1,,59.5,,,67.7,64.9,,,,,59.8,,,,,,,,,,,,,,,,,,,,,,1
223,20190223,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,53.4,,61.9,,,66.3,64.1,,,,,49.4,,,,,,,,,,,,,,,,,,,,,,1
224,20190224,M,232,NA,IP (X),SCHOOL X,,44.1,,41,,,,59.1,58.4,,,,49.8,,,,,,,,,,,,,,,,,,,,,,1
225,20190225,F,0,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,,54.9,,37.5,,,,44.8,,,,,54.9,,54.6,,,,,,,,,,,,,,,,,,,,1
226,20190226,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,61,,28.1,,,MC,,,,,,,,46.2,,,,,,,,,,,,,,,,55.4,,,,2
227,20190227,F,271,NA,IP (Y),SCHOOL Y,,59.1,,55.2,,,,62,66.6,,,,59.8,,,,,,,,,,,,,,,,,,,,,,1
228,20190228,F,263,NA,IP (Y),SCHOOL Y,,59.4,,43.6,,,47.9,54.9,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,1
229,20190229,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,71.3,,,58.1,,,,,,59.5,,,,,63.2,,,,,,,,,,,,,,,,,,,,1
230,20190230,M,258,NA,IP (X),SCHOOL X,,57.1,,61.5,48.9,,61.9,,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,1
231,20190231,F,245,NA,IP (Y),SCHOOL Y,,53.2,,41.9,,,,51.7,60.6,,,,55.6,,,,,,,,,,,,,,,,,,,,,,1
232,20190232,F,258,NA,IP (Y),SCHOOL Y,,59.2,,36.2,,,,36.6,47,,,,38.2,,,,,,,,,,,,,,,,,,,,,,1
233,20190233,F,259,NA,IP (Y),SCHOOL Y,,59,,61.9,,,,72.6,76.8,,,,65.7,,,,,,,,,,,,,,,,,,,,,,1
234,20190234,F,265,NA,IP (Y),SCHOOL Y,,,76.4,66.3,,,,,,,64.4,,,70.5,,,,,,,,,,,,,,,,,,,,,1
235,20190235,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,,57.3,,62.8,,,,66.7,74,,,,58.2,,,,,,,,,,,,,,,,,,,,,,1
236,20190236,F,257,NA,IP (Y),SCHOOL Y,,55.6,,48.5,,,,73.4,67.2,,,,51.1,,,,,,,,,,,,,,,,,,,,,,1
237,20190237,F,233,NA,IP (Y),SCHOOL Y,,52.3,,41.3,,,,58.5,58.1,,,,,,,,,,,,,,,,,,,,,,49,,,,1
238,20190238,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,51.2,,75.9,,,,74.9,,,,,65.5,,,,,,,,,55.2,,,,,,,,,,,,,1
239,20190239,M,254,NA,IP (X),SCHOOL X,,51.1,,26.3,,,,,,,,,38.6,,,,38.4,,,,,,,,,,,,58.9,,,,,,1
240,20190240,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,55.4,,80.1,,,,80.8,63.2,,,,54.6,,,,,,,,,,,,,,,,,,,,,,1
241,20190241,M,245,NA,IP (X),SCHOOL X,,53.7,,43.1,,,58.5,61.4,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,1
242,20190242,F,251,NA,IP (Y),SCHOOL Y,,57.2,,63.9,,,62.1,57,,,,,51.1,,,,,,,,,,,,,,,,,,,,,,2
243,20190243,F,261,NA,IP (Y),SCHOOL Y,,57.2,,60.1,,,,61.9,62.8,,,,54.1,,,,,,,,,,,,,,,,,,,,,,1
244,20190244,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,47.6,,36,,,,51.5,64.5,,,,49.9,,,,,,,,,,,,,,,,,,,,,,1
245,20190245,F,263,NA,IP (Y),SCHOOL Y,,50.7,,33,,,,42.7,55.2,,,,36.1,,,,,,,,,,,,,,,,,,,,,,1
246,20190246,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,51.4,,52.9,,,,64.1,63.3,,,,54.6,,,,,,,,,,,,,,,,,,,,,,1
247,20190247,F,268,NA,IP (Y),SCHOOL Y,,49,,45,,,,63.6,48.8,,,,,,,,,,,,67.4,,,,,,,,,,,,,,1
248,20190248,F,269,NA,IP (Y),SCHOOL Y,,66.3,,57.4,,,,58,75.3,,,,,,,,,,,,,,61.8,,,,,,,,,,,,1
249,20190249,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,48.7,,29.1,,,,MC,,,,,40,,44.3,,,,,,,,,,,,,,,,,,,,1
250,20190250,F,266,NA,IP (Y),SCHOOL Y,,63.1,,64,,,,76.2,68.6,,,,,,,,,,,,,68.1,,,,,,,,,,,,,2
251,20190251,F,266,NA,IP (Y),SCHOOL Y,,60.5,,41.7,,,,59.5,70.6,,,,49.8,,,,,,,,,,,,,,,,,,,,,,1
252,20190252,M,264,NA,IP (X),SCHOOL X,,61.5,,78.4,,,74.1,79,,,,,,,,,,,,,,,,75.5,,,,,,,,,,,1
253,20190253,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,56.4,,55.2,,,,53,66.8,,,,55.2,,,,,,,,,,,,,,,,,,,,,,1
254,20190254,F,239,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),,49.8,,40,,,40.6,,,,,,45.3,,,,,,,,,,,,,,,,57.2,,,,,,1
255,20190255,M,260,NA,IP (X),SCHOOL X,68.6,,,44.7,,,43.1,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1
256,20190256,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,51.3,,62.3,,,58.5,56.8,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,1
257,20190257,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,46,,38.2,,,,48.9,53.6,,,,39.5,,,,,,,,,,,,,,,,,,,,,,2
258,20190258,M,260,NA,IP (X),SCHOOL X,,52.5,,70.4,,,,71.1,65.2,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
259,20190259,F,261,NA,IP (Y),SCHOOL Y,,58.4,,37.5,,,,,,59.1,,,49.3,,50.3,,,,,,,,,,,,,,,,,,,,1
260,20190260,M,0,NA,IP (X),SCHOOL X,,,65.3,,,,,,,,62,,,,,65.6,,,,,,,,,,63.4,,,,,,,,,2
261,20190261,M,250,NA,IP (X),SCHOOL X,,55.4,,31.4,,,53.1,39.7,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,1
262,20190262,F,242,NA,IP (Y),SCHOOL Y,,64.7,,,,,,,,58.8,,,48,,55.5,,,,,,,,,,,,69.2,,,,,,,,1
263,20190263,F,261,NA,IP (Y),SCHOOL Y,,56.2,,52,,,,75.8,61.4,,,,60.2,,,,,,,,,,,,,,,,,,,,,,1
264,20190264,F,262,NA,IP (Y),SCHOOL Y,,58,,36.6,,,,MC,,,,,63.1,,,,MC,,,,,,,,,,,,,,,,,,1
265,20190265,F,259,NA,IP (Y),SCHOOL Y,,60.2,,54.9,,41.1,49.4,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,1
266,20190266,F,265,NA,IP (Y),SCHOOL Y,,49.7,,74.4,58.1,,53,,,,,,46.6,,,,,,,,,,,,,,,,,,,,,,2
267,20190267,M,266,NA,IP (X),SCHOOL X,,65.7,,79.3,,,68.4,78.8,,,,,69.3,,,,,,,,,,,,,,,,,,,,,,2
268,20190268,M,255,NA,IP (X),SCHOOL X,,49.8,,56.5,,,61.4,70.9,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,0
269,20190269,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,,42.8,,69.3,,,59,64.1,,,,,,,,,,,,,63.6,,,,,,,,,,,,,,1
270,20190270,M,241,NA,DSA,ANGLICAN HIGH SCHOOL,,,61,33.1,,,,,,,57.2,,,50.8,,,,,,,,,,,,,,,,,,,,,2
271,20190271,F,261,NA,IP (Y),SCHOOL Y,,55.5,,48.5,,,,65.1,62.3,,,,48,,,,,,,,,,,,,,,,,,,,,,1
272,20190272,M,254,NA,IP (X),SCHOOL X,,42.9,,63.6,,,62.3,,,,,,51.3,,,,,,,,,65.7,,,,,,,,,,,,,1
273,20190273,F,268,NA,IP (Y),SCHOOL Y,,70.8,,69.3,,,,71.9,80.4,,,,65.5,,,,,,,,,,,,,,,,,,,,,,1
274,20190274,F,249,NA,IP (Y),SCHOOL Y,,56.1,,66.4,,,,59.9,61.8,,,,,,,,,,,71.8,,,,,,,,,,,,,,,1
275,20190275,F,267,NA,IP (Y),SCHOOL Y,,65.2,,65.7,,,71.7,71.3,,,,,65.3,,,,,,,,,,,,,,,,,,,,,,2
276,20190276,F,261,NA,IP (Y),SCHOOL Y,,48.5,,50.5,,56.4,57.8,,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,1
277,20190277,M,0,NA,JAE Ordinary Admission,SCHOOL X,,52.7,,52.8,,,56.2,57.2,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,1
278,20190278,M,254,NA,IP (X),SCHOOL X,,56.2,,63.6,,,63.4,76,,,,,64,,,,,,,,,,,,,,,,,,,,,,1
279,20190279,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52.1,,35.5,,,,46.3,54.6,,,,48.8,,,,,,,,,,,,,,,,,,,,,,1
280,20190280,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,57.1,,50.3,,,,46.7,52.4,,,,49.9,,,,,,,,,,,,,,,,,,,,,,1
281,20190281,M,260,NA,IP (X),SCHOOL X,,51.4,,29.7,,,55.7,56.7,,,,,51,,,,,,,,,,,,,,,,,,,,,,1
282,20190282,M,256,NA,IP (X),SCHOOL X,,47.8,,89.4,67.7,,79.7,,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,1
283,20190283,F,258,NA,IP (Y),SCHOOL Y,,46.5,,48.8,,46.3,47,,,,,,53.3,,,,,,,,,,,,,,,,,,,,,,1
284,20190284,F,264,NA,IP (Y),SCHOOL Y,,55.7,,49.5,,,,47.2,56.2,,,,,,,,,,,,,,,,,,,,,,,55.5,,,1
285,20190285,M,256,NA,IP (X),SCHOOL X,,49.2,,47.6,,,,,,,,,53.5,,,,,,,,47,52.6,,,,,,,,,,,,,0
286,20190286,F,247,NA,IP (Y),SCHOOL Y,,50.6,,47.8,,,,60.2,63.4,,,,57.3,,,,,,,,,,,,,,,,,,,,,,1
287,20190287,F,257,NA,IP (Y),SCHOOL Y,,51.3,,47.8,,53.8,50.6,,,,,,,,,,,,,,,,56.2,,,,,,,,,,,,1
288,20190288,F,264,NA,IP (Y),SCHOOL Y,,48.2,,41.4,,,,,,,50.6,,,39.8,,,,,,,,55.9,,,,,,,,,,,,,1
289,20190289,F,257,NA,IP (Y),SCHOOL Y,,62.7,,62,,,,,,,73.6,,,52.1,,68.8,,,,,,,,,,,,,,,,,,,1
290,20190290,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,52.6,,56.4,,,55.7,48.8,,,,,53.4,,,,,,,,,,,,,,,,,,,,,,1
291,20190291,F,260,NA,IP (Y),SCHOOL Y,74.7,,,46.6,,,52.5,63.2,,,,,,,,,,,,,,,,,,,,,,,67.8,,,,1
292,20190292,M,255,NA,IP (X),SCHOOL X,,55.1,,60.6,,,,76,82.2,,,,61.4,,,,,,,,,,,,,,,,,,,,,,1
293,20190293,M,0,NA,IP (X),SCHOOL X,,56.4,,41.5,,,57.8,50.1,,,,,49.7,,,,,,,,,,,,,,,,,,,,,,0
294,20190294,F,267,NA,IP (Y),SCHOOL Y,,62,,70.8,,,,82.5,69.5,,,,,,,,,,,,,,,,,,,,,,76.9,,,,1
295,20190295,F,267,NA,IP (Y),SCHOOL Y,,55.5,,54.6,,,,58.3,70.5,,,,58.3,,,,,,,,,,,,,,,,,,,,,,2
296,20190296,F,260,NA,IP (Y),SCHOOL Y,,65.1,,42.3,,67.6,62.7,,,,,,58.9,,,,,,,,,,,,,,,,,,,,,,1
297,20190297,M,265,NA,IP (X),SCHOOL X,,58.3,,87.2,,88.4,,93.8,,,,,72.6,,,,,,,,,,,,,,,,,,,,,,1
298,20190298,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,46.1,,34.6,,,,,,55.4,,,49,,52.5,,,,,,,,,,,,,,,,,,,,1
299,20190299,F,262,NA,IP (Y),SCHOOL Y,,68.8,,42.5,,,,,,,66.8,,,60.5,,70,,,,,,,,,,,,,,,,,,,1
300,20190300,F,260,NA,IP (Y),SCHOOL Y,,56.9,,58.5,,,68.9,73.2,,,,,,,,,,,,,,70.2,,,,,,,,,,,,,1
301,20190301,F,264,NA,IP (Y),SCHOOL Y,,56.2,,69.3,,,80.3,72.1,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,1
302,20190302,F,262,NA,IP (Y),SCHOOL Y,,60.5,,70.3,,,70.6,81.3,,,,,62.7,,,,,,,,,,,,,,,,,,,,,,1
303,20190303,M,257,NA,IP (X),SCHOOL X,,51.4,,37.9,,,,44.9,53.7,,,,46.9,,,,,,,,,,,,,,,,,,,,,,1
304,20190304,M,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,,48.1,,63.4,,,74,62.1,,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
305,20190305,M,264,NA,IP (X),SCHOOL X,,57.1,,65,,,,77.1,70.1,,,,59.1,,,,,,,,,,,,,,,,,,,,,,1
306,20190306,M,256,NA,IP (X),SCHOOL X,,54.4,,67.2,,,67,72.8,,,,,62,,,,,,,,,,,,,,,,,,,,,,1
307,20190307,F,266,NA,IP (Y),SCHOOL Y,,61,,66.2,,,,68.7,,,,,67.6,,,,,,,,,66.5,,,,,,,,,,,,,2
308,20190308,F,266,NA,IP (Y),SCHOOL Y,,64.3,,46.2,,,,64.3,65.7,,,,,,,,63.5,,,,,,,,,,,,,,,,,,2
309,20190309,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,52.8,,51.7,,,62.2,56.8,,,,,,,,,,,,,55.9,,,,,,,,,,,,,,1
310,20190310,F,0,NA,IP (Y),SCHOOL Y,,50.3,,49.8,,,,52.7,57,,,,57.4,,,,,,,,,,,,,,,,,,,,,,1
311,20190311,M,257,NA,IP (X),SCHOOL X,,62.6,,84.4,,,80.9,90.9,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,2
312,20190312,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,48.8,,37.3,,,,48.6,,57.9,,,55.9,,,,,,,,,,,,,,,,,,,,,,2
313,20190313,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,52,,31.8,,,,45.3,54.6,,,,53.8,,,,,,,,,,,,,,,,,,,,,,1
314,20190314,M,254,NA,IP (X),SCHOOL X,,55.4,,72.9,,,73.2,,,64.5,,,64.5,,,,,,,,,,,,,,,,,,,,,,1
315,20190315,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,54.7,,47.7,,,,49.6,54.3,,,,50,,,,,,,,,,,,,,,,,,,,,,1
316,20190316,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,53.3,,58.7,,,61.2,54.3,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,1
317,20190317,M,255,NA,IP (X),SCHOOL X,,59.1,,63.2,,,75.4,72.4,,,,,55,,,,,,,,,,,,,,,,,,,,,,2
318,20190318,M,262,NA,IP (X),SCHOOL X,,59.8,,67.8,,,75.2,75.9,,,,,,,,,,,,,,63.9,,,,,,,,,,,,,1
319,20190319,M,262,NA,IP (X),SCHOOL X,,60.9,,56.7,,,68.1,71.8,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,2
320,20190320,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),,58.2,,81,,,,92.3,,,,,79.7,,,,73.6,,,,,,,,,,,,,,,,,,1
