SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
147,20200147,M,0,NA,IP (X),SCHOOL X,0,63,,,85,,,69.3,82.9,,,,,,,,,,,,,,65.7,,,,,,,,,,,,,,58,,,,,1
148,20200148,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,53,,,58.8,,,46.5,45.8,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
149,20200149,M,0,NA,IP (X),SCHOOL X,0,65,,,59.7,,,,58.4,,,,,59.9,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
150,20200150,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,53,,,30.5,,,30,37.1,,,,,,,,,47.9,,,,,,,,,,,,,,,,,,,,,,,,1
151,20200151,F,0,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,0,59,,,66.9,,,,73.9,61,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
152,20200152,F,0,NA,IP (Y),SCHOOL Y,0,64,,,64.6,,,69.1,73.4,,,,,64.3,,,,,,,,,,,,,,,,,,,,,,48,,,,,,2
153,20200153,M,0,NA,IP (X),SCHOOL X,0,71,,,85.5,,,,88.9,87.9,,,,67.6,,,,,,,,,,,,,,,,,,,,,,,,76,,,,2
154,20200154,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,66,,,60.5,,,,69.1,69.7,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
155,20200155,F,234,NA,DSA (CCA),TEMASEK SECONDARY SCHOOL,0,63,,,73.5,,,,63.8,62.8,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156,20200156,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,70,,,47.7,,68.9,,53.1,,,,,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
157,20200157,F,0,NA,IP (Y),SCHOOL Y,0,,,76.7,62.3,,,,,,,69,,,68.1,,,,,,,,,,,,,,,,,,,,,,,,55,,,1
158,20200158,M,0,NA,IP (X),SCHOOL X,0,54,,,34.6,,,45,36.3,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,1
159,20200159,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,60,,,32.9,,,37.4,38.9,,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,,,,,,1
160,20200160,M,0,NA,IP (X),SCHOOL X,0,71,,,57.5,,,44,,,,,,49.9,,,,,,,,59,,,,,,,,,,,,,,,,,,,,1
161,20200161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,65,,,,,,,45,,,,,47.6,,55.5,,,,,,,,,,,,,66.3,,,,,,,,,,,,,1
162,20200162,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,53,,,78.3,,,73.1,73,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
163,20200163,F,0,NA,IP (Y),SCHOOL Y,0,68,,,84.1,64,,65.1,,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
164,20200164,M,0,NA,IP (X),SCHOOL X,0,73,,,66.1,,,,51.7,64.9,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
165,20200165,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,57,,,53,,,43.3,58.2,,,,,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,1
166,20200166,M,0,NA,IP (X),SCHOOL X,0,66,,,61,,,,,,70.7,,,59.9,,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,2
167,20200167,M,0,NA,IP (X),SCHOOL X,0,66,,,44.1,,,,57.6,64.6,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,65.3,,,,1
168,20200168,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,61,,,53.5,,,55.4,63.4,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
169,20200169,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,59,,,69.4,,,,76.9,68.4,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
170,20200170,F,0,NA,IP (Y),SCHOOL Y,0,66,,,63.4,,,,65.1,69.7,,,,65.3,,,,,,,,,,,,,,,,,,,,,,,,,51,,,1
171,20200171,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),0,58,,,58.4,,,44.5,61.5,,,,,,,,,,,,,65.5,,,,,,,,,,,,,,,,,,,,1
172,20200172,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,60,,,53,,,57.7,62.2,,,,,,,,,,,,,,,,,71.9,,,,,,,,,,,,,,,,2
173,20200173,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,71,,,51.4,,,,63.2,63.7,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
174,20200174,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),0,60,,,38.6,,,,,,,65,,,44.3,,,,63.1,,,,,,,,,,,,,,,,,,,,,,,1
175,20200175,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,0,74.5,,,66.9,,,,,,,65.7,,,65.1,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,2
176,20200176,F,0,NA,IP (Y),SCHOOL Y,0,64,,,34.4,,,,39.3,46.2,,,,,,,,,,,,,,,,,,,,,,,57.8,,,,,,,,,1
177,20200177,F,0,NA,IP (Y),SCHOOL Y,0,69,,,69.2,,,,68.4,65,,,,,,,,,,,,,73.3,,,,,,,,,,,,,,,,,,,1
178,20200178,M,0,NA,IP (X),SCHOOL X,0,58,,,50.9,,,43.3,38.3,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,,,,1
179,20200179,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,77,,,61.8,,,,64.2,,,,,69.6,,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,2
180,20200180,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,69,,,67.3,,,,62.6,,65.3,,,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
181,20200181,F,0,NA,IP (Y),SCHOOL Y,0,54,,,38,,,41.3,45.1,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,,1
182,20200182,M,0,NA,IP (X),SCHOOL X,0,63,,,68.5,,,,73.6,60.9,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
183,20200183,M,0,NA,IP (X),SCHOOL X,0,78.5,,,80.2,,,,,,,66.7,,,70.4,,70.5,,,,,,,,,,,,,,,,,,,,,,,,,2
184,20200184,M,0,NA,IP (X),SCHOOL X,0,67,,,75.5,,,,80.3,76.8,,,,63.9,,,,,,,,,,,,,,,,,,,,,,,47,,,,,1
185,20200185,F,0,NA,IP (Y),SCHOOL Y,0,64,,,,,,,42.9,,60.7,,,40.4,,,,,,,,,,,,,,,81.5,,,,,,,,,,,,,1
186,20200186,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,53,,,57.4,,,42.4,46.6,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187,20200187,F,0,NA,IP (Y),SCHOOL Y,0,55,,,55.7,,,,50.1,52,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
188,20200188,F,0,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,0,67,,,52.8,,,50.5,56.8,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
189,20200189,M,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,0,57,,,73.4,,,,74.4,65.9,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
190,20200190,M,0,NA,IP (X),SCHOOL X,0,64,,,53.4,,,62.5,63.7,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
191,20200191,M,0,NA,JAE Ordinary Admission,PEI HWA SECONDARY SCHOOL,0,60,,,51.8,,65.2,67,,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,55,,,1
192,20200192,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,65,,,44.5,,,42.5,44.5,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
193,20200193,F,0,NA,IP (Y),SCHOOL Y,0,65,,,55.1,,,,62,59.3,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
194,20200194,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),0,67,,,52.8,,,59.5,48.2,,,,,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
195,20200195,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,0,59,,,62.3,,,55.9,65.9,,,,,,,,,60.6,,,,,,,,,,,,,,,,,,,,,,,,1
196,20200196,F,0,NA,IP (Y),SCHOOL Y,0,61,,,47.2,,,,45.9,58.5,,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
197,20200197,F,0,NA,DSA (CCA),CLEMENTI TOWN SECONDARY SCHOOL,0,66,,,,,,,,,65.3,,,60.7,,59.5,,,,,,,,,,,,,71.7,,,,,,,,,,,,,1
198,20200198,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,52,,,48.3,,,,68.8,56.9,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
199,20200199,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,0,60,,,70.6,,,,59.7,58,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
200,20200200,F,0,NA,IP (Y),SCHOOL Y,0,66,,,17,,,,42.1,50.4,,,,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,1
201,20200201,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,72,,,68.4,,,,72.2,68.3,,,,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
202,20200202,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,65,,,83,,,,,,68.7,,,66.7,,75,,,,,,,,,,,,,,,,,,,,,,,,,,1
203,20200203,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,57,,,70.4,,,75.4,72.2,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
204,20200204,F,0,NA,IP (Y),SCHOOL Y,0,73,,,83.8,,,63.6,72.8,,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
205,20200205,M,0,NA,IP (X),SCHOOL X,0,65,,,63.3,,,,66.7,69.7,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
206,20200206,F,233,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,0,62,,,42.9,,,,34.3,35.6,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,1
207,20200207,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,68,,,54.1,,,,57.2,,,,,57.2,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
208,20200208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,69,,,74.2,,,62,62.3,,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
209,20200209,F,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,0,58,,,41.8,,,,,,,,,56.4,,,,59.1,,,,,70.5,,,,,,,,,,,,,,,,,,,1
210,20200210,F,0,NA,IP (Y),SCHOOL Y,0,65,,,41.2,,,43,,,,,,51.1,,,,,,,,,,,,,,,,,70.8,,,,,,,,,,,2
211,20200211,M,0,NA,JAE Ordinary Admission,CHANGKAT CHANGI SECONDARY SCHOOL,0,58,,,74.6,,,79.1,76.9,,,,,,,,,,,,,,80,,,,,,,,,,,,,66,,,,,,1
212,20200212,M,0,NA,IP (X),SCHOOL X,0,59,,,54.6,,,48.3,67.6,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
213,20200213,M,0,NA,IP (X),SCHOOL X,0,60,,,69.2,,,,68.2,64.8,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
214,20200214,M,0,NA,IP (X),SCHOOL X,0,67,,,52.9,,,54.8,63.6,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
215,20200215,M,0,NA,IP (X),SCHOOL X,0,62,,,87,,88.7,83.4,,,,,,55.6,,,,,,,,,,,,,,,,,,,,,,81,,,,,,1
216,20200216,M,0,NA,IP (X),SCHOOL X,0,72,,,91.5,,,80.3,85.9,,,,,67.6,,,,,,,,,,,,,,,,,,,,,,,37,,,,,1
217,20200217,M,0,NA,IP (X),SCHOOL X,0,71,,,33.9,,,,,,,63.7,,,48.4,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,1
218,20200218,M,0,NA,IP (X),SCHOOL X,0,64,,,52.9,,,43.7,46.9,,,,,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,53.3,,1
219,20200219,M,0,NA,IP (X),SCHOOL X,0,61,,,62.3,,,,56.3,59.8,,,,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
220,20200220,F,0,NA,IP (Y),SCHOOL Y,0,50,,,27.1,,43,31,,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
221,20200221,M,0,NA,IP (X),SCHOOL X,0,60,,,60.4,,,70.4,79.8,,,,,,,,,,,,,63.3,,,,,,,,,,,,,,,,,,,,1
222,20200222,F,0,NA,IP (Y),SCHOOL Y,0,59,,,63.3,,,76.8,71.7,,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223,20200223,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,0,39,,,49,,,54.8,53.7,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,1
224,20200224,M,0,NA,IP (X),SCHOOL X,0,59,,,72.5,,,57.6,55.3,,,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
225,20200225,M,0,NA,IP (X),SCHOOL X,0,,76.7,,95.8,,,,92.5,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,62,82.7,,,,1
226,20200226,M,0,NA,IP (X),SCHOOL X,0,59,,,74.3,,,60.1,71.1,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
227,20200227,M,0,NA,IP (X),SCHOOL X,0,71,,,83.3,,,,85,75.2,,,,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
228,20200228,F,0,NA,IP (Y),SCHOOL Y,0,63,,,60.2,,,,70.4,64.1,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
229,20200229,F,0,NA,IP (Y),SCHOOL Y,0,68,,,75.7,,,,75.7,74.2,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
230,20200230,M,0,NA,IP (X),SCHOOL X,0,60,,,63.9,,,53.5,65.5,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
231,20200231,M,0,NA,IP (X),SCHOOL X,0,74.5,,,54.4,,,,,,,61.3,,,45.9,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,1
232,20200232,M,0,NA,IP (X),SCHOOL X,0,,73.3,,88.5,,,90.2,81,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,1
233,20200233,F,242,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),0,68,,,53.3,,,54.7,57.6,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
234,20200234,F,0,NA,IP (Y),SCHOOL Y,0,,74.2,,71.1,,,68.6,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,2
235,20200235,F,0,NA,IP (Y),SCHOOL Y,0,55,,,50.7,,,,58.6,55.4,,,,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,2
236,20200236,F,0,NA,IP (Y),SCHOOL Y,0,57,,,61.1,,,,60.5,64.7,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
237,20200237,M,0,NA,IP (X),SCHOOL X,0,69,,,72.9,,,,76.7,68.3,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
238,20200238,F,243,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,0,65,,,30.7,,,,,,64,,,46.4,,54,,,,,,,,,,,,,,,,,,,,,,,,,,1
239,20200239,M,0,NA,IP (X),SCHOOL X,0,62,,,57.8,,,,80.6,74.6,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,40,,,,,1
240,20200240,M,0,NA,IP (X),SCHOOL X,0,75,,,85.5,,,,83.1,74.8,,,,67.6,,,,,,,,,,,,,,,,,,,,,,,50,,,,,2
241,20200241,M,250,NA,DSA (CCA),SCHOOL X,0,57,,,49.7,,,43.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,1
242,20200242,M,248,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,0,67,,,74.7,,,,72.3,63.4,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,1
243,20200243,M,0,NA,IP (X),SCHOOL X,0,77,,,65.7,,,,,,,,,56.8,,62,,,,,,,,70,,,,,,,,,,,,,,,,,,1
244,20200244,M,0,NA,IP (X),SCHOOL X,0,65,,,41.4,,,,37.1,,,,,53.5,,63,,,,,,,,,,,,,,,,,,,,,,,,,,1
245,20200245,M,0,NA,IP (X),SCHOOL X,0,65,,,65.6,,,,67.7,58.9,,,,,,,,58.7,,,,,,,,,,,,,,,,,,,,,,,,1
246,20200246,M,0,NA,IP (X),SCHOOL X,0,60,,,52.8,,,,69.2,59.5,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
247,20200247,M,0,NA,IP (X),SCHOOL X,0,65,,,73.7,,,66.5,73.6,,,,,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
248,20200248,M,0,NA,IP (X),SCHOOL X,0,64,,,69.1,,,55.9,64.2,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
249,20200249,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,0,42,,,67.4,,,56.1,57,,,,,,,,,,,,,67.3,,,,,,,,,,,,,,,,,,,,1
250,20200250,F,0,NA,JAE Ordinary Admission,DUNMAN SECONDARY SCHOOL,0,61,,,87,,,78.6,83.7,,,,,66.8,,,,,,,,,,,,,,,,,,,,,,,69,,,,,1
251,20200251,M,215,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,0,43,,,32.6,,,36.4,34,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,1
252,20200252,F,0,NA,IP (Y),SCHOOL Y,0,69,,,69.4,,,,54.9,58.6,,,,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
253,20200253,M,0,NA,IP (X),SCHOOL X,0,61,,,65.1,,,62.2,70.4,,,,,,,,,,,74.7,,,,,,,,,,,,,,,,,,,,60,,2
254,20200254,F,0,NA,IP (Y),SCHOOL Y,0,56,,,36.7,,,33.4,38.3,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,1
255,20200255,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,67,,,91.4,,,,88.9,78.7,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
256,20200256,M,0,NA,JAE Ordinary Admission,YISHUN SECONDARY SCHOOL,0,63,,,84.6,,,78.8,86.5,,,,,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
257,20200257,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),0,78,,,78.7,,,,74.5,82.4,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
258,20200258,F,0,NA,IP (Y),SCHOOL Y,0,67,,,46.7,,,,68.6,68.2,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
259,20200259,F,0,NA,IP (Y),SCHOOL Y,0,66,,,84.1,,,77.9,75.7,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,59,,,,,,1
260,20200260,F,0,NA,IP (Y),SCHOOL Y,0,57,,,70.3,,,,74.4,68.3,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,30.5,,,,,1
261,20200261,M,235,Repeat Yr1,DSA (CCA),NAN HUA HIGH SCHOOL,0,45,,,19.4,,,18.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,1
262,20200262,F,0,NA,IP (Y),SCHOOL Y,0,54,,,63.8,,,63.9,59.3,,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
263,20200263,M,0,NA,IP (X),SCHOOL X,0,57,,,65.4,,,54.7,62.8,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
264,20200264,F,0,NA,IP (Y),SCHOOL Y,0,59,,,,,,,,,,,,42.5,,60,,,,,,,44.3,,,,,,40.2,,,,,,,,,,,,,1
265,20200265,F,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,0,47,,,45.9,,,,54.3,48.6,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
266,20200266,M,0,NA,IP (X),SCHOOL X,0,49,,,74.1,,83.4,71.4,,,,,,58.7,,,,,,,,,,,,,,,,,,,,,64,,,,,,,1
267,20200267,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,66,,,67.9,,,60.3,63.4,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,35,,,,,1
268,20200268,M,0,NA,IP (X),SCHOOL X,0,70,,,81.3,,,81,81.4,,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
269,20200269,M,246,NA,DSA,NAN HUA HIGH SCHOOL,0,,,73.3,62,,,,,,,69.7,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,2
270,20200270,M,0,NA,IP (X),SCHOOL X,0,63,,,57.4,,,68.6,69.5,,,,,,,,,,,,75.6,,,,,,,,,,,,,,,,,,,,,1
271,20200271,M,0,NA,IP (X),SCHOOL X,0,61,,,49,,,,58.7,50.6,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
272,20200272,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,67,,,36.4,,,,57.6,58.9,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
273,20200273,M,0,NA,IP (X),SCHOOL X,0,,,71.7,,,,,,,,63,,,56.1,,69.5,,,,,,,,,,,,69.6,,,,,,,,,,,,,2
274,20200274,F,0,NA,IP (Y),SCHOOL Y,0,76,,,68.2,,,,70.3,71.5,,,,67.2,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,2
275,20200275,F,0,NA,IP (Y),SCHOOL Y,0,66,,,64.5,,,64.3,77.1,,,,,,,,,,,,,,,61.5,,,,,,,,,,,,,,,,,,2
276,20200276,M,0,NA,IP (X),SCHOOL X,0,58,,,63.9,,,,79.5,60.4,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
277,20200277,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,52,,,40.3,,,,41,46.6,,,,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
278,20200278,F,0,NA,IP (Y),SCHOOL Y,0,72,,,64.8,,,,59.6,68.1,,,,,,,,,,,,,,,70.7,,,,,,,,,,,,,,,,,1
279,20200279,F,0,NA,IP (Y),SCHOOL Y,0,70,,,80.1,,87.5,78,,,,,,69.5,,,,,,,,,,,,,,,,,,,,,,65,,,,,,3
280,20200280,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",0,66,,,60.9,,,60,67.5,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,33,,,,,2
281,20200281,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,62,,,49.1,,,,81.2,66.8,,,,56.4,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,1
282,20200282,M,0,NA,IP (X),SCHOOL X,0,,75,,65,,,,68.8,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,1
283,20200283,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,58,,,42,,,61.4,56.6,,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
284,20200284,M,0,NA,IP (X),SCHOOL X,0,62,,,45,,,,41.2,57.1,,,,46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
285,20200285,M,0,NA,IP (X),SCHOOL X,0,69,,,77.2,,,,71.9,68.3,,,,71.2,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,1
286,20200286,F,0,NA,IP (Y),SCHOOL Y,0,62,,,58.8,,,,64.1,,67.3,,,,,,,,,,78.2,,,,,,,,,,,,,,,,,,,,,2
287,20200287,F,0,NA,IP (Y),SCHOOL Y,0,62,,,44.7,,,,60.4,,,,,59.7,,,,,,,,,,68.5,,,,,,,,,,,,,,,,,,1
288,20200288,F,252,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,62,,,52.3,,,,56.8,65.1,,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
289,20200289,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,69,,,59.8,,,,56.7,52.3,,,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
290,20200290,M,0,NA,IP (X),SCHOOL X,0,70,,,76.6,,88.4,79,,,,,,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
291,20200291,M,0,NA,IP (X),SCHOOL X,0,65,,,75.4,,,68,71.2,,,,,57.2,,,,,,,,,,,,,,,,,,,,,,,38,,,,,1
292,20200292,F,0,NA,IP (Y),SCHOOL Y,0,68,,,63.4,,,,61.6,65.1,,,,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
293,20200293,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,61,,,51.1,,,,75.8,68.4,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
294,20200294,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,54,,,44,,56.8,49.8,,,,,,,,,,,,,,,,,,,87.3,,,,,,,,,,,,,,,1
295,20200295,F,0,NA,IP (Y),SCHOOL Y,0,58,,,49.5,,56.6,37.4,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
296,20200296,F,0,NA,IP (Y),SCHOOL Y,0,60,,,44.7,,,,49.4,53.7,,,,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
297,20200297,F,0,NA,IP (Y),SCHOOL Y,0,66,,,83,,,68.9,79.5,,,,,,,,,,,81.9,,,,,,,,,,,,,,,,,43,,,,,1
