SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
33,20200033,F,0,NA,IP (Y),SCHOOL Y,0,68,,,86.1,,,73.9,79.2,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,2
34,20200034,F,0,NA,IP (Y),SCHOOL Y,0,78,,,71.8,,,,,,,72.7,,,58.5,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,2
35,20200035,F,223,NA,DSA (CCA),SCHOOL Y,0,63,,,51.7,,,,66,52.4,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,,,,,,1
36,20200036,F,0,NA,IP (Y),SCHOOL Y,0,57,,,71.2,,,,61.7,65.4,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
37,20200037,F,0,NA,IP (Y),SCHOOL Y,0,61,,,66.8,,,58,54.4,,,,,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
38,20200038,F,0,NA,IP (Y),SCHOOL Y,0,,,71.7,,,,,,,,65,,,31.7,,,,58.6,,,,,,,,,,,,,,,,,,,,,,,2
39,20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,0,71,,,54.8,,,,67.4,65.2,,,,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
40,20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,0,57,,,22.5,,,,,,,,,60,,50,,,,,,,,,,,,,,,,60,,,,,,,,,,3
41,20200041,F,0,NA,IP (Y),SCHOOL Y,0,64,,,37.2,,,,42.9,50.1,,,,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,74,,,81,,,,80.3,71.8,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
43,20200043,F,0,NA,IP (Y),SCHOOL Y,0,75,,,67.9,,,,69.2,,,,,60.8,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,2
44,20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,0,61,,,,,,,,,66.7,,,44.5,,,,54,,,,,,,,,,,47.8,,,,,,,,,,,,,1
45,20200045,M,0,NA,IP (X),SCHOOL X,0,67,,,70.9,,,62,69.5,,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
46,20200046,F,0,NA,IP (Y),SCHOOL Y,0,65,,,72.2,,,58.7,65.6,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
47,20200047,M,0,NA,IP (X),SCHOOL X,0,69,,,68.9,,,56.8,73.9,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,20200048,M,0,NA,IP (X),SCHOOL X,0,63,,,66.4,,,,69.7,60.3,,,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
49,20200049,F,0,NA,IP (Y),SCHOOL Y,0,65,,,53.3,,,,65.2,,,,,70.8,,,,,,,,,71,,,,,,,,,,,,,,,,,,,1
50,20200050,M,0,NA,IP (X),SCHOOL X,0,71,,,72.6,,,72.9,59.8,,,,,64.7,,,,,,,,,,,,,,,,,,,,,,,,,61,,,1
51,20200051,F,0,NA,IP (Y),SCHOOL Y,0,66,,,36.2,,,,54.2,,,,,59.9,,,,,,,,,65.2,,,,,,,,,,,,,,,,,,,1
52,20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,0,56,,,27.3,,,,38.3,40.4,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,1
53,20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,0,65,,,68.5,,,,74.8,63.9,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
54,20200054,F,0,NA,IP (Y),SCHOOL Y,0,71,,,42.3,,,,41.3,51.2,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,20200055,M,0,NA,IP (X),SCHOOL X,0,77,,,88.2,,,80.2,82.1,,,,,,,,,,,,,,,,,85.3,,,,,,,,,51,,,,,,,1
56,20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,57,,,58.8,,,45.7,47.1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,59,,,57.8,,,70.9,70.3,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
58,20200058,F,0,NA,IP (Y),SCHOOL Y,0,71,,,37.6,,,51.7,35.5,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,0,63,,,58.5,,,,55.6,67.3,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60,20200060,F,0,NA,IP (Y),SCHOOL Y,0,52,,,71.9,,,57.8,61.1,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61,20200061,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,60,,,56.9,,,,65.7,60.9,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,20200062,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,61,,,52.8,,,,68.2,61.8,,,,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,20200063,F,0,NA,IP (Y),SCHOOL Y,0,76,,,71.9,,,,75.4,71,,,,73.7,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,1
64,20200064,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,64,,,47.1,,,66.7,60.4,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,20200065,M,0,NA,IP (X),SCHOOL X,0,73,,,64.7,,,,72.6,59.9,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
66,20200066,M,0,NA,IP (X),SCHOOL X,0,54,,,43,,,38.3,40.4,,,,,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,20200067,M,0,NA,IP (X),SCHOOL X,0,58,,,63.1,,,,70.9,,,,,56.7,,,,,,,,,58.6,,,,,,,,,,,,,,37.5,,,,,1
68,20200068,M,0,NA,IP (X),SCHOOL X,0,73,,,85.1,,,82.6,80.3,,,,,,,,,,,,,,69.5,,,,,,,,,,,,,70,,,,,,1
69,20200069,M,0,NA,IP (X),SCHOOL X,0,70,,,69.5,,,67.7,67,,,,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,20200070,M,0,NA,IP (X),SCHOOL X,0,67,,,67.9,,,,48,53.8,,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,20200071,F,0,NA,IP (Y),SCHOOL Y,0,66,,,79.3,,,,67.4,72.9,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,20200072,M,0,NA,IP (X),SCHOOL X,0,63,,,18.2,,,,35.2,45.1,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,20200073,M,0,NA,IP (X),SCHOOL X,0,,,86.7,85.5,,,,,,,76,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,2
74,20200074,F,0,NA,IP (Y),SCHOOL Y,0,74,,,85.9,,,66.8,74.4,,,,,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,20200075,M,0,NA,JAE Ordinary Admission,DAMAI SECONDARY SCHOOL,0,53,,,55,,,61,51.3,,,,,,,,,,,,,59.5,,,,,,,,,,,,,,,,,,,,1
76,20200076,F,0,NA,IP (Y),SCHOOL Y,0,62,,,50.8,,,,58.5,63,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,20200077,F,0,NA,IP (Y),SCHOOL Y,0,65,,,36.8,,,42.8,46.3,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,20200078,F,0,NA,IP (Y),SCHOOL Y,0,56,,,40.2,,,,52.8,47.5,,,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,20200079,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,70,,,77,,,61,59.1,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,20200080,F,0,NA,IP (Y),SCHOOL Y,0,61,,,44.6,,,,63.7,55.3,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,1
81,20200081,M,0,NA,IP (X),SCHOOL X,0,78,,,78.4,,,,77.3,74.4,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,20200082,M,0,NA,IP (X),SCHOOL X,0,66,,,41.4,,,52.1,52.9,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
83,20200083,F,0,NA,IP (Y),SCHOOL Y,0,67,,,35.8,,,,,,60,,,,,58,,,,,,,,,,,,,,,,,55.6,,,,,,,,,1
84,20200084,M,0,NA,IP (X),SCHOOL X,0,72,,,77.4,,,74.1,83.1,,,,,65.2,,,,,,,,,,,,,,,,,,,,,,,45,,,,,1
85,20200085,F,0,NA,IP (Y),SCHOOL Y,0,66,,,76.6,,,,72.7,63.1,,,,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,20200086,F,0,Repeat Yr2,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,61,,,26,,,,35.4,39.5,,,,EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,20200087,M,0,NA,IP (X),SCHOOL X,0,62,,,29.9,,28,37,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,1
88,20200088,F,0,NA,IP (Y),SCHOOL Y,0,59,,,48.2,,,,62.4,54.9,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
89,20200089,M,0,NA,IP (X),SCHOOL X,0,62,,,82,,,84.5,79.6,,,,,70.1,,,,,,,,,,,,,,,,,,,,,,,,,57,,,1
90,20200090,F,0,NA,IP (Y),SCHOOL Y,0,69,,,73.5,,,,72.5,68.3,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,20200091,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,61,,,57.5,,,,62.2,60.3,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,20200092,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,57,,,67.4,58,,61.4,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
93,20200093,F,0,NA,IP (Y),SCHOOL Y,0,65,,,39.7,,,,41.6,59.4,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,20200094,F,0,NA,IP (Y),SCHOOL Y,0,75,,,62.6,,,,70.5,60.5,,,,,,,,,,,,,68.3,,,,,,,,,,,,,,,,,,,2
95,20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,66,,,72.4,,,,70.3,60,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,20200096,F,0,NA,IP (Y),SCHOOL Y,0,64,,,46.6,,,,,,60.7,,,62.7,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,,1
97,20200097,F,0,NA,IP (Y),SCHOOL Y,0,75.5,,,79.2,,,,,,,68,,,70,,69,,,,,,,,,,,,,,,,,,,,,,,,,1
98,20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,67,,,51.1,,,,43.5,,,,,60.5,,62,,,,,,,,,,,,,,,,,,,,,,,,,,1
99,20200099,F,0,NA,IP (Y),SCHOOL Y,0,75,,,76.7,,,,72.6,83.2,,,,,,,,,,,,,71.9,,,,,,,,,,,,,,,,,,,1
100,20200100,M,0,NA,IP (X),SCHOOL X,0,67,,,75.4,,,71.7,82.3,,,,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
101,20200101,M,0,NA,IP (X),SCHOOL X,0,65,,,49.7,,,50.2,60.8,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,1
102,20200102,F,0,NA,IP (Y),SCHOOL Y,0,64,,,59,,55.7,51.3,,,,,,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
103,20200103,F,0,NA,IP (Y),SCHOOL Y,0,65,,,54.9,,,49.2,56,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,1
104,20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,57,,,38.1,,,,52,53.4,,,,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,72,,,91.1,,,,84.8,74.3,,,,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,20200106,M,0,NA,IP (X),SCHOOL X,0,54,,,46.6,,,,59.1,52.6,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
107,20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,59,,,53.7,,,,,,67.3,,,52.3,,61,,,,,,,,,,,,,,,,,,,,,,,,,,1
108,20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,0,58,,,65.1,,,64,65.6,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
109,20200109,F,0,NA,IP (Y),SCHOOL Y,0,74,,,84,,,72.6,90.2,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,20200110,F,0,NA,IP (Y),SCHOOL Y,0,64,,,,,,,,,,65.3,,,,,,,57.6,,,,48.6,,,,,,73.9,,,,,,,,,,,,,1
111,20200111,F,0,NA,IP (Y),SCHOOL Y,0,59,,,63.1,,,,68,60.8,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,1
112,20200112,M,0,NA,IP (X),SCHOOL X,0,60,,,75.2,,,,63.9,62.9,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
113,20200113,M,0,NA,IP (X),SCHOOL X,0,60,,,54.1,,,,55.7,54.4,,,,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,20200114,F,0,NA,IP (Y),SCHOOL Y,0,63,,,83.4,,,67.2,80.1,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,41,,,,,1
115,20200115,M,0,NA,IP (X),SCHOOL X,0,61,,,68,,,75.4,80.4,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,1
116,20200116,F,0,NA,IP (Y),SCHOOL Y,0,50,,,,,,,,,,,,19.7,,,,,,,,51,56.7,,,,,,39.1,,,,,,,,,,,,,1
117,20200117,F,0,NA,IP (Y),SCHOOL Y,0,,71.7,,79.4,,,,81.3,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,1
118,20200118,M,0,NA,IP (X),SCHOOL X,0,72,,,90.8,,,,89.7,84.5,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,64,,,,,2
119,20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),0,59,,,70.4,,,48.3,58,,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20200120,M,0,NA,IP (X),SCHOOL X,0,76,,,71.4,,,67.7,71,,,,,64.7,,,,,,,,,,,,,,,,,,,,,,,,,51,,,1
121,20200121,M,0,NA,IP (X),SCHOOL X,0,55,,,36.8,,,,39.3,55.8,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
122,20200122,M,0,NA,IP (X),SCHOOL X,0,,80,,71.7,,80.2,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
