SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
17,20180017,F,260,NA,IP (Y),SCHOOL Y,0,,68,,82,,,75.9,84.4,,,,,66.9,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,2
18,20180018,F,259,NA,IP (Y),SCHOOL Y,0,,61,,70.5,,,,61.6,63.9,,,,,,,,,,66.3,,,,,,,,,,,,,,,,,,,,,,60,1
19,20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),0,,63,,,,,52.7,,,63.3,,,,,,,,,75.2,,,,,,,,,83,,,,,,,,,,,,,63.3,1
20,20180020,M,252,NA,IP (X),SCHOOL X,0,,61,,47,,,,63.2,59.8,,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
21,20180021,M,254,NA,IP (X),SCHOOL X,0,,59,,77.5,,,79.1,77.8,,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,20180022,M,261,NA,IP (X),SCHOOL X,0,,62,,77,,,,75.6,70.5,,,,58.8,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,1
23,20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,0,,55,,58.5,,,,67.4,73.2,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,20180024,M,256,NA,IP (X),SCHOOL X,0,,72,,79,,,,87.3,76.6,,,,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,20180025,F,242,NA,IP (Y),SCHOOL Y,0,,44,,63,,,39.3,54.2,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,,52,,62.5,,,,69.7,76,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,20180027,F,254,NA,IP (Y),SCHOOL Y,0,,55,,,,,,,,62,,,45.7,,56,,,,,,,,,,,,,72,,,,,,,,,,,,,,2
28,20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,52,,86.5,78.5,,76.8,,,,,,70.9,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,1
29,20180029,F,261,NA,IP (Y),SCHOOL Y,0,,56,,70.5,,,55.3,64.9,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
30,20180030,M,256,NA,IP (X),SCHOOL X,0,,65,,79,,,76.5,72.4,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
31,20180031,M,254,NA,IP (X),SCHOOL X,0,,58,,49.5,,,48.2,,,,,,49.7,,,,,,,,,,,,,,,,,77.2,,,,,,,,,,,,1
32,20180032,F,246,NA,IP (Y),SCHOOL Y,0,,53,,50,,,,66.5,62.1,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,20180033,F,256,NA,IP (Y),SCHOOL Y,0,,67,,62,,,64.3,74.9,,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
34,20180034,F,249,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,,53,,75,,,70.4,74.4,,,,,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,20180035,F,259,NA,IP (Y),SCHOOL Y,0,,68,,86,,,69.5,86.1,,,,,,,,,,,,,,73.3,,,,,,,,,,,,,,,,,,,,2
36,20180036,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,0,,67,,78,,,,77.8,70.4,,,,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
37,20180037,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,0,,63,,54,,,56.3,48.2,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,,,,,,,1
38,20180038,M,264,NA,IP (X),SCHOOL X,0,,67,,51.5,,,,45.2,45.6,,,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
39,20180039,F,259,NA,Appeals (Academic),NATIONAL JUNIOR COLLEGE (IP),0,,70,,57.5,,,45.8,64.1,,,,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,2
40,20180040,F,259,NA,IP (Y),SCHOOL Y,0,,58,,73,,,65.8,68.3,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,20180041,F,249,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,,66,,47.5,,,,56.8,68.6,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,20180042,F,258,Repeat Yr2,IP (Y),SCHOOL Y,0,,56,,48,,,,46.8,60.1,,,,,,,,,,,,,,,,,,,,,,,,58.9,,,,,,,,,1
43,20180043,F,231,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),0,,61,,63.5,,,,71.9,69.1,,,,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,20180044,F,247,NA,IP (Y),SCHOOL Y,0,,57,,65,,61.5,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,,,,,1
45,20180045,M,252,NA,IP (X),SCHOOL X,0,,57,,70,,,,79.2,65.6,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
46,20180046,F,246,NA,IP (Y),SCHOOL Y,0,,61,,37,,,,,,,,,,,45.5,,,,60,,,,,,,,,,,,,,60,,,,,,,,46.7,1
47,20180047,M,266,NA,IP (X),SCHOOL X,0,,59,,61.5,,,61.1,66.9,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,1
48,20180048,M,258,NA,IP (X),SCHOOL X,0,,62,,,,,,,,66.7,,55.2,,,59,,,,,,,,,,,,,84,,,,,,,,,,,,,,1
49,20180049,M,262,NA,IP (X),SCHOOL X,0,,61,,81.5,,,70.1,80.7,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,1
50,20180050,M,249,NA,IP (X),SCHOOL X,0,,45,,57,,,42.9,55.7,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,1
51,20180051,F,263,NA,IP (Y),SCHOOL Y,0,,57,,38.5,,,,56.2,60.3,,,,,,,,,,,,,53.3,,,,,,,,,,,,,,,,,,,,2
52,20180052,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,,60,,56,,,,73.3,72.5,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
53,20180053,M,257,NA,IP (X),SCHOOL X,0,,54,,70,,,60.6,71.9,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
54,20180054,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,0,,51,,39,,54.4,40.2,,,,,,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
55,20180055,M,236,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,0,,60,,79,,,63.5,78.7,,,,,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,20180056,M,258,NA,IP (X),SCHOOL X,0,,54,,49.5,,,48.2,55.8,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20180057,M,0,NA,IP (X),SCHOOL X,0,,56,,75,,,,,,,,,57.2,,64.5,,,,,,,78.1,,,,,,,,,,,,,,,,,,,,2
58,20180058,M,0,NA,DSA (CCA),XINMIN SECONDARY SCHOOL,0,,67,,86,,,83.3,83.3,,,,,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
59,20180059,F,237,NA,IP (Y),SCHOOL Y,0,,51,,52,,,,63.6,58,,,,,,,,,,,,,,,,,,,,,,,,65.6,,,,,,,,,2
60,20180060,F,248,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,0,,50,,40.5,,,47.8,55.9,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
61,20180061,M,266,NA,IP (X),SCHOOL X,0,,59,,40.5,,,,,,,,,57.6,,,,56,,,,,64.3,,,,,,,,,,,,,,,,,,,,1
62,20180062,F,267,NA,IP (Y),SCHOOL Y,0,,69,,61,,,57.6,63.2,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,20180063,M,259,NA,IP (X),SCHOOL X,0,,53,,57.5,,,,65.5,62.2,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
64,20180064,M,245,NA,DSA (CCA),MARIS STELLA HIGH SCHOOL,0,,65,,65.5,,,67.3,73.6,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,20180065,M,258,NA,IP (X),SCHOOL X,0,,74,,72.5,,,,,,,69,,,66.1,,73,,,,,,,,,,,,,,,,,,,,,,,,,,2
66,20180066,M,252,NA,IP (X),SCHOOL X,0,,66,,48.5,,,,58.9,68.1,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,20180067,M,242,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,0,,60,,56,,,39.6,57.6,,,,,,,,,,,,,,,,,,,,,,,,,55.6,,,,,,,,,1
68,20180068,M,259,NA,IP (X),SCHOOL X,0,,51,,49.5,,,39.3,,,,,,,,,,,,,,,61.9,,,,,,,,,,,64.4,,,,,,,,,1
69,20180069,M,259,NA,IP (X),SCHOOL X,0,,60,,76,,,67.9,81.2,,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,20180070,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,,49,,43.5,,,,49.5,44.6,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
