NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20180017,F,260,NA,IP (Y),SCHOOL Y,A,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,65,94,1.2,87.5,2
20180018,F,259,NA,IP (Y),SCHOOL Y,A,B,,,A,,,,B,B,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,ME,A,A,Passed,309,73,1.7,82.5,1
20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),A,B,,,,,,D,,,B,,,,,,,,,A,,,,,,,,,A,,,,,,,,,,,,,ME,A,B,Passed,470,59,2,78.75,1
20180020,M,252,NA,IP (X),SCHOOL X,A,B,,,E,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,764,33,3,71.25,2
20180021,M,254,NA,IP (X),SCHOOL X,A,C,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,144,87,1.2,86.25,1
20180022,M,261,NA,IP (X),SCHOOL X,A,B,,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,A,Passed,144,87,1.4,86.25,1
20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,A,C,,,C,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,420,63,1.9,80,1
20180024,M,256,NA,IP (X),SCHOOL X,A,A,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,1,100,1,90,1
20180025,F,242,NA,IP (Y),SCHOOL Y,A,S,,,B,,,U,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1038,10,4.1,52.5,1
20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),B,D,,,B,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,420,63,1.8,80,1
