NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,B2,DSS,BT,FE,EM,AM,PHY,CHM,BIO,PC,PB,CB,SSL,PE,COM,EC,PA,CH,SLC,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,CLB,IN,MSP,HH,HG,HL,IH,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,GO2,IH2,LA2,SP
20190095,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.75,6,A2,A2,,,,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190096,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.72,6,A2,A2,,,,,,A1,A1,A1,A1,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190097,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.4,6,B3,B3,,,,,,A1,A2,A1,B3,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190098,F,JAE Ordinary Admission,Science,NAVAL BASE SECONDARY SCHOOL,NO RELIGION,SINGAPORE PR (CHINESE),,0,8,B4,A2,A1,,,,,A1,A1,,,,A1,,,,,,,,,,,A1,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20190099,F,DSA,Science,METHODIST GIRLS' SCHOOL (SECONDARY),NO RELIGION,SINGAPORE PR (CHINESE),,,6,A1,A1,A1,,,,,A1,A1,A1,A1,A1,,,,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190100,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE PR (CHINESE),,3.5,6,B3,A1,,,,,,B4,C6,,C6,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,B3,,,,,B3,A2,,,,,,,,
20190101,F,JAE Ordinary Admission,Science,BOON LAY SECONDARY SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,8,B3,A1,A1,,,,,A1,A1,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190102,F,JAE Ordinary Admission,Science,ANGLICAN HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,B3,A2,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190103,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.38,6,B4,A1,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190104,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,4.22,6,B3,A1,,,,,,C6,C6,,C6,C6,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,B3,,,,,A2,B3,,D7,,,,,,
20190105,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.56,6,B4,B3,,,,,,A1,A1,A1,A2,B4,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190106,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A2,A1,,,,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190107,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE PR (CHINESE),Repeat Yr1,4.38,6,C5,A2,,,,,,A2,C6,C6,D7,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,C5,,,,,B4,C5,C5,,,,,,
20190108,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,,,A1,A1,A2,A2,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190109,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2,6,B3,B3,,,,,,A1,A2,A1,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,
20190110,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,C6,A1,,,,,A1,A1,A2,A1,,,,,,,,,,,,A2,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190111,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2.11,6,B4,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,A1,,,,,,,,,,,
20190112,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,B3,B3,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190113,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,A1,,A2,,,,,A1,A1,A1,A2,A2,,,,,,,,,,,A2,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190114,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.5,6,B3,B4,,,,,,A2,C5,B3,B3,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,,A1,,,,,,,,
20190115,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,7,A2,B3,A1,,,,,A1,A1,A2,A1,,,,,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190116,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,B3,A2,,,,,A1,A1,,A1,A1,,,,,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190117,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,0,7,A1,,B3,,,,,A1,A1,A2,A1,A2,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190118,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.94,6,B3,A2,,,,,,B3,A1,A2,A2,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,A2,B4,,,,,,,
20190119,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1,6,A1,A1,,,,,,A1,A1,,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,
20190120,M,IP (X),Science,SCHOOL X,BUDDHIST,MALAYSIAN,,1.3,6,B3,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20190121,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.11,6,A1,A1,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190122,F,JAE Ordinary Admission,Science,ST. MARGARET'S SECONDARY SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,8,A2,B4,A1,,,,,B3,A1,A2,B3,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190123,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.33,6,A2,B3,,,,,,A1,A1,B3,A1,,,,,,,,,,,,,,,,A2,,B3,B4,,,,,,,,,,,,,,,,,,,,,,,,
20190124,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,B3,A1,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190125,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.39,6,A2,A1,,,,,,A1,A1,,A1,,,,,,,,,,,,,,A2,,,,A1,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190126,F,JAE Ordinary Admission,Science,CEDAR GIRLS' SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,B4,A1,,,,,A1,A1,A2,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190127,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.3,6,B3,A1,,,,,,C6,C6,B3,B3,C5,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,B3,,,,,A1,A2,,,A1,,,,,
20190128,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,A2,A2,,,,,,A1,A1,B4,B3,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,
20190129,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.3,6,A2,A2,,,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190130,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,2.75,6,B3,B3,,,,,,A2,A2,B3,B4,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190131,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A1,B4,,,,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190132,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.44,6,A2,A2,,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190133,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.1,6,A1,B3,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,A1,,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190134,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.11,6,B3,A2,,,,,,A1,A1,A1,A2,A2,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190135,M,JAE Ordinary Admission,Science,COMMONWEALTH SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,9,A2,B3,A2,,,,,A2,A2,A2,A1,,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190136,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.61,6,A2,A2,,,,,,A1,A1,B4,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,
20190137,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.75,6,B4,B4,,,,,,A2,C5,B4,B3,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,A2,B3,,,,,,,
20190138,M,DSA (CCA),Science,CHUNG CHENG HIGH SCHOOL (MAIN),NO RELIGION,SINGAPORE CITIZEN,,,8,A2,A2,A1,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190139,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.25,6,B4,C6,,,,,,A1,A2,B3,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,,,,,,,,,,,,C5,B3,
20190140,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2,6,A1,A2,,,,,,A1,B3,B3,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190141,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,A2,A2,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190142,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.5,6,B3,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190143,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3.06,6,B3,B4,,,,,,A2,B4,B3,B4,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,A1,,,,,,A2,,B3,,,,,,
20190144,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A2,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190145,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.56,6,B3,A1,,,,,,A1,A1,A2,B4,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190146,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.65,6,A2,A1,,,,,,A1,A1,B3,A1,B4,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,A1,,,,,,,,,,,,,,
20190147,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.63,6,A2,C5,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190148,M,JAE Ordinary Admission,Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,0,6,A1,A2,A1,,,,,A1,A1,A1,B3,,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190149,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.11,6,B3,A2,,,,,,A2,B3,A1,A2,B3,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190150,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A2,B3,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190151,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.75,6,B3,D7,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190152,M,JAE Ordinary Admission,Science,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,,A1,,,,A1,A2,A1,A1,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190153,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.38,6,A2,C6,,,,,,B3,C5,A2,B4,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,C5,,C5,,,,,,
20190154,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.72,6,A2,A2,,,,,,A2,B3,,C5,B4,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,A1,,,,,,,,,,,,,,
20190155,F,DSA,Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,D7,A2,,,,,A2,A1,A2,A1,A1,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190156,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,B3,A1,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,A1,,,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190157,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.69,6,B3,A1,,,,,,A1,A1,,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190158,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,B3,A1,,,,,A1,A2,A2,A1,,,,,,,,,,,,B3,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190159,F,DSA (CCA),Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,,14,A2,,B3,,,,,A1,A2,B3,B3,,,,,,A1,,,,,,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190160,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.78,6,A1,C5,,,,,,A1,A2,A1,A1,A2,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190161,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,B3,A1,,,,,A1,A1,A2,A2,A1,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190162,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,A2,B3,A1,,,,,A1,A1,,A1,B3,,,,,,,,,,,,A2,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190163,F,IP (Y),Arts,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.56,6,A1,A1,,,,,,A1,A1,,A1,B3,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190164,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.2,6,A1,B3,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190165,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.28,6,A2,A1,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,A1,,,,A2,,,,,,,,,,
20190166,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE PR (CHINESE),,1.2,6,A2,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190167,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.22,6,B3,A2,,,,,,A1,A1,A1,A2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,
20190168,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,A2,B3,,,,,,A1,A1,A2,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,
20190169,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.63,6,A2,C5,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190170,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190171,M,JAE Ordinary Admission,Science,ANGLICAN HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,A1,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190172,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,A1,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190173,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.38,6,B3,B3,,,,,,A1,A1,A2,B3,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190174,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,8,A2,B4,A1,,,,,A1,A1,B3,A2,,,,,,,,,,,,A1,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20190175,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,2,6,B3,A1,,,,,,A1,A2,A1,A1,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190176,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,2.38,6,B3,B3,,,,,,A1,A2,A1,B3,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20190177,M,DSA,Science,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,9,A2,,A2,,,,,A1,A1,A2,A2,A1,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190178,F,JAE Ordinary Admission,Arts,CHIJ SECONDARY (TOA PAYOH),ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,6,A1,B4,B3,,,,,A1,A2,A2,A1,A1,,,,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190179,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.4,6,A1,B3,,,,,,A1,A1,,A1,A2,,,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190180,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.39,6,A2,A2,,,,,,B3,B4,A2,A2,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190181,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2,6,B3,B3,,,,,,A1,A1,A1,A2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190182,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.33,6,A2,B4,,,,,,A1,A1,,A2,B3,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,A1,,,,,,,,,,,,,,
20190183,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,8,A2,B3,A1,,,,,A2,A2,,A1,A2,,,,,,,,,,,,A1,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190184,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,B3,A1,,,,,,A1,B4,A1,A2,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190185,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.22,6,A1,A2,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,
20190186,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.65,6,A2,A2,,,,,,A1,A1,A2,A2,B4,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,
20190187,F,JAE Ordinary Admission,Arts,SINGAPORE CHINESE GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,A2,A2,A1,,,,,A1,A2,,B3,B3,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190188,F,JAE Ordinary Admission,Science,NGEE ANN SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,A2,B4,B3,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190189,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.39,6,A1,B3,,,,,,A1,A1,,A1,A2,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,A1,,,,,,,,,,,,,,
20190190,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A1,A2,,,,,,A2,A2,A1,A2,,,,,,,,,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,A1,B3
20190191,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.39,6,A2,A1,,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190192,F,DSA,Arts,BUKIT PANJANG GOVT. HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,7,A1,A1,A1,,,,,A1,A2,A2,A2,,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190193,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.95,6,B3,A2,,,,,,A1,B4,B3,A2,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,
20190194,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.7,6,A2,A2,,,,,,A1,A1,A2,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190195,F,IP (Y),Arts,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.94,6,A1,A2,,,,,,A1,B4,,B3,B3,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,
20190196,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,B3,B3,,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20190197,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.13,6,B4,B3,,,,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190198,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2.38,6,B3,C5,,,,,,A2,B3,A2,A1,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20190199,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A2,B3,,,,,,A1,A1,A2,A1,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190200,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,B3,B3,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,A1
