SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
35,20190035,F,260,NA,IP (Y),SCHOOL Y,,0.73,,0.39,,,,0.7,0.82,,,,,,,,0.86,,,,,,,,,,,,,,,,,,2
36,20190036,F,252,NA,IP (Y),SCHOOL Y,,0.34,,0.02,,,,0.4,,,,,,,0.22,,,,,,,,,,,,,,,,0.69,,,,1
37,20190037,F,243,NA,IP (Y),SCHOOL Y,,0.05,,0.45,0.09,,0.3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2
38,20190038,F,259,NA,IP (Y),SCHOOL Y,,0.91,,0.66,,,0.68,0.69,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
39,20190039,F,235,NA,DSA (CCA),CHIJ SECONDARY (TOA PAYOH),,0.01,,0.42,,,0.23,0.13,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
40,20190040,F,229,NA,IP (Y),SCHOOL Y,,0.08,,0.41,,,,0.08,0.1,,,,,,,,,,,,,,,,,,,,,,0.42,,,,1
41,20190041,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.1,,0.49,,,,0.6,0.75,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
42,20190042,M,250,NA,IP (X),SCHOOL X,,0.96,,0.98,,1,0.92,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,2
43,20190043,F,267,NA,IP (Y),SCHOOL Y,,0.16,,0.45,,,0.1,0.71,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
44,20190044,F,266,NA,IP (Y),SCHOOL Y,,0.7,,0.96,,,,0.99,0.9,0.77,,,,,,,,,,,,,,,,,,,,,,,,,1
45,20190045,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.84,,0.58,,,0.72,0.86,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
46,20190046,F,257,NA,IP (Y),SCHOOL Y,,0.57,,0.3,,,0.15,0.02,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
47,20190047,M,255,NA,IP (X),SCHOOL X,,0.79,,0.77,,,0.63,0.67,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,1
48,20190048,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,0.6,,0.4,,,0.48,0.58,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,2
49,20190049,M,256,NA,IP (X),SCHOOL X,,0.38,,0.28,,,0.29,0.2,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
50,20190050,M,255,NA,IP (X),SCHOOL X,,0.66,,0.61,,,,0.7,0.86,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
51,20190051,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,,0.15,,0.66,,,0.84,0.68,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
52,20190052,M,266,NA,IP (X),SCHOOL X,,0.96,,0.84,,,0.77,0.81,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,2
53,20190053,M,261,NA,IP (X),SCHOOL X,,0.6,,0.61,,,,0.8,0.75,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
54,20190054,M,266,NA,IP (X),SCHOOL X,,0.76,,0.92,,,,0.92,0.99,,,,0.95,,,,,,,,,,,,,,,,,,,,,,2
55,20190055,M,244,NA,IP (X),SCHOOL X,,0.32,,0.62,,,0.38,0.49,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
56,20190056,M,257,NA,IP (X),SCHOOL X,,0.47,,0,,,,0.34,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,2
57,20190057,M,257,NA,IP (X),SCHOOL X,,0.78,,0.56,,,0.24,0.34,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,2
58,20190058,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.56,,0.72,,,0.46,0.63,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,2
59,20190059,M,264,NA,IP (X),SCHOOL X,,0.84,,0.92,,0.82,0.85,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,2
60,20190060,M,252,NA,IP (X),SCHOOL X,,0.32,,0.64,,,0.31,0.5,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
61,20190061,M,269,NA,IP (X),SCHOOL X,,0.95,,0.56,,,,0.82,0.78,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
62,20190062,M,270,NA,IP (X),SCHOOL X,,0.4,,0.96,,,0.95,0.92,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
63,20190063,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.49,,0.7,,,0.32,0.45,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,1
64,20190064,M,0,NA,IP (X),SCHOOL X,,0.77,,0.91,,0.38,0.9,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,2
65,20190065,F,259,NA,IP (Y),SCHOOL Y,,0.24,,,,,,,,0.38,,,0.39,,,,,,,,0.4,,,,,,0.16,,,,,,,,1
66,20190066,F,261,NA,IP (Y),SCHOOL Y,,0.88,,0.5,,,0.35,0.4,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
67,20190067,F,260,NA,IP (Y),SCHOOL Y,,0.96,,0.51,,,,0.92,0.98,,,,0.82,,,,,,,,,,,,,,,,,,,,,,1
68,20190068,M,0,NA,JAE Ordinary Admission,JURONG SECONDARY SCHOOL,,0.26,,0.88,,,0.92,0.92,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
69,20190069,M,0,NA,JAE Ordinary Admission,BROADRICK SECONDARY SCHOOL,,0.38,,0.25,,,0.03,,,,,,0,,,,,,,,0.3,,,,,,,,,,,,,,1
70,20190070,M,254,NA,IP (X),SCHOOL X,,0.06,,0.46,,,,0.8,0.88,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
71,20190071,M,258,NA,IP (X),SCHOOL X,,0.89,,0.82,,,0.72,0.92,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
72,20190072,M,260,NA,IP (X),SCHOOL X,,0.41,,0.79,,,0.6,0.19,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1
73,20190073,M,259,NA,IP (X),SCHOOL X,,0.43,,0.92,,,0.9,0.97,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
74,20190074,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.9,,0.55,,,,0.48,0.53,,,0.61,,,,,,,,,,,,,,,,,,,,,,,1
75,20190075,F,262,NA,IP (Y),SCHOOL Y,,0.9,,0.7,,,0.69,0.34,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,2
76,20190076,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.13,,0.25,,,,0.38,0.36,,,,0.61,,,,,,,,,,,,,,,,,,,,,,1
77,20190077,M,255,NA,IP (X),SCHOOL X,,0.88,,0.7,,,0.56,0.55,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
78,20190078,M,258,NA,IP (X),SCHOOL X,,0.19,,0.61,,,,0.66,0.28,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
79,20190079,M,222,NA,Appeals (Academic),BUKIT PANJANG GOVT. HIGH SCHOOL,,0.47,,0.17,,,,0.52,0.9,0.76,,,,,,,,,,,,,,,,,,,,,,,,,2
80,20190080,F,262,NA,IP (Y),SCHOOL Y,,0.77,,0.63,,,,0.87,0.97,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
81,20190081,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.31,,0.13,,,0.6,0.07,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2
82,20190082,M,254,NA,IP (X),SCHOOL X,,0.34,,0.29,,,0.54,0.28,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
83,20190083,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.14,,0.3,,,0.2,0.36,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,2
84,20190084,F,267,NA,IP (Y),SCHOOL Y,,0.71,,0.28,,,,,,,0.7,,,,,,,0.4,,,,0.51,,,,,,,,,,,,,2
85,20190085,M,0,NA,IP (X),SCHOOL X,,0.81,,0.72,,,,,,,0.54,,,0.13,,0.28,,,,,,,,,,,,,,,,,,,1
86,20190086,F,256,NA,IP (Y),SCHOOL Y,,0.98,,0.52,,,,,,,0.6,,,,,,,0.86,,,,,,,0.2,,,,,,,,,,1
87,20190087,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.02,,0.21,,,,0.33,0.28,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
88,20190088,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.56,,0.16,,,,0.03,0.18,,,,0.4,,,,,,,,,,,,,,,,,,,,,,1
89,20190089,F,266,NA,IP (Y),SCHOOL Y,,0.93,,0.76,,,,0.84,0.93,,,,0.82,,,,,,,,,,,,,,,,,,,,,,2
90,20190090,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.18,,0.14,,,,0.21,0.44,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
91,20190091,F,266,NA,IP (Y),SCHOOL Y,,0.59,,0.43,,,,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.6,,1
92,20190092,F,267,NA,IP (Y),SCHOOL Y,,0.59,,0.46,,,,0.56,0.49,,,,,,,,0.7,,,,,,,,,,,,,,,,,,1
93,20190093,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.17,,0.93,,,0.76,0.87,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,1
94,20190094,F,251,NA,IP (Y),SCHOOL Y,,0.69,,,,,,,,0.72,,,0.4,,0.2,,,,,,,,,,,,0.88,,,,,,,,1
95,20190095,M,253,NA,IP (X),SCHOOL X,,0.84,,0.92,,,0.83,0.79,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
96,20190096,F,261,NA,IP (Y),SCHOOL Y,,0.86,,0.86,,,,0.78,0.79,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
97,20190097,F,259,NA,IP (Y),SCHOOL Y,,0.66,,0.8,,,0.58,0.67,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,2
98,20190098,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,0.43,,0.81,,,,0.69,0.81,,,,0.92,,,,,,,,,,,,,,,,,,,,,,2
99,20190099,F,0,NA,JAE Ordinary Admission,NAVAL BASE SECONDARY SCHOOL,,0.06,,0.63,,,,0.13,,,,,0.36,,,,,,,,,0.32,,,,,,,,,,,,,1
