SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,NO OF CCA
145,20190145,F,263,NA,IP (Y),SCHOOL Y,,0.76,,0.34,,,,0.38,0.24,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
146,20190146,F,257,NA,IP (Y),SCHOOL Y,,0.65,,0.48,,,,0.49,,,,,0.87,,0.79,,,,,,,,,,,,,,,,,,,,1
147,20190147,M,257,NA,IP (X),SCHOOL X,,0.88,,0.73,,,0.69,0.66,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
148,20190148,M,0,NA,JAE Ordinary Admission,SCHOOL X,,0.62,,0.54,,,0.73,0.57,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,2
149,20190149,M,250,NA,IP (X),SCHOOL X,,0.34,,0.16,,,0.13,0.03,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
150,20190150,M,245,NA,IP (X),SCHOOL X,,0.82,,0.47,,,0.21,0.31,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
151,20190151,M,250,NA,IP (X),SCHOOL X,,0.93,,0.72,,,0.68,0.88,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
152,20190152,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,0.34,,0.08,,,0.5,0.94,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,1
153,20190153,M,252,NA,IP (X),SCHOOL X,,0.42,,0.06,,,0.14,MC,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,0
154,20190154,F,262,NA,IP (Y),SCHOOL Y,,0.1,,0.16,,,,,,,,,0.64,,,,,,,,0.5,,,,,,,,,,,,0.9,,1
155,20190155,F,254,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,0.39,,0.13,,,,0.18,0.29,,,,0.17,,,,,,,,,,,,,,,,,,,,,,2
156,20190156,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.34,,0.7,,,,0.86,0.83,,,,0.91,,,,,,,,,,,,,,,,,,,,,,2
157,20190157,F,250,NA,IP (Y),SCHOOL Y,,0.51,,0.31,,,,0.34,0.36,,,,,,,,,,,,,,,,,,,,,,0.93,,,,0
158,20190158,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.2,,0.54,,,0.07,0.13,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
159,20190159,F,227,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.17,,0.17,,,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,1
160,20190160,M,257,NA,IP (X),SCHOOL X,,0.29,,0.57,,,,0.44,0.31,,,,0.09,,,,,,,,,,,,,,,,,,,,,,1
161,20190161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.88,,0.75,,,,0.73,0.55,,,,0.11,,,,,,,,,,,,,,,,,,,,,,1
162,20190162,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.05,,0.22,,,,0.04,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,2
163,20190163,F,264,NA,IP (Y),SCHOOL Y,,0.86,,0.68,,,,,,,,0.94,0.89,,0.9,,,,,,,,,,,,,,,,,,,,2
164,20190164,M,257,NA,IP (X),SCHOOL X,,0.74,,1,,,0.99,0.94,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,1
165,20190165,F,270,NA,IP (Y),SCHOOL Y,,0.73,,0.37,,,0.74,0.81,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,1
166,20190166,M,257,NA,IP (X),SCHOOL X,,0.65,,0.94,,,0.7,0.93,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,2
167,20190167,F,255,NA,IP (Y),SCHOOL Y,,0.11,,0.6,,,,0.43,0.07,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
168,20190168,F,261,NA,IP (Y),SCHOOL Y,,0.42,,0.65,,,,0.46,0.21,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
169,20190169,M,249,NA,IP (X),SCHOOL X,,0.26,,0.42,,,,0.4,0.08,,,,0.61,,,,,,,,,,,,,,,,,,,,,,2
170,20190170,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.69,,0.65,,,0.88,0.87,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,2
171,20190171,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.7,,0.98,,,0.95,0.97,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,1
172,20190172,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.95,,MC,,,,0.75,0.87,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
173,20190173,M,255,NA,IP (X),SCHOOL X,,0.32,,0.32,,,0.32,0.56,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
174,20190174,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.49,,0.71,,,0.33,0.21,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,1
175,20190175,F,262,NA,IP (Y),SCHOOL Y,,0.8,,0.33,,,0.46,0.43,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
176,20190176,M,260,NA,IP (X),SCHOOL X,,0.73,,0.5,,,0.3,0.27,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
177,20190177,M,230,NA,DSA,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,,0.15,,0.48,,,0.5,0.16,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,3
178,20190178,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,0.1,,0.15,,,,,,,0.2,,,0.31,,,,0.26,,,,,,,,,,,,,,,,,1
179,20190179,F,260,NA,IP (Y),SCHOOL Y,,0.57,,0.68,,,,0.83,0.91,0.51,,,,,,,,,,,,,,,,,,,,,,,,,1
180,20190180,F,255,NA,IP (Y),SCHOOL Y,,0.53,,0.02,,,0.02,0.04,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
181,20190181,F,258,NA,IP (Y),SCHOOL Y,,0.77,,0.8,,,,0.58,0.73,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
182,20190182,F,264,NA,IP (Y),SCHOOL Y,,0.86,,0.67,,,,0.34,0.36,,,,,,,,,,,0.75,,,,,,,,,,,,,,,1
183,20190183,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.18,,0.47,,,,0.54,0.11,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
184,20190184,M,253,NA,IP (X),SCHOOL X,,0.52,,0.59,,,,0.63,0.63,,,,0.29,,,,,,,,,,,,,,,,,,,,,,1
185,20190185,M,255,NA,IP (X),SCHOOL X,,0.9,,0.49,,,0.57,0.65,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,2
186,20190186,F,263,NA,IP (Y),SCHOOL Y,,0.46,,0.06,,,,0.31,0.11,,,,,,,,,,,,,0.14,,,,,,,,,,,,,1
187,20190187,F,0,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,0.62,,0.04,,,,,,0.34,,,0.31,,0.12,,,,,,,,,,,,,,,,,,,,1
188,20190188,F,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,,0.72,,0.94,,,,0.98,0.83,,,,0.9,,,,,,,,,,,,,,,,,,,,,,2
189,20190189,F,259,NA,IP (Y),SCHOOL Y,,0.63,,0.75,,,,0.69,0.67,,,,0.91,,,,,,,,,,,,,,,,,,,,,,1
190,20190190,F,259,NA,IP (Y),SCHOOL Y,,0.89,,0.53,,,,,,,0.5,,,0.94,,,,1,,,,,,,,,,,,,,,,,3
191,20190191,F,264,NA,IP (Y),SCHOOL Y,,0.67,,0.74,,,0.81,0.72,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,2
192,20190192,F,246,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.49,,0.63,,,,,,,0.44,,,0.73,,0.14,,,,,,,,,,,,,,,,,,,2
193,20190193,F,258,NA,IP (Y),SCHOOL Y,,0.45,,0.44,,,0.46,0.32,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,1
194,20190194,M,255,NA,IP (X),SCHOOL X,,0.31,,0.85,,,,0.78,0.82,,,,0.5,,,,,,,,,,,,,,,,,,,,,,2
195,20190195,F,261,NA,IP (Y),SCHOOL Y,,0.88,,0.41,,,,,,0.93,,,0.73,,0.55,,,,,,,,,,,,,,,,,,,,1
196,20190196,M,255,NA,IP (X),SCHOOL X,,0.52,,0.69,,,,0.72,0.55,,,,0.84,,,,,,,,,,,,,,,,,,,,,,2
197,20190197,M,253,NA,IP (X),SCHOOL X,,0.06,,0.22,,,0.05,0.12,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,2
198,20190198,M,255,NA,IP (X),SCHOOL X,,0.89,,0.18,,,0.15,0.39,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
199,20190199,M,256,NA,IP (X),SCHOOL X,,0.09,,0.62,,,0.28,0.73,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
200,20190200,M,259,NA,IP (X),SCHOOL X,,0.53,,0.91,,,,0.96,0.85,,,,,,,,,,,,,,,,,0.66,,,,,,,,,1
201,20190201,M,258,NA,IP (X),SCHOOL X,,0.75,,0.4,,,0.26,0.23,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
202,20190202,M,260,NA,IP (X),SCHOOL X,,0.55,,0.1,,,,,,,0.12,,,MC,,0.32,,,,,,,,,,,,,,,,,,,1
203,20190203,F,270,NA,IP (Y),SCHOOL Y,,0.66,,0.78,,,,0.28,0.9,,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
204,20190204,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.2,,0.47,,,,,,0.81,,,0.19,,0.29,,,,,,,,,,,,,,,,,,,,1
205,20190205,M,263,NA,IP (X),SCHOOL X,,0.94,,0.6,,,0.76,0.88,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
206,20190206,F,261,NA,IP (Y),SCHOOL Y,,0.16,,0.42,,,0.34,0.21,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,1
207,20190207,F,244,NA,Appeals (Academic),ST. MARGARET'S SECONDARY SCHOOL,,0.44,,0.3,,,,0.28,0.25,,,,0.31,,,,,,,,,,,,,,,,,,,,,,1
208,20190208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.34,,0.21,,,0.12,0.46,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,1
209,20190209,M,244,NA,IP (X),SCHOOL X,,0.61,,0.53,,,0.6,0.52,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,2
210,20190210,M,261,NA,IP (X),SCHOOL X,,0.59,,0.56,,,,0.67,0.81,,,,0.32,,,,,,,,,,,,,,,,,,,,,,2
211,20190211,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.74,,0.74,,,0.84,0.84,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
212,20190212,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,,EX,0.38,,,,,,,,0.42,,,0.02,,,,0.13,,,,,,,,,,,,,,,,,2
213,20190213,M,256,NA,IP (X),SCHOOL X,,0.15,,0.64,,,0.38,0.57,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
214,20190214,F,0,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,0.3,,0.8,,0.61,0.28,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,2
215,20190215,F,260,NA,IP (Y),SCHOOL Y,,0.43,,0.18,,,0.21,,,0.44,,,,,,,,,,,,,,,,,,,,,0.55,,,,1
216,20190216,M,258,NA,IP (X),SCHOOL X,,0.95,,0.56,,,0.65,0.54,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,2
217,20190217,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0,,0.83,,,0.46,0.42,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,2
218,20190218,F,0,NA,IP (Y),SCHOOL Y,0.42,,,0.98,,,0.99,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,2
219,20190219,F,223,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.45,,0.26,,,,0.2,0.26,,,,,,,,,,,,,,,,,,,,,,0.98,,,,1
220,20190220,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.02,,0.32,,,0.11,0.47,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
221,20190221,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,,0.68,,0.32,,,0.05,,,,,,0.34,,,,,,,,,0.38,,,,,,,,,,,,,0
222,20190222,M,256,NA,IP (X),SCHOOL X,,0.93,,0.65,,,0.69,0.57,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,1
223,20190223,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.41,,0.69,,,0.65,0.54,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,1
224,20190224,M,232,NA,IP (X),SCHOOL X,,0.03,,0.2,,,,0.41,0.33,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
225,20190225,F,0,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,,0.5,,0.13,,,,0.09,,,,,0.45,,0.52,,,,,,,,,,,,,,,,,,,,1
226,20190226,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,0.83,,0.03,,,MC,,,,,,,,0.09,,,,,,,,,,,,,,,,0.66,,,,2
227,20190227,F,271,NA,IP (Y),SCHOOL Y,,0.75,,0.55,,,,0.48,0.63,,,,0.68,,,,,,,,,,,,,,,,,,,,,,1
228,20190228,F,263,NA,IP (Y),SCHOOL Y,,0.76,,0.27,,,0.14,0.3,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
229,20190229,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,0.53,,,0.62,,,,,,0.59,,,,,0.93,,,,,,,,,,,,,,,,,,,,1
230,20190230,M,258,NA,IP (X),SCHOOL X,,0.64,,0.69,0.13,,0.52,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
231,20190231,F,245,NA,IP (Y),SCHOOL Y,,0.4,,0.22,,,,0.22,0.4,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
232,20190232,F,258,NA,IP (Y),SCHOOL Y,,0.75,,0.11,,,,0.02,0.06,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
233,20190233,F,259,NA,IP (Y),SCHOOL Y,,0.74,,0.69,,,,0.74,0.88,,,,0.85,,,,,,,,,,,,,,,,,,,,,,1
234,20190234,F,265,NA,IP (Y),SCHOOL Y,,,1,0.77,,,,,,,0.68,,,0.97,,,,,,,,,,,,,,,,,,,,,1
235,20190235,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,,0.66,,0.71,,,,0.61,0.83,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
236,20190236,F,257,NA,IP (Y),SCHOOL Y,,0.56,,0.37,,,,0.76,0.67,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
237,20190237,F,233,NA,IP (Y),SCHOOL Y,,0.34,,0.21,,,,0.39,0.32,,,,,,,,,,,,,,,,,,,,,,0.38,,,,1
238,20190238,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.27,,0.9,,,,0.78,,,,,0.85,,,,,,,,,0.16,,,,,,,,,,,,,1
239,20190239,M,254,NA,IP (X),SCHOOL X,,0.27,,0.01,,,,,,,,,0.01,,,,0.08,,,,,,,,,,,,0.6,,,,,,1
240,20190240,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.54,,0.94,,,,0.88,0.49,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
241,20190241,M,245,NA,IP (X),SCHOOL X,,0.42,,0.25,,,0.41,0.47,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
242,20190242,F,251,NA,IP (Y),SCHOOL Y,,0.65,,0.73,,,0.53,0.35,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,2
243,20190243,F,261,NA,IP (Y),SCHOOL Y,,0.65,,0.66,,,,0.48,0.46,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
244,20190244,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.1,,0.1,,,,0.22,0.56,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
245,20190245,F,263,NA,IP (Y),SCHOOL Y,,0.24,,0.06,,,,0.07,0.23,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
246,20190246,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.29,,0.49,,,,0.54,0.49,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
247,20190247,F,268,NA,IP (Y),SCHOOL Y,,0.15,,0.3,,,,0.52,0.09,,,,,,,,,,,,0.73,,,,,,,,,,,,,,1
248,20190248,F,269,NA,IP (Y),SCHOOL Y,,0.96,,0.6,,,,0.38,0.85,,,,,,,,,,,,,,0.81,,,,,,,,,,,,1
249,20190249,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.14,,0.03,,,,MC,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,1
250,20190250,F,266,NA,IP (Y),SCHOOL Y,,0.91,,0.74,,,,0.8,0.7,,,,,,,,,,,,,0.89,,,,,,,,,,,,,2
251,20190251,F,266,NA,IP (Y),SCHOOL Y,,0.81,,0.21,,,,0.42,0.76,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
252,20190252,M,264,NA,IP (X),SCHOOL X,,0.86,,0.92,,,0.85,0.85,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
253,20190253,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.6,,0.55,,,,0.25,0.64,,,,0.46,,,,,,,,,,,,,,,,,,,,,,1
254,20190254,F,239,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),,0.19,,0.18,,,0.04,,,,,,0.1,,,,,,,,,,,,,,,,0.4,,,,,,1
255,20190255,M,260,NA,IP (X),SCHOOL X,0.28,,,0.29,,,0.07,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,1
256,20190256,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.28,,0.7,,,0.41,0.35,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,1
257,20190257,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.06,,0.14,,,,0.17,0.16,,,,0.02,,,,,,,,,,,,,,,,,,,,,,2
258,20190258,M,260,NA,IP (X),SCHOOL X,,0.35,,0.83,,,,0.7,0.59,,,,0.26,,,,,,,,,,,,,,,,,,,,,,1
259,20190259,F,261,NA,IP (Y),SCHOOL Y,,0.72,,0.13,,,,,,0.53,,,0.21,,0.26,,,,,,,,,,,,,,,,,,,,1
260,20190260,M,0,NA,IP (X),SCHOOL X,,,0.3,,,,,,,,0.58,,,,,0.75,,,,,,,,,,0.33,,,,,,,,,2
261,20190261,M,250,NA,IP (X),SCHOOL X,,0.54,,0.05,,,0.28,0.04,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,1
262,20190262,F,242,NA,IP (Y),SCHOOL Y,,0.94,,,,,,,,0.49,,,0.16,,0.59,,,,,,,,,,,,0.55,,,,,,,,1
263,20190263,F,261,NA,IP (Y),SCHOOL Y,,0.59,,0.47,,,,0.79,0.43,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
264,20190264,F,262,NA,IP (Y),SCHOOL Y,,0.69,,0.11,,,,MC,,,,,0.79,,,,MC,,,,,,,,,,,,,,,,,,1
265,20190265,F,259,NA,IP (Y),SCHOOL Y,,0.8,,0.54,,0.07,0.18,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1
266,20190266,F,265,NA,IP (Y),SCHOOL Y,,0.18,,0.88,0.36,,0.27,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,2
267,20190267,M,266,NA,IP (X),SCHOOL X,,0.95,,0.93,,,0.71,0.85,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,2
268,20190268,M,255,NA,IP (X),SCHOOL X,,0.19,,0.57,,,0.51,0.69,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,0
269,20190269,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,,0.01,,0.81,,,0.43,0.54,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,1
270,20190270,M,241,NA,DSA,ANGLICAN HIGH SCHOOL,,,0.07,0.07,,,,,,,0.26,,,0.42,,,,,,,,,,,,,,,,,,,,,2
271,20190271,F,261,NA,IP (Y),SCHOOL Y,,0.55,,0.37,,,,0.57,0.46,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
272,20190272,M,254,NA,IP (X),SCHOOL X,,0.02,,0.73,,,0.54,,,,,,0.29,,,,,,,,,0.79,,,,,,,,,,,,,1
273,20190273,F,268,NA,IP (Y),SCHOOL Y,,0.99,,0.81,,,,0.72,0.94,,,,0.85,,,,,,,,,,,,,,,,,,,,,,1
274,20190274,F,249,NA,IP (Y),SCHOOL Y,,0.58,,0.77,,,,0.43,0.45,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1
275,20190275,F,267,NA,IP (Y),SCHOOL Y,,0.95,,0.76,,,0.79,0.71,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,2
276,20190276,F,261,NA,IP (Y),SCHOOL Y,,0.13,,0.43,,0.28,0.4,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
277,20190277,M,0,NA,JAE Ordinary Admission,SCHOOL X,,0.36,,0.49,,,0.35,0.36,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
278,20190278,M,254,NA,IP (X),SCHOOL X,,0.59,,0.73,,,0.56,0.8,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
279,20190279,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.32,,0.1,,,,0.11,0.2,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
280,20190280,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.64,,0.42,,,,0.12,0.15,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
281,20190281,M,260,NA,IP (X),SCHOOL X,,0.29,,0.04,,,0.34,0.34,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
282,20190282,M,256,NA,IP (X),SCHOOL X,,0.11,,0.98,0.63,,0.93,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
283,20190283,F,258,NA,IP (Y),SCHOOL Y,,0.07,,0.39,,0.12,0.13,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
284,20190284,F,264,NA,IP (Y),SCHOOL Y,,0.56,,0.4,,,,0.12,0.25,,,,,,,,,,,,,,,,,,,,,,,1,,,1
285,20190285,M,256,NA,IP (X),SCHOOL X,,0.16,,0.35,,,,,,,,,0.39,,,,,,,,0.04,0.08,,,,,,,,,,,,,0
286,20190286,F,247,NA,IP (Y),SCHOOL Y,,0.24,,0.36,,,,0.44,0.5,,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
287,20190287,F,257,NA,IP (Y),SCHOOL Y,,0.28,,0.36,,0.21,0.2,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,1
288,20190288,F,264,NA,IP (Y),SCHOOL Y,,0.13,,0.21,,,,,,,0.06,,,0.05,,,,,,,,0.23,,,,,,,,,,,,,1
289,20190289,F,257,NA,IP (Y),SCHOOL Y,,0.9,,0.69,,,,,,,0.96,,,0.44,,0.89,,,,,,,,,,,,,,,,,,,1
290,20190290,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.35,,0.57,,,0.34,0.16,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
291,20190291,F,260,NA,IP (Y),SCHOOL Y,0.64,,,0.32,,,0.25,0.52,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,1
292,20190292,M,255,NA,IP (X),SCHOOL X,,0.51,,0.67,,,,0.8,0.96,,,,0.74,,,,,,,,,,,,,,,,,,,,,,1
293,20190293,M,0,NA,IP (X),SCHOOL X,,0.6,,0.21,,,0.4,0.19,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,0
294,20190294,F,267,NA,IP (Y),SCHOOL Y,,0.88,,0.84,,,,0.9,0.73,,,,,,,,,,,,,,,,,,,,,,1,,,,1
295,20190295,F,267,NA,IP (Y),SCHOOL Y,,0.55,,0.53,,,,0.39,0.75,,,,0.61,,,,,,,,,,,,,,,,,,,,,,2
296,20190296,F,260,NA,IP (Y),SCHOOL Y,,0.95,,0.23,,0.52,0.55,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
297,20190297,M,265,NA,IP (X),SCHOOL X,,0.71,,0.97,,0.98,,0.99,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,1
298,20190298,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.06,,0.09,,,,,,0.29,,,0.2,,0.38,,,,,,,,,,,,,,,,,,,,1
299,20190299,F,262,NA,IP (Y),SCHOOL Y,,0.98,,0.23,,,,,,,0.8,,,0.84,,0.96,,,,,,,,,,,,,,,,,,,1
300,20190300,F,260,NA,IP (Y),SCHOOL Y,,0.63,,0.63,,,0.72,0.75,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,1
301,20190301,F,264,NA,IP (Y),SCHOOL Y,,0.59,,0.81,,,0.94,0.72,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
302,20190302,F,262,NA,IP (Y),SCHOOL Y,,0.81,,0.83,,,0.76,0.89,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
303,20190303,M,257,NA,IP (X),SCHOOL X,,0.29,,0.14,,,,0.09,0.17,,,,0.13,,,,,,,,,,,,,,,,,,,,,,1
304,20190304,M,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,,0.12,,0.72,,,0.85,0.48,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
305,20190305,M,264,NA,IP (X),SCHOOL X,,0.64,,0.75,,,,0.82,0.74,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
306,20190306,M,256,NA,IP (X),SCHOOL X,,0.47,,0.78,,,0.67,0.74,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
307,20190307,F,266,NA,IP (Y),SCHOOL Y,,0.83,,0.77,,,,0.64,,,,,0.89,,,,,,,,,0.82,,,,,,,,,,,,,2
308,20190308,F,266,NA,IP (Y),SCHOOL Y,,0.94,,0.32,,,,0.54,0.6,,,,,,,,0.64,,,,,,,,,,,,,,,,,,2
309,20190309,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.37,,0.46,,,0.54,0.35,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,1
