SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
151,20180151,M,240,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,49.6,,45.5,,,44,,,,,,45.6,,45.5,,,,,,,,,,,,,,,,,,,,1
152,20180152,M,256,NA,IP (X),SCHOOL X,,59.6,,71.6,,,,70.7,75.1,,,,61.8,,,,,,,,,,,,,,,,,,,,,,2
153,20180153,M,263,NA,IP (X),SCHOOL X,,63.8,,67.3,,,,71.3,79,,,,64.6,,,,,,,,,,,,,,,,,,,,,,2
154,20180154,F,258,NA,IP (Y),SCHOOL Y,,,70.1,48.8,,,,,,,58.9,,,,,,,57.7,,,,,,,,,,,,,,,,,2
155,20180155,F,262,NA,IP (Y),SCHOOL Y,,58,,48.6,,,,53.6,64.6,,,,58.2,,,,,,,,,,,,,,,,,,,,,,1
156,20180156,M,253,NA,IP (X),SCHOOL X,,51.7,,64.8,,,,63,62.8,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
157,20180157,F,0,NA,JAE Ordinary Admission,NORTH VISTA SECONDARY SCHOOL,,51.3,,66.4,60.9,,64.5,,,,,,61.8,,,,,,,,,,,,,,,,,,,,,,1
158,20180158,M,254,NA,IP (X),SCHOOL X,,58.6,,62.4,,,59.4,,,,,,52.6,,,,,,,,,67.3,,,,,,,,,,,,,1
159,20180159,M,267,NA,IP (X),SCHOOL X,76.5,,,73.9,,,85.5,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160,20180160,F,253,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,55.5,,38.7,,,,56.1,65.7,60.6,,,,,,,,,,,,,,,,,,,,,,,,,1
161,20180161,M,258,NA,IP (X),SCHOOL X,,54.2,,57.4,,,,57.5,59.4,,,,48,,,,,,,,,,,,,,,,,,,,,,1
162,20180162,M,240,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,51.8,,38.7,,,,,,62,,,62.9,,52.7,,,,,,,,,,,,,,,,,,,,1
163,20180163,F,262,NA,IP (Y),SCHOOL Y,,55.6,,44.1,,,,53.4,53.6,,,,50.3,,,,,,,,,,,,,,,,,,,,,,1
164,20180164,F,257,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,60.5,,59,,,71.2,80.6,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,1
165,20180165,M,257,NA,IP (X),SCHOOL X,,58.8,,44.8,,,60.2,45.8,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,2
166,20180166,M,239,NA,Appeals (Academic),CHUNG CHENG HIGH SCHOOL (MAIN),,51.5,,72.8,,,,58.2,63.5,,,,57,,,,,,,,,,,,,,,,,,,,,,1
167,20180167,M,247,NA,IP (X),SCHOOL X,,50.5,,52.8,,,51.6,62.1,,,,,56.8,,,,,,,,,,,,,,,,,,,,,,1
168,20180168,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,54.4,,48.3,,,,56.9,69.8,,,,63.3,,,,,,,,,,,,,,,,,,,,,,1
169,20180169,F,261,NA,IP (Y),SCHOOL Y,,57.9,,59.5,,,,,,62.6,,,61.9,,58.8,,,,,,,,,,,,,,,,,,,,2
170,20180170,M,260,NA,IP (X),SCHOOL X,,53.1,,60.4,,,,62.7,49,,,,50.1,,,,,,,,,,,,,,,,,,,,,,1
171,20180171,F,239,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,46.9,,55.2,,,41.6,44.5,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,1
172,20180172,F,261,NA,IP (Y),SCHOOL Y,,,71.4,,,,,,,,62.5,,,56.9,,,,62,,,,,,,,,,,,,,,,,3
173,20180173,F,248,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,42.5,,27.7,,,44.6,34,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,1
174,20180174,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,51.5,,53.1,,,,54.6,62.5,,,,54.8,,,,,,,,,,,,,,,,,,,,,,1
175,20180175,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,55.5,,49.8,,,,49.6,62.4,,,,52,,,,,,,,,,,,,,,,,,,,,,1
176,20180176,M,255,NA,IP (X),SCHOOL X,,51.8,,72.3,,,45.3,72.6,,,,,49.1,,,,,,,,,,,,,,,,,,,,,,1
177,20180177,M,252,NA,IP (X),SCHOOL X,,54.5,,56.5,,,77.6,69.7,,,,,69.9,,,,,,,,,,,,,,,,,,,,,,1
178,20180178,M,239,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,51.2,,48.8,,,,65,73.8,,,,53.6,,,,,,,,,,,,,,,,,,,,,,1
179,20180179,M,252,NA,IP (X),SCHOOL X,,52.1,,80.4,,,78,81.6,,,,,65.7,,,,,,,,,,,,,,,,,,,,,,1
180,20180180,F,254,NA,IP (Y),SCHOOL Y,,57.6,,67.8,,,,69.6,70.6,,,,,,,,,,,,,59.4,,,,,,,,,,,,,1
181,20180181,M,261,NA,IP (X),SCHOOL X,,59.3,,,,,,,,,,59.7,57.2,,,,66.4,,,,,,,,,,,55.1,,,,,,,1
182,20180182,F,256,NA,IP (Y),SCHOOL Y,,50.3,,45.4,,,,46.4,48.2,,,,,,,,,,,,,,,,,,,,,,48.1,,,,1
183,20180183,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,60.4,,36.6,,,,43.9,51.6,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
184,20180184,F,249,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,46.5,,58.5,,,59.4,53.3,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,1
185,20180185,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,53.5,,47.3,,,55.1,54.6,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,2
186,20180186,F,262,NA,IP (Y),SCHOOL Y,,54.6,,63.3,,,59.8,62.1,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,1
187,20180187,M,259,NA,IP (X),SCHOOL X,,55.3,,55.4,,,59,55.3,,,,,,,55.1,,,,,,,,,,,,,,,,,,,,1
188,20180188,F,253,NA,IP (Y),SCHOOL Y,,67.4,,65.8,,,,66,69.5,,,,,,,,,,,,,,,,76,,,,,,,,,,1
189,20180189,M,256,NA,IP (X),SCHOOL X,,53.8,,54.6,,,80.1,70.3,,,,,61,,,,,,,,,,,,,,,,,,,,,,1
190,20180190,F,250,NA,IP (Y),SCHOOL Y,,53,,43.5,,,,53.4,60,,,,,,,,,,,,,,,,,,,,,,70.2,,,,2
191,20180191,F,264,NA,IP (Y),SCHOOL Y,,54.1,,46.8,,,51.9,45.6,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,2
192,20180192,M,256,NA,IP (X),SCHOOL X,,63.7,,53.2,,,,,,,61.1,,,62.3,,59.8,,,,,,,,,,,,,,,,,,,1
193,20180193,F,258,NA,IP (Y),SCHOOL Y,,55.3,,71.4,,,64.6,66.7,,,,,53,,,,,,,,,,,,,,,,,,,,,,1
194,20180194,F,244,NA,DSA (CCA),ANGLICAN HIGH SCHOOL,,56.2,,30.5,,,,46.2,52.7,,,,,,,,44.8,,,,,,,,,,,,,,,,,,1
195,20180195,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,43.4,,28.8,,,51.7,28.9,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,1
196,20180196,M,244,NA,IP (X),SCHOOL X,,50.9,,39.8,,,57.4,47.2,,,,,,,,,,,,,,,,,,,,,,,49.4,,,,1
197,20180197,M,257,NA,IP (X),SCHOOL X,,61,,58.6,,,86.6,79.4,,,,,57.9,,,,,,,,,,,,,,,,,,,,,,1
198,20180198,M,253,NA,IP (X),SCHOOL X,,56.1,,53.7,,,,60.8,51.7,,,,51.7,,,,,,,,,,,,,,,,,,,,,,1
199,20180199,M,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,50.7,,66.7,,,70,73.6,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,1
200,20180200,M,257,NA,IP (X),SCHOOL X,,53.5,,51,,,48.7,49.4,,,,,44.5,,,,,,,,,,,,,,,,,,,,,,1
201,20180201,F,246,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,49.1,,71.6,,,67,65.3,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,1
202,20180202,F,252,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,53.6,,65.8,,,73.5,73.1,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,1
203,20180203,M,249,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,54,,56.5,,,59.5,,,,,,58,,,,,,68,,,,,,,,,,,,,,,,1
204,20180204,F,262,NA,IP (Y),SCHOOL Y,,53.4,,42,,,,48.9,61,,,,48.9,,,,,,,,,,,,,,,,,,,,,,1
205,20180205,F,255,NA,IP (Y),SCHOOL Y,,50.5,,72,,,61.6,59.7,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,1
206,20180206,F,257,NA,IP (Y),SCHOOL Y,,58.9,,65,,,,70.2,59.7,,,,56.8,,,,,,,,,,,,,,,,,,,,,,1
207,20180207,F,241,NA,DSA (CCA),NAN HUA HIGH SCHOOL,,49.3,,31.7,,,,26.6,26.5,,,,,,43.6,,,,,,,,,,,,,,,,,,,,2
208,20180208,F,251,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,59.2,,51.2,,,,65.1,70.9,,,,67.3,,,,,,,,,,,,,,,,,,,,,,1
209,20180209,F,246,NA,IP (Y),SCHOOL Y,,46.9,,51.4,,,43.3,38.2,,,,,49,,,,,,,,,,,,,,,,,,,,,,1
210,20180210,F,259,NA,IP (Y),SCHOOL Y,66.8,,,49.9,,,,57.5,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,1
211,20180211,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,47.8,,50,,,,48,67.2,,,,50.2,,,,,,,,,,,,,,,,,,,,,,1
212,20180212,F,261,NA,IP (Y),SCHOOL Y,,58,,36.3,,,,38.8,,,,,53.6,,,,55.8,,,,,,,,,,,,,,,,,,1
213,20180213,M,269,NA,IP (X),SCHOOL X,,64.1,,78.2,,,,,,,65.2,,,80.8,,72.3,,,,,,,,,,,,,,,,,,,2
214,20180214,F,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,42.5,,60.8,,,,65.8,63.6,,,,51.1,,,,,,,,,,,,,,,,,,,,,,1
215,20180215,M,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,,44.3,,76.8,76.8,,74.1,,,,,,,,,,,,,,,65.5,,,,,,,,,,,,,1
216,20180216,M,249,NA,IP (X),SCHOOL X,,57.2,,43.1,,,76,71,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,1
217,20180217,F,258,NA,IP (Y),SCHOOL Y,,,71.9,63.2,,,,,,,61.1,,,56.8,,,,,,,,,,,,,,,,,,,,,1
218,20180218,M,251,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,52.3,,63.3,,,,70.4,64.2,,,,59.5,,,,,,,,,,,,,,,,,,,,,,1
219,20180219,M,268,NA,IP (X),SCHOOL X,,59.2,,72.7,,,,82.7,76,,,,77.5,,,,,,,,,,,,,,,,,,,,,,1
220,20180220,M,256,NA,IP (X),SCHOOL X,,54.8,,73.8,,,,76.6,74,,,,64.2,,,,,,,,,,,,,,,,,,,,,,2
221,20180221,M,230,NA,DSA (CCA),ST. GABRIEL'S SECONDARY SCHOOL,,47.4,,33.4,,,,41.8,43.4,,,,,,,,,,,,,,,,,,,,,,48.4,,,,1
222,20180222,M,258,NA,IP (X),SCHOOL X,76.3,,,79.4,,,,85.4,,,,,74.5,,,,,,,,,,,,,,,,,,,,,,2
223,20180223,F,253,NA,IP (Y),SCHOOL Y,,54.3,,22.7,,,,34.2,36.8,,,,,,,,,,64,,,,,,,,,,,,,,,,1
224,20180224,F,263,NA,IP (Y),SCHOOL Y,,64.1,,74.8,,,80.7,74.9,,,,,75.7,,,,,,,,,,,,,,,,,,,,,,1
225,20180225,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,54.5,,29.6,,,,,,53.5,,,52.3,,49.7,,,,,,,,,,,,,,,,,,,,2
226,20180226,F,247,NA,DSA,CRESCENT GIRLS' SCHOOL,,63.2,,82.6,,,,78.3,73.3,,,,72.1,,,,,,,,,,,,,,,,,,,,,,1
227,20180227,M,254,NA,IP (X),SCHOOL X,,61.1,,59.7,,,,55,,,,,59.2,,,,57.5,,,,,,,,,,,,,,,,,,1
228,20180228,M,261,NA,IP (X),SCHOOL X,,50.9,,34.2,,,,38.9,46.3,,,,57.2,,,,,,,,,,,,,,,,,,,,,,1
229,20180229,F,263,NA,IP (Y),SCHOOL Y,,57.6,,64.2,,,,61,50.4,,,,46.1,,,,,,,,,,,,,,,,,,,,,,1
230,20180230,M,259,NA,IP (X),SCHOOL X,,46.6,,,,,,,,60.4,,,54.1,,57.5,,,,,,,,,,,,,63.4,,,,,,,1
231,20180231,M,255,NA,IP (X),SCHOOL X,,60,,59.4,,,72,64.6,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,1
232,20180232,M,248,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,,59.8,,50,,,41.9,45.8,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,1
233,20180233,F,257,NA,IP (Y),SCHOOL Y,,55.5,,49.2,,,55.1,53.2,,,,,57.4,,,,,,,,,,,,,,,,,,,,,,2
234,20180234,M,239,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,48.5,,42.7,,,,40.7,,,,,,,,,,,,,51.3,55.4,,,,,,,,,,,,,1
235,20180235,M,247,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,51.9,,60.8,,,,51.3,48.9,,,,63.6,,,,,,,,,,,,,,,,,,,,,,1
236,20180236,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,40.5,,61.2,,,51.4,55.2,,,,,42.4,,,,,,,,,,,,,,,,,,,,,,1
237,20180237,F,259,NA,IP (Y),SCHOOL Y,,61.5,,50.5,,,,63,61.2,,,,,,,,,,,,,,,55.4,,,,,,,,,,,1
238,20180238,M,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52.8,,53,,,,64.3,64.5,,,,68.5,,,,,,,,,,,,,,,,,,,,,,1
239,20180239,F,265,NA,IP (Y),SCHOOL Y,,56.6,,43.5,,,,54.2,51,,,,,,,,,,,,,60.9,,,,,,,,,,,,,1
240,20180240,F,242,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,,67.3,,,,,,,,59,,,53,,63.1,,,,,,,,,,,,49.3,,,,,,,1
241,20180241,F,249,NA,IP (Y),SCHOOL Y,,50.8,,51.4,,,48.9,41.9,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,2
242,20180242,M,252,NA,IP (X),SCHOOL X,,51.7,,47.4,,,,59.9,50.9,,,,70.5,,,,,,,,,,,,,,,,,,,,,,1
243,20180243,F,243,NA,IP (Y),SCHOOL Y,,47.3,,40.9,,,,43.8,46.7,,,,,,,,,,,,,,,,,,,,,,68.4,,,,1
244,20180244,M,256,NA,IP (X),SCHOOL X,,45.1,,55.3,,,69,64.7,,44.9,,,,,,,,,,,,,,,,,,,,,,,,,1
245,20180245,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,53.3,,57.3,,,60.6,41.9,,,,,54.3,,,,,,,,,,,,,,,,,,,,,,1
246,20180246,M,264,NA,IP (X),SCHOOL X,,60.4,,57.3,,,,76.8,70.4,,,,53.2,,,,,,,,,,,,,,,,,,,,,,1
247,20180247,F,239,NA,IP (Y),SCHOOL Y,,50.6,,27.4,,,,42.9,51.8,,,,,,,,,,,,,,,,,,,,,,61.4,,,,1
248,20180248,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,,57.3,,52.2,,,,46.8,50.7,,,,,,,,,,,,,,,,,,,,,,60.3,,,,1
249,20180249,F,251,NA,IP (Y),SCHOOL Y,,47,,41,,51,43.2,,,,,,,,,,,,,,,,,,,,,,,,51.9,,,,1
250,20180250,F,239,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,46.3,,52.9,,,60.5,51,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,1
251,20180251,F,262,NA,IP (Y),SCHOOL Y,,58.3,,55.3,,,,60.3,72.1,,,,,,,,69.5,,,,,,,,,,,,,,,,,,1
252,20180252,M,259,NA,IP (X),SCHOOL X,,52.2,,45.7,,,60.3,58.7,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,2
253,20180253,M,239,NA,IP (X),SCHOOL X,,56.3,,82.7,,,73.6,72.7,,,,,64,,,,,,,,,,,,,,,,,,,,,,2
254,20180254,M,249,NA,IP (X),SCHOOL X,,54.4,,56.7,,,,56.9,54.2,,,,62,,,,,,,,,,,,,,,,,,,,,,1
255,20180255,M,257,NA,IP (X),SCHOOL X,,54.5,,42.8,,,47.4,47.5,,,,,54.7,,,,,,,,,,,,,,,,,,,,,,1
256,20180256,F,262,NA,IP (Y),SCHOOL Y,,56.8,,77.8,,,83.2,76.6,,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
257,20180257,F,247,NA,IP (Y),SCHOOL Y,,57,,55.5,,,,58.9,66.6,,,,62.6,,,,,,,,,,,,,,,,,,,,,,1
258,20180258,F,260,NA,IP (Y),SCHOOL Y,75.1,,,84.7,,,87.5,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1
259,20180259,F,251,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,57.7,,37.9,,,47.4,49,,,,,50.1,,,,,,,,,,,,,,,,,,,,,,1
260,20180260,F,246,NA,IP (Y),SCHOOL Y,,55.7,,37.5,,,,53.1,,,,,55.9,,,,63,,,,,,,,,,,,,,,,,,1
261,20180261,F,259,NA,IP (Y),SCHOOL Y,,51.3,,45.2,,,,50.2,50.5,,,,,,,,,,,,,,,,,,,,,,65,,,,1
262,20180262,M,263,NA,DSA (CCA),SCHOOL X,,50.3,,43.9,,,53.7,49.5,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,1
263,20180263,M,257,NA,IP (X),SCHOOL X,,43.6,,42.8,,,,,,,,,49.3,,49.3,,,,,,,,,,,,,,,51.8,,,,,1
264,20180264,F,0,NA,IP (Y),SCHOOL Y,,,76.5,76.7,,,,,,,62,,,70.1,,,,,,,,,,,,,,,,,,,,,1
265,20180265,F,0,NA,IP (Y),SCHOOL Y,,45.3,,81.7,,82,75.6,,,,,,,,,,,,,,77.2,,,,,,,,,,,,,,1
266,20180266,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,47.4,,44,,,49.3,44.9,,,,,,,,,56.7,,,,,,,,,,,,,,,,,,1
267,20180267,F,268,NA,DSA (CCA),SCHOOL Y,,46.7,,27.8,,,,35.3,38,,,,,,,,,,,,,,,,,,,,,,49.4,,,,1
268,20180268,F,258,NA,IP (Y),SCHOOL Y,,58.8,,47.8,,,,50.1,68.7,54.3,,,,,,,,,,,,,,,,,,,,,,,,,1
269,20180269,M,256,NA,IP (X),SCHOOL X,,49.1,,47.6,,,60.6,53.8,,,,,56.9,,,,,,,,,,,,,,,,,,,,,,1
270,20180270,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,43.7,,58.8,,,62.4,57,,,,,49.6,,,,,,,,,,,,,,,,,,,,,,1
271,20180271,M,256,NA,IP (X),SCHOOL X,,63.2,,44.6,,,,,,,64.3,,,61.3,,63.9,,,,,,,,,,,,,,,,,,,1
272,20180272,M,256,NA,IP (X),SCHOOL X,,57.3,,50.6,,,,67.7,65.4,,,,69.9,,,,,,,,,,,,,,,,,,,,,,1
273,20180273,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,54,,84.1,,,81,66.7,,,,,65.3,,,,,,,,,,,,,,,,,,,,,,1
274,20180274,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,50.1,,50.7,,,,53.9,59.1,,,,56.2,,,,,,,,,,,,,,,,,,,,,,1
275,20180275,M,245,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,42.4,,51.8,,,53.6,58.4,,,,,56.7,,,,,,,,,,,,,,,,,,,,,,2
276,20180276,M,260,NA,IP (X),SCHOOL X,,55.7,,58.7,,,,65.6,66.2,,,,51,,,,,,,,,,,,,,,,,,,,,,2
277,20180277,F,251,NA,IP (Y),SCHOOL Y,,52.6,,69,,,68.3,71.4,,,,,56.3,,,,,,,,,,,,,,,,,,,,,,1
278,20180278,F,246,NA,IP (Y),SCHOOL Y,,48.4,,61.9,,,,68.5,67.9,,,,59.3,,,,,,,,,,,,,,,,,,,,,,1
279,20180279,M,0,NA,IP (X),SCHOOL X,,46.8,,61.3,,,69,64.4,,,,,62.8,,,,,,,,,,,,,,,,,,,,,,2
280,20180280,M,257,NA,IP (X),SCHOOL X,,49.2,,54.8,,,56.7,51.2,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,1
281,20180281,M,0,NA,DSA,NAN HUA HIGH SCHOOL,,59,,73.8,,,69.1,,,,,,68.1,,58.5,,,,,,,,,,,,,,,,,,,,1
282,20180282,M,258,NA,IP (X),SCHOOL X,,59.6,,73.3,,,,80.7,65,,,,,,,,,,,,,,,,,69.1,,,,,,,,,1
283,20180283,F,257,NA,IP (Y),SCHOOL Y,,64.7,,73.4,,,69.9,65.5,,,,,,,,,,,,,,66.9,,,,,,,,,,,,,1
284,20180284,M,241,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,47.2,,58.5,,,58.6,45.2,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,1
285,20180285,F,247,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,46.7,,49,,,44.4,50.9,,,,,45.7,,,,,,,,,,,,,,,,,,,,,,1
286,20180286,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,,45.3,,75.4,,,61.2,65.5,,,,,54.9,,,,,,,,,,,,,,,,,,,,,,1
287,20180287,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,60.9,,69.3,,,,68.4,69.1,,,,62.2,,,,,,,,,,,,,,,,,,,,,,2
288,20180288,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,51.2,,69.7,,,67.9,66.1,,,,,,,,,,,,,,,,,,,,,,,74.7,,,,2
289,20180289,F,248,NA,IP (Y),SCHOOL Y,,61.3,,42.5,,,,42.7,47.5,,,,59.7,,,,,,,,,,,,,,,,,,,,,,1
290,20180290,M,240,NA,IP (X),SCHOOL X,,54.1,,38.5,,,47.9,41.1,,,,,,,,,,,,,,,,,,,,,,,50.2,,,,1
291,20180291,F,263,NA,IP (Y),SCHOOL Y,,50.8,,72.5,,,,59,66.6,,,,57.2,,,,,,,,,,,,,,,,,,,,,,1
292,20180292,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,56.3,,53.8,,,47.8,50.9,,,,,42.2,,,,,,,,,,,,,,,,,,,,,,1
293,20180293,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,47.4,,59.6,,,57,60.5,,,,,54,,,,,,,,,,,,,,,,,,,,,,2
294,20180294,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,51.3,,43,,,55.7,55.2,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,1
295,20180295,M,255,NA,IP (X),SCHOOL X,,55.4,,43.9,,,57.4,56.3,,,,,58.1,,,,,,,,,,,,,,,,,,,,,,0
296,20180296,M,249,NA,IP (X),SCHOOL X,,56.2,,74.6,,,76.9,71,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,1
297,20180297,F,248,NA,IP (Y),SCHOOL Y,,51.5,,76.9,,,77.3,85.5,,,,,65.3,,,,,,,,,,,,,,,,,,,,,,0
298,20180298,F,257,NA,IP (Y),SCHOOL Y,,54.5,,69.7,,,,61.2,57.7,,,,53.3,,,,,,,,,,,,,,,,,,,,,,2
299,20180299,F,255,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,53,,63.2,,,67,69.7,,,,,59.3,,,,,,,,,,,,,,,,,,,,,,1
300,20180300,F,249,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,55.8,,39.6,,,,,,,,,52.4,,51.7,,,,,,,,,,,,,,,57.5,,,,,1
301,20180301,F,253,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,46.3,,44.3,,,52.3,,,,,,59.7,,49.7,,,,,,,,,,,,,,,,,,,,1
302,20180302,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,52.1,,63.6,,,,62,59.1,,,,51.5,,,,,,,,,,,,,,,,,,,,,,1
303,20180303,F,255,NA,IP (Y),SCHOOL Y,,53.2,,19.6,,,37.1,37.6,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,1
304,20180304,F,260,NA,IP (Y),SCHOOL Y,,62.5,,56,,,,65.6,75.7,,,,62.1,,,,,,,,,,,,,,,,,,,,,,1
305,20180305,F,265,NA,IP (Y),SCHOOL Y,,56,,74.7,,,,79.9,81.1,,,,65.4,,,,,,,,,,,,,,,,,,,,,,1
306,20180306,M,264,NA,IP (X),SCHOOL X,,57.8,,61.5,,,,61.7,62.7,,,,56.1,,,,,,,,,,,,,,,,,,,,,,1
307,20180307,M,256,NA,IP (X),SCHOOL X,,50.3,,47.9,,,,,,51.9,,,49.5,,,,,,,,,52.1,,,,,,,,,,,,,2
308,20180308,M,263,NA,IP (X),SCHOOL X,,56.1,,65.7,,,74.5,69.3,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,1
309,20180309,F,0,NA,JAE Ordinary Admission,MARSILING SECONDARY SCHOOL,,43,,41.7,,,30.6,,,,,,52.1,,,,,,,,55,,,,,,,,,,,,,64.9,1
310,20180310,F,264,NA,IP (Y),SCHOOL Y,,,70.5,,,,,,,,67.1,,,53.1,,,,57,,,,,,,,,,50.4,,,,,,,1
311,20180311,M,258,NA,IP (X),SCHOOL X,,50.1,,53.7,,,,,,,,,,,,,,,,,57.7,72,,,,,,,,,69.6,,,,1
312,20180312,F,265,NA,IP (Y),SCHOOL Y,,57.9,,63.1,,,,54.4,57.5,,,,60.2,,,,,,,,,,,,,,,,,,,,,,1
313,20180313,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,51.8,,58.1,,,,,,64.5,,,57.4,,60.9,,,,,,,,,,,,,,,,,,,,2
314,20180314,F,254,NA,IP (Y),SCHOOL Y,,48.9,,79.3,,,,70.2,67.5,,,,56.5,,,,,,,,,,,,,,,,,,,,,,1
315,20180315,M,256,NA,IP (X),SCHOOL X,,51,,61.3,,,,54.1,71.3,,,,61.9,,,,,,,,,,,,,,,,,,,,,,2
