NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,PE,COM,PA,CH,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,FN,AL,MSP,HH,HG,HL,IH,HZ,HP,IHC,IHE,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,CLO,SP
20180049,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.5,6,B3,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180050,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.5,6,B4,D7,,,,A1,A1,B4,B3,,,,,,,,,,,,C5,,,,,,,,,,,,C5,,,,,,,A1,,,,A1,,
20180051,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.61,6,A1,A1,,,,A1,A1,A2,B3,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180052,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,A2,A1,,,A2,A2,,A1,A1,,,,,,A2,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180053,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.5,6,B4,A2,,,,A1,A1,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180054,M,JAE Ordinary Admission,Science,BOWEN SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,A2,B3,B3,,,A1,A1,A1,A2,,,,,,,,,,,,A1,,,,,,B3,,,,,,,,,,,,,,,,,,,
20180055,M,JAE Ordinary Admission,Science,ST. JOSEPH'S INSTITUTION,CHRISTIAN,SINGAPORE CITIZEN,,0,7,A1,,B3,,,A1,A1,A2,A1,A2,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180056,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,2.88,6,B4,D7,,,,A2,B3,B3,A2,,,,,,,,,A2,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180057,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.82,6,B4,A1,,,,A1,A1,B3,B3,A2,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180058,M,DSA (CCA),Science,XINMIN SECONDARY SCHOOL,ROMAN CATHOLICISM,INDONESIAN,,,6,A1,B3,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
