SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
32,20200032,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.66,,,0.71,0.65,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,20200033,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.95,,,0.81,0.88,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,2
34,20200034,F,0,NA,IP (Y),SCHOOL Y,1,,0.98,,0.71,,,,,,,0.83,,,0.46,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,2
35,20200035,F,223,NA,DSA (CCA),SCHOOL Y,1,,0.5,,0.26,,,,0.55,0.14,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,1
36,20200036,F,0,NA,IP (Y),SCHOOL Y,1,,0.18,,0.7,,,,0.42,0.6,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
37,20200037,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.58,,,0.38,0.25,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
38,20200038,F,0,NA,IP (Y),SCHOOL Y,1,,,0.25,,,,,,,,0.26,,,0.02,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,2
39,20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,1,,0.87,,0.34,,,,0.58,0.59,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
40,20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,1,,0.18,,0.01,,,,,,,,,0.63,,0.12,,,,,,,,,,,,,,,,0.88,,,,,,,,,,3
41,20200041,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.09,,,,0.09,0.11,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.92,,0.89,,,,0.9,0.83,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
43,20200043,F,0,NA,IP (Y),SCHOOL Y,1,,0.94,,0.62,,,,0.64,,,,,0.68,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,2
44,20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,1,,0.39,,,,,,,,0.75,,,0.07,,,,0.31,,,,,,,,,,,0.14,,,,,,,,,,,,,1
45,20200045,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.69,,,0.5,0.64,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
46,20200046,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.72,,,0.4,0.53,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
47,20200047,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.64,,,0.35,0.77,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,20200048,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.58,,,,0.65,0.38,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
49,20200049,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.31,,,,0.52,,,,,0.97,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,1
50,20200050,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.74,,,0.77,0.38,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
51,20200051,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.07,,,,0.24,,,,,0.61,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,1
52,20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,1,,0.14,,0.02,,,,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,1
53,20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,1,,0.62,,0.63,,,,0.78,0.53,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
54,20200054,F,0,NA,IP (Y),SCHOOL Y,1,,0.87,,0.14,,,,0.08,0.13,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,20200055,M,0,NA,IP (X),SCHOOL X,1,,0.97,,0.97,,,0.93,0.93,,,,,,,,,,,,,,,,,0.88,,,,,,,,,0.37,,,,,,,1
56,20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.18,,0.41,,,0.17,0.14,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.28,,0.4,,,0.74,0.66,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
58,20200058,F,0,NA,IP (Y),SCHOOL Y,1,,0.87,,0.09,,,0.25,0.03,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,1,,0.5,,0.41,,,,0.28,0.67,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
60,20200060,F,0,NA,IP (Y),SCHOOL Y,1,,0.05,,0.72,,,0.38,0.41,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61,20200061,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.34,,0.38,,,,0.53,0.43,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,20200062,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.39,,0.29,,,,0.6,0.45,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,20200063,F,0,NA,IP (Y),SCHOOL Y,1,,0.96,,0.72,,,,0.8,0.81,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,1
64,20200064,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.55,,0.19,,,0.62,0.39,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,20200065,M,0,NA,IP (X),SCHOOL X,1,,0.91,,0.54,,,,0.73,0.37,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
66,20200066,M,0,NA,IP (X),SCHOOL X,1,,0.09,,0.15,,,0.06,0.06,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,20200067,M,0,NA,IP (X),SCHOOL X,1,,0.22,,0.5,,,,0.68,,,,,0.48,,,,,,,,,0.2,,,,,,,,,,,,,,0.38,,,,,1
68,20200068,M,0,NA,IP (X),SCHOOL X,1,,0.91,,0.94,,,0.94,0.9,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,0.77,,,,,,1
69,20200069,M,0,NA,IP (X),SCHOOL X,1,,0.84,,0.66,,,0.66,0.57,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,20200070,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.62,,,,0.15,0.17,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,20200071,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.87,,,,0.58,0.84,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,20200072,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0,,,,0.02,0.05,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,20200073,M,0,NA,IP (X),SCHOOL X,1,,,1,0.94,,,,,,,0.91,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,2
74,20200074,F,0,NA,IP (Y),SCHOOL Y,1,,0.92,,0.95,,,0.62,0.78,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,20200075,M,0,NA,JAE Ordinary Admission,DAMAI SECONDARY SCHOOL,1,,0.07,,0.35,,,0.46,0.2,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,1
76,20200076,F,0,NA,IP (Y),SCHOOL Y,1,,0.44,,0.24,,,,0.34,0.49,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,20200077,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.08,,,0.12,0.12,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,20200078,F,0,NA,IP (Y),SCHOOL Y,1,,0.14,,0.11,,,,0.22,0.08,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,20200079,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.84,,0.82,,,0.46,0.36,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,20200080,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.17,,,,0.48,0.22,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,1
81,20200081,M,0,NA,IP (X),SCHOOL X,1,,0.98,,0.85,,,,0.85,0.89,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,20200082,M,0,NA,IP (X),SCHOOL X,1,,0.67,,0.13,,,0.26,0.22,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
83,20200083,F,0,NA,IP (Y),SCHOOL Y,1,,0.72,,0.07,,,,,,0.39,,,,,0.43,,,,,,,,,,,,,,,,,0.56,,,,,,,,,1
84,20200084,M,0,NA,IP (X),SCHOOL X,1,,0.89,,0.83,,,0.82,0.94,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,1
85,20200085,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.81,,,,0.74,0.5,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,20200086,F,0,Repeat Yr2,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.39,,0.02,,,,0.03,0.02,,,,EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,20200087,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.03,,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,1
88,20200088,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,0.21,,,,0.45,0.2,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
89,20200089,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.91,,,0.96,0.89,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,1
90,20200090,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.75,,,,0.73,0.71,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,20200091,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.39,,0.39,,,,0.44,0.38,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,20200092,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.18,,0.6,0.28,,0.48,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
93,20200093,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.1,,,,0.08,0.35,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,20200094,F,0,NA,IP (Y),SCHOOL Y,1,,0.94,,0.49,,,,0.67,0.4,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,2
95,20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,1,,0.67,,0.73,,,,0.66,0.37,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,20200096,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.18,,,,,,0.43,,,0.75,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,1
97,20200097,F,0,NA,IP (Y),SCHOOL Y,1,,0.94,,0.86,,,,,,,0.46,,,0.85,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,1
98,20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.72,,0.25,,,,0.1,,,,,0.67,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,1
99,20200099,F,0,NA,IP (Y),SCHOOL Y,1,,0.94,,0.82,,,,0.73,0.97,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,1
100,20200100,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.79,,,0.75,0.93,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
101,20200101,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.23,,,0.23,0.4,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,1
102,20200102,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.42,,0.2,0.24,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
103,20200103,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.34,,,0.21,0.28,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,1
104,20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.18,,0.09,,,,0.21,0.16,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.89,,0.98,,,,0.96,0.88,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,20200106,M,0,NA,IP (X),SCHOOL X,1,,0.09,,0.18,,,,0.36,0.15,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
107,20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.28,,0.31,,,,,,0.79,,,0.28,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,1
108,20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,1,,0.22,,0.55,,,0.54,0.53,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
109,20200109,F,0,NA,IP (Y),SCHOOL Y,1,,0.92,,0.92,,,0.77,0.99,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,20200110,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,,,,,,,,0.28,,,,,,,0.2,,,,0.02,,,,,,0.81,,,,,,,,,,,,,1
111,20200111,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,0.5,,,,0.6,0.41,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,1
112,20200112,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.79,,,,0.49,0.48,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
113,20200113,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.32,,,,0.28,0.18,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,20200114,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.92,,,0.64,0.89,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,1
115,20200115,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.63,,,0.85,0.9,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,1
116,20200116,F,0,NA,IP (Y),SCHOOL Y,1,,0.03,,,,,,,,,,,0,,,,,,,,0.24,0.12,,,,,,0.03,,,,,,,,,,,,,1
117,20200117,F,0,NA,IP (Y),SCHOOL Y,1,0.5,,,0.87,,,,0.91,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,1
118,20200118,M,0,NA,IP (X),SCHOOL X,1,,0.89,,0.98,,,,0.98,0.98,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,2
119,20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),1,,0.28,,0.68,,,0.21,0.34,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20200120,M,0,NA,IP (X),SCHOOL X,1,,0.96,,0.7,,,0.66,0.69,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,1
121,20200121,M,0,NA,IP (X),SCHOOL X,1,,0.11,,0.08,,,,0.05,0.24,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
122,20200122,M,0,NA,IP (X),SCHOOL X,1,0.92,,,0.71,,0.57,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,20200123,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.35,,,0.41,0.3,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.52,,1
124,20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.5,,0.69,,,,0.92,0.96,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,2
125,20200125,F,0,NA,IP (Y),SCHOOL Y,1,,0.92,,0.59,,,,0.7,0.91,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
126,20200126,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.26,,,0.19,0.18,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
127,20200127,M,0,NA,IP (X),SCHOOL X,1,,0.05,,0.35,,0.13,0.49,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
128,20200128,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.21,,,0.42,0.17,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
129,20200129,F,0,NA,IP (Y),SCHOOL Y,1,,0.98,,0.47,,,,0.67,0.47,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,1
130,20200130,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.77,,,0.8,0.66,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
131,20200131,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,0.11,,,0.36,,,,,,0.1,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
132,20200132,F,0,NA,IP (Y),SCHOOL Y,1,,0.97,,0.14,,,,0.31,0.47,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
133,20200133,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.74,,0.44,0.58,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,1
134,20200134,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.28,,,,,,,,0.66,,,0.32,,,,,,0.16,,,,,,,,,0.55,,,,,,,,,,,0.29,,1
135,20200135,M,0,NA,IP (X),SCHOOL X,1,,0.22,,0.38,,,,0.4,0.04,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
136,20200136,F,0,NA,IP (Y),SCHOOL Y,1,,0.05,,0.07,,,0.08,0.08,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
137,20200137,M,0,NA,IP (X),SCHOOL X,1,,0.67,,0.93,,,0.89,0.97,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
138,20200138,M,0,NA,IP (X),SCHOOL X,1,,0.96,,0.14,,,,0.09,,,,,0.65,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,1
139,20200139,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.23,,,,0.42,0.51,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
140,20200140,F,259,Repeat Yr1,IP (Y),SCHOOL Y,1,,0.84,,0.05,,,,0.16,0.28,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,0
