SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
141,20200141,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.28,,0.52,,,0.65,0.55,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142,20200142,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.44,,0.65,,,0.19,0.24,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
143,20200143,M,0,NA,IP (X),SCHOOL X,1,,0.91,,0.64,,,,,,,0.34,,,0.41,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,1
144,20200144,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.4,,,,0.38,0.8,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
145,20200145,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.6,,,0.59,0.48,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,1
146,20200146,M,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.14,,0.76,,,,0.74,0.52,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
147,20200147,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.94,,,0.69,0.94,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,0.88,,,,,1
148,20200148,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.07,,0.41,,,0.18,0.11,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
149,20200149,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.43,,,,0.34,,,,,0.61,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1
150,20200150,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.07,,0.04,,,0.01,0.04,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,1
151,20200151,F,0,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,1,,0.28,,0.59,,,,0.77,0.43,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
152,20200152,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.54,,,0.69,0.76,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,2
153,20200153,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.94,,,,0.98,1,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,2
154,20200154,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.67,,0.45,,,,0.63,0.76,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
155,20200155,F,234,NA,DSA (CCA),TEMASEK SECONDARY SCHOOL,1,,0.5,,0.75,,,,0.49,0.48,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156,20200156,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.84,,0.21,,0.38,,0.22,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
157,20200157,F,0,NA,IP (Y),SCHOOL Y,1,,,0.75,0.49,,,,,,,0.59,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,1
158,20200158,M,0,NA,IP (X),SCHOOL X,1,,0.09,,0.06,,,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,1
159,20200159,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.34,,0.05,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,1
160,20200160,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.39,,,0.14,,,,,,0.18,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,1
161,20200161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.62,,,,,,0.1,,,,,0.15,,0.34,,,,,,,,,,,,,0.66,,,,,,,,,,,,,1
162,20200162,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,1,,0.07,,0.84,,,0.78,0.75,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
163,20200163,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.92,0.5,,0.57,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
164,20200164,M,0,NA,IP (X),SCHOOL X,1,,0.91,,0.57,,,,0.21,0.57,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
165,20200165,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,1,,0.18,,0.3,,,0.13,0.34,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,1
166,20200166,M,0,NA,IP (X),SCHOOL X,1,,0.67,,0.46,,,,,,0.9,,,0.61,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,2
167,20200167,M,0,NA,IP (X),SCHOOL X,1,,0.67,,0.16,,,,0.32,0.55,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,1
168,20200168,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.39,,0.31,,,0.32,0.48,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
169,20200169,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.28,,0.66,,,,0.84,0.72,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
170,20200170,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.51,,,,0.52,0.76,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,1
171,20200171,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),1,,0.22,,0.41,,,0.15,0.42,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,1
172,20200172,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.34,,0.3,,,0.37,0.44,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,2
173,20200173,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.87,,0.26,,,,0.47,0.53,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
174,20200174,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.34,,0.1,,,,,,,0.26,,,0.04,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,1
175,20200175,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.92,,0.59,,,,,,,0.3,,,0.75,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,2
176,20200176,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,0.06,,,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,1
177,20200177,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.65,,,,0.61,0.57,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,1
178,20200178,M,0,NA,IP (X),SCHOOL X,1,,0.22,,0.25,,,0.13,0.05,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,1
179,20200179,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.97,,0.47,,,,0.5,,,,,0.93,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2
180,20200180,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.81,,0.6,,,,0.46,,0.71,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
181,20200181,F,0,NA,IP (Y),SCHOOL Y,1,,0.09,,0.09,,,0.1,0.11,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,1
182,20200182,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.63,,,,0.76,0.43,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
183,20200183,M,0,NA,IP (X),SCHOOL X,1,,0.98,,0.88,,,,,,,0.4,,,0.9,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,2
184,20200184,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.79,,,,0.9,0.93,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,1
185,20200185,F,0,NA,IP (Y),SCHOOL Y,1,,0.55,,,,,,0.09,,0.43,,,0.04,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
186,20200186,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0.07,,0.39,,,0.11,0.12,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
187,20200187,F,0,NA,IP (Y),SCHOOL Y,1,,0.11,,0.36,,,,0.18,0.14,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
188,20200188,F,0,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,1,,0.72,,0.29,,,0.23,0.3,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
189,20200189,M,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,1,,0.18,,0.75,,,,0.78,0.61,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
190,20200190,M,0,NA,IP (X),SCHOOL X,1,,0.55,,0.31,,,0.51,0.48,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
191,20200191,M,0,NA,JAE Ordinary Admission,PEI HWA SECONDARY SCHOOL,1,,0.34,,0.26,,0.32,0.63,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,1
192,20200192,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,1,,0.62,,0.17,,,0.11,0.1,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
193,20200193,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.35,,,,0.43,0.34,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
194,20200194,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.72,,0.29,,,0.42,0.16,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
195,20200195,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,1,,0.28,,0.49,,,0.33,0.54,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,1
196,20200196,F,0,NA,IP (Y),SCHOOL Y,1,,0.39,,0.2,,,,0.12,0.31,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,1
197,20200197,F,0,NA,DSA (CCA),CLEMENTI TOWN SECONDARY SCHOOL,1,,0.67,,,,,,,,0.71,,,0.68,,0.58,,,,,,,,,,,,,0.77,,,,,,,,,,,,,1
198,20200198,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.05,,0.22,,,,0.62,0.26,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
199,20200199,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,1,,0.34,,0.68,,,,0.37,0.28,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
200,20200200,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0,,,,0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,1
201,20200201,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.89,,0.63,,,,0.71,0.71,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
202,20200202,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.62,,0.91,,,,,,0.83,,,0.88,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,1
203,20200203,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.18,,0.68,,,0.85,0.71,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
204,20200204,F,0,NA,IP (Y),SCHOOL Y,1,,0.91,,0.92,,,0.53,0.74,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
205,20200205,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.51,,,,0.56,0.76,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
206,20200206,F,233,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.44,,0.14,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,1
207,20200207,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.76,,0.32,,,,0.31,,,,,0.5,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,1
208,20200208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.81,,0.77,,,0.5,0.44,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
209,20200209,F,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,1,,0.22,,0.13,,,,,,,,,0.46,,,,0.56,,,,,0.8,,,,,,,,,,,,,,,,,,,1
210,20200210,F,0,NA,IP (Y),SCHOOL Y,1,,0.62,,0.12,,,0.12,,,,,,0.24,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,2
211,20200211,M,0,NA,JAE Ordinary Admission,CHANGKAT CHANGI SECONDARY SCHOOL,1,,0.22,,0.78,,,0.91,0.84,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,0.71,,,,,,1
212,20200212,M,0,NA,IP (X),SCHOOL X,1,,0.28,,0.33,,,0.21,0.58,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
213,20200213,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.65,,,,0.6,0.56,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
214,20200214,M,0,NA,IP (X),SCHOOL X,1,,0.72,,0.3,,,0.31,0.48,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
215,20200215,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.96,,0.94,0.95,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,1
216,20200216,M,0,NA,IP (X),SCHOOL X,1,,0.89,,0.98,,,0.93,0.97,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,1
217,20200217,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.05,,,,,,,0.18,,,0.14,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,1
218,20200218,M,0,NA,IP (X),SCHOOL X,1,,0.55,,0.3,,,0.14,0.13,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,0.41,,1
219,20200219,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.49,,,,0.29,0.37,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
220,20200220,F,0,NA,IP (Y),SCHOOL Y,1,,0.03,,0.02,,0.11,0.02,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
221,20200221,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.45,,,0.72,0.89,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,1
222,20200222,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,0.51,,,0.87,0.7,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223,20200223,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,1,,0,,0.22,,,0.31,0.23,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,1
224,20200224,M,0,NA,IP (X),SCHOOL X,1,,0.28,,0.74,,,0.36,0.27,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
225,20200225,M,0,NA,IP (X),SCHOOL X,1,0.73,,,0.99,,,,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.96,,,,1
226,20200226,M,0,NA,IP (X),SCHOOL X,1,,0.28,,0.78,,,0.45,0.69,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
227,20200227,M,0,NA,IP (X),SCHOOL X,1,,0.87,,0.92,,,,0.96,0.91,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
228,20200228,F,0,NA,IP (Y),SCHOOL Y,1,,0.5,,0.44,,,,0.67,0.54,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
229,20200229,F,0,NA,IP (Y),SCHOOL Y,1,,0.76,,0.8,,,,0.81,0.88,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
230,20200230,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.53,,,0.29,0.53,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
231,20200231,M,0,NA,IP (X),SCHOOL X,1,,0.92,,0.33,,,,,,,0.04,,,0.12,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,1
232,20200232,M,0,NA,IP (X),SCHOOL X,1,0.53,,,0.97,,,0.99,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,1
233,20200233,F,242,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),1,,0.76,,0.31,,,0.31,0.32,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
234,20200234,F,0,NA,IP (Y),SCHOOL Y,1,0.57,,,0.7,,,0.69,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,2
235,20200235,F,0,NA,IP (Y),SCHOOL Y,1,,0.11,,0.24,,,,0.35,0.22,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,2
236,20200236,F,0,NA,IP (Y),SCHOOL Y,1,,0.18,,0.46,,,,0.39,0.56,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
237,20200237,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.74,,,,0.84,0.71,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
238,20200238,F,243,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,1,,0.62,,0.04,,,,,,0.62,,,0.12,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1
239,20200239,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.4,,,,0.91,0.9,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1
240,20200240,M,0,NA,IP (X),SCHOOL X,1,,0.94,,0.94,,,,0.94,0.9,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,2
241,20200241,M,250,NA,DSA (CCA),SCHOOL X,1,,0.18,,0.23,,,0.14,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,1
242,20200242,M,248,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,1,,0.72,,0.78,,,,0.72,0.51,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,1
243,20200243,M,0,NA,IP (X),SCHOOL X,1,,0.97,,0.56,,,,,,,,,0.48,,0.74,,,,,,,,0.9,,,,,,,,,,,,,,,,,,1
244,20200244,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.13,,,,0.04,,,,,0.32,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,1
245,20200245,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.56,,,,0.59,0.33,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,1
246,20200246,M,0,NA,IP (X),SCHOOL X,1,,0.34,,0.29,,,,0.64,0.35,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
247,20200247,M,0,NA,IP (X),SCHOOL X,1,,0.62,,0.76,,,0.61,0.76,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
248,20200248,M,0,NA,IP (X),SCHOOL X,1,,0.55,,0.64,,,0.33,0.5,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
249,20200249,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,1,,0,,0.6,,,0.34,0.31,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,1
250,20200250,F,0,NA,JAE Ordinary Admission,DUNMAN SECONDARY SCHOOL,1,,0.39,,0.96,,,0.9,0.94,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,1
251,20200251,M,215,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,1,,0,,0.05,,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,1
252,20200252,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.66,,,,0.26,0.31,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
253,20200253,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.55,,,0.51,0.67,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,0.64,,2
254,20200254,F,0,NA,IP (Y),SCHOOL Y,1,,0.14,,0.08,,,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,1
255,20200255,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,1,,0.72,,0.98,,,,0.98,0.95,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
256,20200256,M,0,NA,JAE Ordinary Admission,YISHUN SECONDARY SCHOOL,1,,0.5,,0.93,,,0.9,0.97,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
257,20200257,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),1,,0.98,,0.85,,,,0.78,0.97,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
258,20200258,F,0,NA,IP (Y),SCHOOL Y,1,,0.72,,0.19,,,,0.61,0.7,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
259,20200259,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.92,,,0.89,0.81,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,1
260,20200260,F,0,NA,IP (Y),SCHOOL Y,1,,0.18,,0.68,,,,0.78,0.71,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,1
261,20200261,M,235,Repeat Yr1,DSA (CCA),NAN HUA HIGH SCHOOL,1,,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1
262,20200262,F,0,NA,IP (Y),SCHOOL Y,1,,0.09,,0.52,,,0.54,0.36,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
263,20200263,M,0,NA,IP (X),SCHOOL X,1,,0.18,,0.56,,,0.31,0.46,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
264,20200264,F,0,NA,IP (Y),SCHOOL Y,1,,0.28,,,,,,,,,,,0.06,,0.6,,,,,,,0.01,,,,,,0.07,,,,,,,,,,,,,1
265,20200265,F,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,1,,0.01,,0.18,,,,0.24,0.1,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
266,20200266,M,0,NA,IP (X),SCHOOL X,1,,0.02,,0.77,,0.74,0.75,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,1
267,20200267,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.67,,0.62,,,0.45,0.48,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,1
268,20200268,M,0,NA,IP (X),SCHOOL X,1,,0.84,,0.9,,,0.93,0.92,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
269,20200269,M,246,NA,DSA,NAN HUA HIGH SCHOOL,1,,,0.37,0.48,,,,,,,0.63,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,2
270,20200270,M,0,NA,IP (X),SCHOOL X,1,,0.5,,0.39,,,0.69,0.64,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1
271,20200271,M,0,NA,IP (X),SCHOOL X,1,,0.39,,0.22,,,,0.35,0.12,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
272,20200272,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.72,,0.08,,,,0.32,0.33,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
273,20200273,M,0,NA,IP (X),SCHOOL X,1,,,0.25,,,,,,,,0.12,,,0.29,,0.57,,,,,,,,,,,,0.74,,,,,,,,,,,,,2
274,20200274,F,0,NA,IP (Y),SCHOOL Y,1,,0.96,,0.63,,,,0.66,0.82,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,2
275,20200275,F,0,NA,IP (Y),SCHOOL Y,1,,0.67,,0.54,,,0.56,0.85,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,2
276,20200276,M,0,NA,IP (X),SCHOOL X,1,,0.22,,0.53,,,,0.88,0.39,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
277,20200277,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,1,,0.05,,0.11,,,,0.07,0.06,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
278,20200278,F,0,NA,IP (Y),SCHOOL Y,1,,0.89,,0.55,,,,0.37,0.69,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,1
279,20200279,F,0,NA,IP (Y),SCHOOL Y,1,,0.84,,0.88,,0.89,0.89,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,3
280,20200280,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1,,0.67,,0.46,,,0.44,0.58,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,2
281,20200281,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.44,,0.23,,,,0.91,0.65,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,1
282,20200282,M,0,NA,IP (X),SCHOOL X,1,0.61,,,0.55,,,,0.62,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,1
283,20200283,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,1,,0.22,,0.13,,,0.48,0.3,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
284,20200284,M,0,NA,IP (X),SCHOOL X,1,,0.44,,0.17,,,,0.07,0.26,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
285,20200285,M,0,NA,IP (X),SCHOOL X,1,,0.81,,0.82,,,,0.71,0.71,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,1
286,20200286,F,0,NA,IP (Y),SCHOOL Y,1,,0.44,,0.41,,,,0.49,,0.79,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2
