NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190119,F,269,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,43,96,1.2,88.75,1
20190120,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,219,80,1.4,85,1
20190121,M,259,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,43,96,1.2,88.75,1
20190122,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,A,,C,,C,,,S,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,884,20,3.7,62.5,1
20190123,M,263,NA,IP (X),SCHOOL X,A,,C,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,472,57,1.9,78.75,1
20190124,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,A,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,364,67,1.7,81.25,2
20190125,F,263,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,D,,,,,B,,,,,,B,,,,,,,,,,,,,,,,,,,,ME,,A,A,Passed,710,35,3,71.25,1
20190126,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,B,,U,,D,E,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,999,9,4.8,51.25,1
20190127,F,258,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,C,,,B,,,,,,,,B,,,,,,D,,,,,,,,,,,,,,A,A,Passed,673,39,2.6,72.5,1
20190128,M,258,NA,IP (X),SCHOOL X,A,,B,,C,,,,,,,C,,,,,C,,,,,,,,,A,,,,,,,,,,,,,,,,A,A,Passed,576,47,2.3,76.25,1
20190129,M,269,NA,IP (X),SCHOOL X,A,,A,,D,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,A,Passed,472,57,2.3,78.75,2
20190130,M,243,NA,IP (X),SCHOOL X,B,,C,,U,,,,U,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,1061,3,5.6,36.25,1
20190131,M,256,NA,IP (X),SCHOOL X,A,,B,,E,,,B,,,,,,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,822,25,3.4,66.25,1
20190132,F,261,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,1,100,1,90,1
20190133,M,260,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,B,Passed,43,96,1,88.75,2
20190134,M,246,NA,IP (X),SCHOOL X,A,,B,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.1,78.75,1
20190135,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,A,,A,,U,,,,E,,C,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,980,11,4.6,55,1
20190136,F,261,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,C,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,793,28,3.2,67.5,1
20190137,M,249,NA,IP (X),SCHOOL X,A,,D,,U,,,,S,,,,,D,,,,,,,,,,,,,,,C,,,,,,,,,,,,,A,C,Passed,1044,5,4.8,41.25,1
20190138,M,241,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,2
20190139,F,238,NA,IP (Y),SCHOOL Y,A,,C,,E,,,C,D,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,A,B,Passed,894,19,3.6,61.25,1
20190140,M,254,NA,IP (X),SCHOOL X,A,,C,,D,,,C,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,884,20,3.7,62.5,1
20190141,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,C,,B,,,,A,B,,,,,,B,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,A,Passed,364,67,1.7,81.25,1
20190142,F,264,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,2
20190143,F,253,NA,IP (Y),SCHOOL Y,A,,D,,S,,,E,,,,,,S,,,,,,,,,,,,,,,,B,,,,,,,,,,,,A,C,Passed,1046,5,4.9,40,1
20190144,F,250,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,219,80,1.4,85,1
20190145,F,263,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,1
20190146,F,257,NA,IP (Y),SCHOOL Y,B,,B,,C,,,,C,,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,610,44,2.4,75,1
20190147,M,257,NA,IP (X),SCHOOL X,A,,B,,A,,,A,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190148,M,0,NA,JAE Ordinary Admission,SCHOOL X,A,,B,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,2
20190149,M,250,NA,IP (X),SCHOOL X,A,,B,,U,,,S,U,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1061,3,5.4,36.25,1
20190150,M,245,NA,IP (X),SCHOOL X,A,,B,,S,,,B,D,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,756,31,3.2,68.75,1
20190151,M,250,NA,IP (X),SCHOOL X,A,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,310,72,1.7,82.5,1
20190152,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",A,,C,,B,,,B,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,PA,,,,,A,B,Passed,364,67,1.7,81.25,1
20190153,M,252,NA,IP (X),SCHOOL X,A,,B,,U,,,S,U,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,A,C,Failed,1090,1,6,23.75,0
20190154,F,262,NA,IP (Y),SCHOOL Y,A,,C,,E,,,,,,,,,C,,,,,,,,B,,,,,,,,,,,,C,,,,,,,,A,A,Passed,793,28,3,67.5,1
20190155,F,254,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,U,,,,S,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,Passed,985,10,4.3,53.75,2
20190156,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,B,B,Passed,179,83,1.3,86.25,2
20190157,F,250,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,C,C,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,A,Passed,472,57,2,78.75,0
20190158,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),B,,C,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,472,57,2,78.75,1
20190159,F,227,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,C,,D,,,C,D,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,B,Passed,822,25,3.1,66.25,1
20190160,M,257,NA,IP (X),SCHOOL X,A,,A,,A,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.9,82.5,1
20190161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,219,80,1.4,85,1
20190162,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,C,,U,,,,S,E,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,A,B,Passed,1046,5,5,40,2
20190163,F,264,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,,,,,A,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,2
20190164,M,257,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,B,Passed,1,100,1,90,1
20190165,F,270,NA,IP (Y),SCHOOL Y,A,,B,,B,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,100,91,1.2,87.5,1
20190166,M,257,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,100,91,1.2,87.5,2
20190167,F,255,NA,IP (Y),SCHOOL Y,A,,C,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.1,77.5,1
20190168,F,261,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,646,41,2.8,73.75,1
20190169,M,249,NA,IP (X),SCHOOL X,A,,B,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,2
20190170,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,43,96,1,88.75,2
20190171,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,A,A,Passed,1,100,1,90,1
20190172,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,A,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,270,75,1.7,83.75,1
20190173,M,255,NA,IP (X),SCHOOL X,A,,C,,B,,,EX,B,,,,,EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,993,10,1.8,52.5,1
20190174,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,,D,,B,,,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,576,47,2.1,76.25,1
20190175,F,262,NA,IP (Y),SCHOOL Y,A,,B,,B,,,B,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,610,44,2.6,75,1
20190176,M,260,NA,IP (X),SCHOOL X,A,,C,,E,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,793,28,3.2,67.5,1
20190177,M,230,NA,DSA,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,A,,C,,D,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,646,41,2.6,73.75,3
20190178,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),A,,B,,B,,,,,,,C,,,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,364,67,1.9,81.25,1
20190179,F,260,NA,IP (Y),SCHOOL Y,B,,B,,A,,,,A,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,B,B,Passed,179,83,1.3,86.25,1
20190180,F,255,NA,IP (Y),SCHOOL Y,A,,B,,U,,,E,S,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,A,Passed,1040,5,4.9,42.5,1
20190181,F,258,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,43,96,1.2,88.75,1
20190182,F,264,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,E,D,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,C,Passed,646,41,2.8,73.75,1
20190183,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,C,,,,C,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,673,39,2.8,72.5,1
20190184,M,253,NA,IP (X),SCHOOL X,B,,A,,B,,,,A,A,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,310,72,2,82.5,1
20190185,M,255,NA,IP (X),SCHOOL X,A,,A,,B,,,A,B,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,179,83,1.4,86.25,2
20190186,F,263,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,S,D,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,865,21,3.7,63.75,1
20190187,F,0,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,A,,C,,U,,,,,,C,,,D,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,3.9,60,1
20190188,F,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,C,Passed,100,91,1.2,87.5,2
20190189,F,259,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,310,72,1.7,82.5,1
20190190,F,259,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,,,,A,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,3
20190191,F,264,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,A,Passed,100,91,1.2,87.5,2
20190192,F,246,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,B,,B,,E,,,,,,,B,,,D,,C,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,793,28,3.3,67.5,2
20190193,F,258,NA,IP (Y),SCHOOL Y,A,,D,,E,,,B,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,822,25,3.2,66.25,1
20190194,M,255,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,A,A,Passed,310,72,1.7,82.5,2
20190195,F,261,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,,,A,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,2.1,80,1
20190196,M,255,NA,IP (X),SCHOOL X,A,,D,,C,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,B,Passed,673,39,2.6,72.5,2
20190197,M,253,NA,IP (X),SCHOOL X,B,,B,,E,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,673,39,2.9,72.5,2
20190198,M,255,NA,IP (X),SCHOOL X,B,,B,,D,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,576,47,2.4,76.25,1
20190199,M,256,NA,IP (X),SCHOOL X,A,,C,,C,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,610,44,2.3,75,1
20190200,M,259,NA,IP (X),SCHOOL X,A,,C,,A,,,,A,A,,,,,,,,,,,,,,,,,B,,,,,,,,,,ME,,,,,A,B,Passed,179,83,1.2,86.25,1
20190201,M,258,NA,IP (X),SCHOOL X,A,,B,,B,,,B,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,710,35,3,71.25,1
20190202,M,260,NA,IP (X),SCHOOL X,B,,A,,,,,,,,,D,,,U,,E,,,,,,,,,,,MC,,,,,,,,,,,,,,B,C,Passed,1044,5,4.9,41.25,1
20190203,F,270,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,43,96,1.2,88.75,1
20190204,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,C,,,,,,B,,,C,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,646,41,2.3,73.75,1
20190205,M,263,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,43,96,1.2,88.75,1
20190206,F,261,NA,IP (Y),SCHOOL Y,B,,C,,B,,,C,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,822,25,3.3,66.25,1
20190207,F,244,NA,Appeals (Academic),ST. MARGARET'S SECONDARY SCHOOL,A,,B,,D,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,793,28,3.2,67.5,1
20190208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,B,,C,,D,,,D,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,929,15,4,58.75,1
20190209,M,244,NA,IP (X),SCHOOL X,A,,C,,B,,,A,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,472,57,2.1,78.75,2
20190210,M,261,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,B,Passed,100,91,1.2,87.5,2
20190211,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,A,,A,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,E,Passed,1,100,1,90,1
20190212,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,A,,,B,,,,,,,,B,,,U,,,,D,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,952,13,3.4,57.5,2
20190213,M,256,NA,IP (X),SCHOOL X,A,,B,,A,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,472,57,2.1,78.75,1
20190214,F,0,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,A,,B,,B,,A,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,NA,Passed,364,67,1.9,81.25,2
20190215,F,260,NA,IP (Y),SCHOOL Y,A,,B,,E,,,C,,,B,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,A,B,Passed,756,31,3,68.75,1
20190216,M,258,NA,IP (X),SCHOOL X,A,,B,,B,,,A,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,527,52,2.3,77.5,2
20190217,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,E,,A,,,A,B,,,,,D,,,,,,,,,,,,,,,,,,,,,PA,,,,,,,A,A,Passed,472,57,1.9,78.75,2
20190218,F,0,NA,IP (Y),SCHOOL Y,A,A,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,,A,A,Passed,1,100,1,90,2
20190219,F,223,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,C,,,,B,B,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,NA,Passed,472,57,2,78.75,1
20190220,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,B,,C,,C,,,C,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,E,Passed,894,19,3.8,61.25,1
20190221,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,A,,B,,D,,,D,,,,,,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,673,39,2.8,72.5,0
20190222,M,256,NA,IP (X),SCHOOL X,B,,B,,B,,,A,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,472,57,2.2,78.75,1
20190223,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,C,,A,,,B,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,646,41,2.6,73.75,1
20190224,M,232,NA,IP (X),SCHOOL X,B,,C,,B,,,,D,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,850,23,3.3,65,1
20190225,F,0,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,A,,B,,D,,,,D,,,,,B,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,737,33,3,70,1
20190226,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,A,,C,,U,,,,,,,,,E,,E,,,,,,,,,,,,,E,,,,,,,,,,,,,A,E,Passed,1057,4,5.3,37.5,2
20190227,F,271,NA,IP (Y),SCHOOL Y,A,,C,,B,,,,A,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,270,75,1.4,83.75,1
20190228,F,263,NA,IP (Y),SCHOOL Y,A,,B,,E,,,C,E,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,969,12,4.3,56.25,1
20190229,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,A,A,,,B,,,,,,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,310,72,1.7,82.5,1
20190230,M,258,NA,IP (X),SCHOOL X,A,,B,,D,D,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,793,28,3.2,67.5,1
20190231,F,245,NA,IP (Y),SCHOOL Y,A,,C,,D,,,,D,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,710,35,2.8,71.25,1
20190232,F,258,NA,IP (Y),SCHOOL Y,B,,B,,U,,,,,E,,,,D,,,,,,,,,,,,,,,,C,,,,,,,,,,,,B,B,Passed,1029,6,4.9,45,1
20190233,F,259,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,219,80,1.4,85,1
20190234,F,265,NA,IP (Y),SCHOOL Y,A,,,A,B,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,100,91,1.2,87.5,1
20190235,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,A,,A,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,2.1,80,1
20190236,F,257,NA,IP (Y),SCHOOL Y,A,,C,,S,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,B,Passed,793,28,3.2,67.5,1
20190237,F,233,NA,IP (Y),SCHOOL Y,A,,C,,E,,,,D,E,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,A,B,Passed,929,15,3.9,58.75,1
20190238,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,A,,,,B,,,,,B,,,,,,,,,C,,,,,,,,,,,,,,,,,,,A,A,Passed,364,67,1.9,81.25,1
20190239,M,254,NA,IP (X),SCHOOL X,B,,D,,U,,,,,,,,,S,,,,S,,,,,,,,,,,,U,,,,,,,,,,,,B,B,Failed,1088,1,5.9,25,1
20190240,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,A,,,,B,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,E,Passed,673,39,2.8,72.5,1
20190241,M,245,NA,IP (X),SCHOOL X,A,,B,,E,,,D,S,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,969,12,4.3,56.25,1
20190242,F,251,NA,IP (Y),SCHOOL Y,A,,B,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,2
20190243,F,261,NA,IP (Y),SCHOOL Y,B,,C,,B,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,610,44,2.4,75,1
20190244,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,E,,S,,,,S,D,,,,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1057,4,4.7,37.5,1
20190245,F,263,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,U,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,999,9,4.8,51.25,1
20190246,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,,B,,C,,,,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,646,41,2.6,73.75,1
20190247,F,268,NA,IP (Y),SCHOOL Y,A,,C,,U,,,,D,D,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,3.9,60,1
20190248,F,269,NA,IP (Y),SCHOOL Y,A,,B,,S,,,,E,B,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,A,A,Passed,756,31,3.2,68.75,1
20190249,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,B,,C,,U,,,,,,,,,U,,E,,,,,,,,,,,,,,E,,,,,,,,,,,,B,A,Passed,1076,2,5.6,31.25,1
20190250,F,266,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,310,72,1.7,82.5,2
20190251,F,266,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,270,75,1.7,83.75,1
20190252,M,264,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,A,Passed,43,96,1,88.75,1
20190253,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,B,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,472,57,1.9,78.75,1
20190254,F,239,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),A,,C,,S,,,S,,,,,,E,,,,,,,,,,,,,,,,D,,,,,,,,,,,,A,E,Passed,1033,6,4.9,43.75,1
20190255,M,260,NA,IP (X),SCHOOL X,A,A,,,C,,,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,673,39,2.6,72.5,1
