NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190028,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,C,Passed,219,80,1.4,85,1
20190029,F,252,NA,IP (Y),SCHOOL Y,A,,,A,E,,,,,,,A,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,527,52,2.1,77.5,1
20190030,F,236,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,U,,,,,C,,,,,,,,,,,,,,,,,,,,B,,,,,,,,A,A,Passed,993,10,4.1,52.5,1
20190031,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,B,,C,,E,,,D,D,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,865,21,3.6,63.75,2
20190032,F,0,NA,IP (Y),SCHOOL Y,A,,C,,C,,,,B,,,,,B,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,416,62,1.9,80,2
20190033,M,254,NA,IP (X),SCHOOL X,B,,D,,B,,A,A,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,B,E,Passed,364,67,1.5,81.25,1
20190034,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,U,,,,,,B,,S,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,985,10,4.3,53.75,1
20190035,F,260,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,472,57,2.1,78.75,2
20190036,F,252,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,D,,,,,,,B,,,,,,,,,,,,,,,,C,,,,,,,,,,A,B,Passed,822,25,3.3,66.25,1
20190037,F,243,NA,IP (Y),SCHOOL Y,A,,C,,B,S,,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,3.9,60,2
20190038,F,259,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,179,83,1.4,86.25,1
20190039,F,235,NA,DSA (CCA),CHIJ SECONDARY (TOA PAYOH),A,,D,,D,,,B,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,865,21,3.4,63.75,1
