SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
118,20180118,M,254,NA,IP (X),SCHOOL X,1,,0.55,,0.32,,,0.14,0.43,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,1
119,20180119,M,259,NA,IP (X),SCHOOL X,1,,0.87,,0.94,,,0.97,0.97,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20180120,M,239,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),1,,0.21,,0.29,,,,,,,,,,,,,,,,,0.74,0.5,,,,,,,,,,,0.99,,,,,,,,,0
121,20180121,M,265,NA,IP (X),SCHOOL X,1,,0.98,,0.64,,,,0.63,0.77,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
122,20180122,F,253,NA,IP (Y),SCHOOL Y,1,,0.29,,0.24,,,,0.13,0.52,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,1
123,20180123,M,239,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,1,,0.04,,0.41,,,0.51,0.62,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,1
124,20180124,M,262,NA,IP (X),SCHOOL X,1,,0.89,,0.97,,,,0.87,0.88,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1
125,20180125,M,0,NA,IP (X),SCHOOL X,1,,0.08,,0.95,0.66,0.88,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,1
126,20180126,M,255,NA,IP (X),SCHOOL X,1,,0.55,,0.05,,0.03,,,,,,,0.16,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,1
127,20180127,M,258,NA,IP (X),SCHOOL X,1,,0.61,,0.73,,,,0.58,0.52,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
128,20180128,F,244,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,1,,0.06,,0.26,,,,0.07,0.23,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
129,20180129,F,269,NA,IP (Y),SCHOOL Y,1,,0.73,,,,,,,,0.5,,,,,0.25,,,,0.37,,,,,,,,,0.19,,,,,,,,,,,,,0.18,1
130,20180130,F,259,NA,IP (Y),SCHOOL Y,1,,0.61,,0.19,,,,,,0.55,,,0.64,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,1
131,20180131,M,260,NA,IP (X),SCHOOL X,1,,0.67,,,,,0.17,,,,,,0.24,,,,,,,,,0.22,,,,,,0.9,,,,,,,,,,,,,,1
