NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,CB,SSL,PE,COM,EC,PA,CH,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,IN,MSP,HH,HG,HL,IH,HZ,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,LA2,SP
20200076,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.14,6,C6,A2,,,,A1,A1,,A1,A1,,,,,,,,,,,,,C5,,,,,,,,,,,A2,,,,,,,,,,,,,,,
20200077,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1,6,A1,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,
20200078,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,2.71,6,B3,B3,,,,A1,A1,B3,C5,B4,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,
20200079,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,8,B3,C5,A1,,,A1,A1,A2,A1,,,,,,,,,,A1,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,
20200080,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE PR (MALAYSIAN),,2.29,6,C6,A2,,,,A1,A1,A2,A2,B4,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,
20200081,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE PR (MALAYSIAN),,1.09,6,A1,B3,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,
20200082,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.89,6,A2,B3,,,,A2,A1,A2,A2,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200083,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.86,6,B3,B3,,,,A2,C5,B3,B4,,,,,,,,,,,,,,,,A1,,,,,,,B3,,,,,,,,,,,,,,,,,
20200084,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1,6,A1,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20200085,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.57,6,B3,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,
