SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
160,20200160,M,0,NA,IP (X),SCHOOL X,,66.1,,52.2,,,48.2,,,,,,54.4,,,,,,,,46.5,,,,,,,,,,,,,,1
161,20200161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,57.5,,41.7,,,,55.2,,,,,58.7,,58,,,,,,,,,,,,,,,,,,,,1
162,20200162,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,56,,76.6,,,70.5,82.2,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,1
163,20200163,F,0,NA,IP (Y),SCHOOL Y,,57.5,,73.3,71.3,,63.3,,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
164,20200164,M,0,NA,IP (X),SCHOOL X,,63.6,,63.6,,,,71.4,69.3,,,,67.8,,,,,,,,,,,,,,,,,,,,,,1
165,20200165,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,56.3,,54.7,,,60.3,71.6,,,,,,,,,54.4,,,,,,,,,,,,,,,,,,1
166,20200166,M,0,NA,IP (X),SCHOOL X,,57.5,,56.6,,,,,,66.5,,,62.7,,61,,,,,,,,,,,,,,,,,,,,2
167,20200167,M,0,NA,IP (X),SCHOOL X,,60.3,,59.5,,,,77.9,79.4,,,,56.4,,,,,,,,,,,,,,,,,,,,,,1
168,20200168,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,54.2,,59,,,60.7,73,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,1
169,20200169,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,54.4,,71.2,,,,74.4,79.2,,,,56,,,,,,,,,,,,,,,,,,,,,,1
170,20200170,F,0,NA,IP (Y),SCHOOL Y,,57.3,,53.1,,,,58.3,63.7,,,,65.7,,,,,,,,,,,,,,,,,,,,,,1
171,20200171,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,57.8,,62.1,,,58.6,67.4,,,,,,,,,,,,,70.1,,,,,,,,,,,,,,1
172,20200172,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,53.5,,61,,,62.2,66.1,,,,,,,,,,,,,,,,,70.6,,,,,,,,,,2
173,20200173,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,54.7,,53.1,,,,60.3,69.4,,,,52.4,,,,,,,,,,,,,,,,,,,,,,1
174,20200174,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,68.3,,45.5,,,,,,,62,,,36.3,,,,66,,,,,,,,,,,,,,,,,1
175,20200175,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,55.8,,61.9,,,,,,,60,,,51.1,,58.6,,,,,,,,,,,,,,,,,,,2
176,20200176,F,0,NA,IP (Y),SCHOOL Y,,60.9,,48.3,,,,53.6,45,,,,,,,,,,,,,,,,,,,,,,,61.7,,,1
177,20200177,F,0,NA,IP (Y),SCHOOL Y,,69.1,,66.9,,,,69.8,73.7,,,,,,,,,,,,,66.6,,,,,,,,,,,,,1
178,20200178,M,0,NA,IP (X),SCHOOL X,,59.5,,41,,,58.6,62.5,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,1
179,20200179,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,61.2,,62.2,,,,72.9,,,,,73.1,,76.5,,,,,,,,,,,,,,,,,,,,2
180,20200180,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,66.4,,66.7,,,,70.6,,57.4,,,63.7,,,,,,,,,,,,,,,,,,,,,,1
181,20200181,F,0,NA,IP (Y),SCHOOL Y,,53.7,,36.9,,,53.9,46.9,,,,,32.6,,,,,,,,,,,,,,,,,,,,,,1
182,20200182,M,0,NA,IP (X),SCHOOL X,,54.2,,66.1,,,,79,66.8,,,,56.8,,,,,,,,,,,,,,,,,,,,,,1
183,20200183,M,0,NA,IP (X),SCHOOL X,,61.2,,86.1,,,,,,,71,,,70.9,,58.6,,,,,,,,,,,,,,,,,,,2
184,20200184,M,0,NA,IP (X),SCHOOL X,,56.8,,69.1,,,,84.4,79.7,,,,62.4,,,,,,,,,,,,,,,,,,,,,,1
185,20200185,F,0,NA,IP (Y),SCHOOL Y,,53.3,,29.3,,,,42.8,,55.1,,,44.5,,,,,,,,,,,,,,,,,,,,,,1
186,20200186,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,55.7,,59.9,,,55.5,58,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,1
187,20200187,F,0,NA,IP (Y),SCHOOL Y,,59,,55.2,,,,54.5,58.1,53,,,,,,,,,,,,,,,,,,,,,,,,,1
188,20200188,F,0,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,57,,55.7,,,58.4,78.5,,,,,61,,,,,,,,,,,,,,,,,,,,,,1
189,20200189,M,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,49.1,,68.4,,,,77.2,61.5,,,,54.8,,,,,,,,,,,,,,,,,,,,,,1
190,20200190,M,0,NA,IP (X),SCHOOL X,,62.5,,66.3,,,62.1,65.5,,,,,69.7,,,,,,,,,,,,,,,,,,,,,,1
191,20200191,M,0,NA,JAE Ordinary Admission,PEI HWA SECONDARY SCHOOL,,57.6,,61.4,,71,66.2,,,,,,69.3,,,,,,,,,,,,,,,,,,,,,,1
192,20200192,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,59.7,,35.1,,,40.9,70,,67.3,,,,,,,,,,,,,,,,,,,,,,,,,1
193,20200193,F,0,NA,IP (Y),SCHOOL Y,,58.6,,56.5,,,,57.2,66.7,,,,55.7,,,,,,,,,,,,,,,,,,,,,,1
194,20200194,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),,62.1,,65.8,,,64.6,79,,,,,51,,,,,,,,,,,,,,,,,,,,,,1
195,20200195,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,57.6,,58.8,,,76.1,81.1,,,,,,,,,58.3,,,,,,,,,,,,,,,,,,1
196,20200196,F,0,NA,IP (Y),SCHOOL Y,,69.3,,58.7,,,,52.1,59.8,,,,,,45.5,,,,,,,,,,,,,,,,,,,,1
197,20200197,F,0,NA,DSA (CCA),CLEMENTI TOWN SECONDARY SCHOOL,,61.7,,,,,,,,63.1,,,40.3,,52.1,,,,,,,,,,,,,64,,,,,,,1
198,20200198,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,53.5,,56.1,,,,64.8,55.8,,,,63.9,,,,,,,,,,,,,,,,,,,,,,1
199,20200199,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,59.1,,73.2,,,,59.5,61.4,,,,57.4,,,,,,,,,,,,,,,,,,,,,,1
200,20200200,F,0,NA,IP (Y),SCHOOL Y,,MC,,MC,,,,43.4,35.8,,,,40.9,,,,,,,,,,,,,,,,,,,,,,1
201,20200201,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,60.5,,66.9,,,,76.4,73.6,,,,61.5,,,,,,,,,,,,,,,,,,,,,,1
202,20200202,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,57.1,,78.7,,,,,,66.9,,,64.9,,55.8,,,,,,,,,,,,,,,,,,,,1
203,20200203,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,54.9,,61,,,65.3,71.5,,,,,54.9,,,,,,,,,,,,,,,,,,,,,,1
204,20200204,F,0,NA,IP (Y),SCHOOL Y,,66.8,,74.4,,,67.2,78.2,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,1
205,20200205,M,0,NA,IP (X),SCHOOL X,,62,,56.9,,,,69.3,80,,,,56.8,,,,,,,,,,,,,,,,,,,,,,2
206,20200206,F,233,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,48.1,,51.1,,,,33.9,47.5,,,,,,,,,,,,,,,,,,,,,,,63.3,,,1
207,20200207,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,60.9,,46.9,,,,67.4,,,,,61.5,,58.2,,,,,,,,,,,,,,,,,,,,1
208,20200208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,60.5,,58.3,,,64.2,69.6,,,,,47.9,,,,,,,,,,,,,,,,,,,,,,2
209,20200209,F,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,,54.3,,49.2,,,,,,,,,63.2,,,,59.7,,,,,72.6,,,,,,,,,,,,,1
210,20200210,F,0,NA,IP (Y),SCHOOL Y,,52.5,,23.7,,,51.5,55.2,,,,,51.4,,,,,,,,,,,,,,,,,,,,,,2
211,20200211,M,0,NA,JAE Ordinary Admission,CHANGKAT CHANGI SECONDARY SCHOOL,,59.9,,67.7,,,81.5,83.7,,,,,,,,,,,,,,79.9,,,,,,,,,,,,,1
212,20200212,M,0,NA,IP (X),SCHOOL X,,58.5,,45.2,,,49.8,81.1,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,1
213,20200213,M,0,NA,IP (X),SCHOOL X,,62.5,,64.4,,,,72.5,64.9,,,,54,,,,,,,,,,,,,,,,,,,,,,1
214,20200214,M,0,NA,IP (X),SCHOOL X,,59.8,,45.9,,,57.8,67.3,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
215,20200215,M,0,NA,IP (X),SCHOOL X,,56.4,,90,,82.2,78.3,,,,,,64.1,,,,,,,,,,,,,,,,,,,,,,1
216,20200216,M,0,NA,IP (X),SCHOOL X,,59.8,,82.7,,,69,88.9,,,,,70.2,,,,,,,,,,,,,,,,,,,,,,1
217,20200217,M,0,NA,IP (X),SCHOOL X,,60.2,,33.5,,,,,,,61,,,44.5,,50,,,,,,,,,,,,,,,,,,,1
218,20200218,M,0,NA,IP (X),SCHOOL X,,54.9,,60.7,,,51.6,69.4,,,,,,,,,,,58.9,,,,,,,,,,,,,,,,1
219,20200219,M,0,NA,IP (X),SCHOOL X,,56.2,,63.9,,,,66,51.8,,,,66.1,,,,,,,,,,,,,,,,,,,,,,1
220,20200220,F,0,NA,IP (Y),SCHOOL Y,,52.5,,38.1,,58.5,48.2,,,,,,44.1,,,,,,,,,,,,,,,,,,,,,,1
221,20200221,M,0,NA,IP (X),SCHOOL X,,52.7,,61.5,,,59.6,73.6,,,,,,,,,,,,,61.7,,,,,,,,,,,,,,1
222,20200222,F,0,NA,IP (Y),SCHOOL Y,,55.2,,55.9,,,64.7,66.2,,,,,61,,,,,,,,,,,,,,,,,,,,,,1
223,20200223,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,,46.5,,54.8,,,54.1,75.4,,,,,,,,,,,,,61.3,,,,,,,,,,,,,,1
224,20200224,M,0,NA,IP (X),SCHOOL X,,58,,75,,,51.8,67.9,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,1
225,20200225,M,0,NA,IP (X),SCHOOL X,72.9,,,94.3,,,,90.4,86,,,,,,,,,,,,,,,,,,,,,,,,,,1
226,20200226,M,0,NA,IP (X),SCHOOL X,,59.9,,79.5,,,68,79.2,,,,,66.4,,,,,,,,,,,,,,,,,,,,,,1
227,20200227,M,0,NA,IP (X),SCHOOL X,,70.4,,79.8,,,,84.2,74.2,,,,65.2,,,,,,,,,,,,,,,,,,,,,,1
228,20200228,F,0,NA,IP (Y),SCHOOL Y,,49.4,,45.9,,,,66.3,49.2,,,,44.8,,,,,,,,,,,,,,,,,,,,,,1
229,20200229,F,0,NA,IP (Y),SCHOOL Y,,62,,76.2,,,,80.7,76.4,,,,67,,,,,,,,,,,,,,,,,,,,,,1
230,20200230,M,0,NA,IP (X),SCHOOL X,,60.4,,52.6,,,62.9,58.8,,,,,57.8,,,,,,,,,,,,,,,,,,,,,,1
231,20200231,M,0,NA,IP (X),SCHOOL X,,58.7,,67.8,,,,,,,59,,,59.9,,58.6,,,,,,,,,,,,,,,,,,,1
232,20200232,M,0,NA,IP (X),SCHOOL X,77.8,,,73.4,,,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,1
233,20200233,F,242,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,53.6,,57.4,,,71.3,66.7,,,,55,,,,,,,,,,,,,,,,,,,,,,,1
234,20200234,F,0,NA,IP (Y),SCHOOL Y,72.6,,,75.1,,,73.5,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2
235,20200235,F,0,NA,IP (Y),SCHOOL Y,,63.5,,50.9,,,,72.8,58,,,,,,,,60.5,,,,,,,,,,,,,,,,,,2
236,20200236,F,0,NA,IP (Y),SCHOOL Y,,53.4,,68.7,,,,70.6,66.2,,,,54.1,,,,,,,,,,,,,,,,,,,,,,2
237,20200237,M,0,NA,IP (X),SCHOOL X,,59.7,,67.2,,,,72.8,78.1,,,,58.9,,,,,,,,,,,,,,,,,,,,,,1
238,20200238,F,243,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,53.1,,41.3,,,,,,53,,,37.3,,42.8,,,,,,,,,,,,,,,,,,,,1
239,20200239,M,0,NA,IP (X),SCHOOL X,,59.3,,67.9,,,,78.9,70.6,,,,66.6,,,,,,,,,,,,,,,,,,,,,,1
240,20200240,M,0,NA,IP (X),SCHOOL X,,60.3,,83.5,,,,81.9,79.6,,,,64.1,,,,,,,,,,,,,,,,,,,,,,2
241,20200241,M,250,NA,DSA (CCA),SCHOOL X,,53.9,,46.5,,,46.3,45.3,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,1
242,20200242,M,248,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,,50.8,,60.6,,,,67.7,73.4,55.2,,,,,,,,,,,,,,,,,,,,,,,,,1
243,20200243,M,0,NA,IP (X),SCHOOL X,,66.5,,60.6,,,,,,,,,60.8,,64.3,,,,,,,,68.1,,,,,,,,,,,,1
244,20200244,M,0,NA,IP (X),SCHOOL X,,57.8,,35.4,,,,41.5,,,,,53.3,,59,,,,,,,,,,,,,,,,,,,,1
245,20200245,M,0,NA,IP (X),SCHOOL X,,64.1,,64.8,,,,70.5,62.2,,,,,,,,64.6,,,,,,,,,,,,,,,,,,1
246,20200246,M,0,NA,IP (X),SCHOOL X,,52.5,,67,,,,65.9,74.5,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
247,20200247,M,0,NA,IP (X),SCHOOL X,,59.6,,66.1,,,71.6,77.1,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,1
248,20200248,M,0,NA,IP (X),SCHOOL X,,56.5,,47.6,,,51.5,70.4,,,,,51.9,,,,,,,,,,,,,,,,,,,,,,1
249,20200249,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,40.9,,67.5,,,65.5,77.4,,,,,,,,,,,,,72.1,,,,,,,,,,,,,,1
250,20200250,F,0,NA,JAE Ordinary Admission,DUNMAN SECONDARY SCHOOL,,54.6,,90.9,,,82.6,92.4,,,,,64.1,,,,,,,,,,,,,,,,,,,,,,1
251,20200251,M,215,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,,48.8,,40,,,38,46.1,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,1
252,20200252,F,0,NA,IP (Y),SCHOOL Y,,57.3,,74.7,,,,68.3,55.4,,,,52.9,,,,,,,,,,,,,,,,,,,,,,1
253,20200253,M,0,NA,IP (X),SCHOOL X,,56.4,,63,,,69.6,76.4,,,,,,,,,,,70.9,,,,,,,,,,,,,,,,2
254,20200254,F,0,NA,IP (Y),SCHOOL Y,,46.5,,23.3,,,33.4,30.5,,,,,,,,,,,,,,,,,,,,,,,,56.3,,,1
255,20200255,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,72.3,,88.8,,,,93.6,90.9,,,,72.7,,,,,,,,,,,,,,,,,,,,,,1
256,20200256,M,0,NA,JAE Ordinary Admission,YISHUN SECONDARY SCHOOL,,63.1,,87,,,87.5,90.2,,,,,67.3,,,,,,,,,,,,,,,,,,,,,,1
257,20200257,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),,72.5,,73.7,,,,77.8,80.3,,,,70.2,,,,,,,,,,,,,,,,,,,,,,1
258,20200258,F,0,NA,IP (Y),SCHOOL Y,,61.8,,55.5,,,,75.9,83.9,,,,48.2,,,,,,,,,,,,,,,,,,,,,,1
259,20200259,F,0,NA,IP (Y),SCHOOL Y,,57.7,,75.9,,,79,85.5,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,1
260,20200260,F,0,NA,IP (Y),SCHOOL Y,,57,,79.9,,,,82.3,72.3,,,,65.2,,,,,,,,,,,,,,,,,,,,,,1
261,20200261,M,235,Repeat Yr1,DSA (CCA),NAN HUA HIGH SCHOOL,,49.3,,44.1,,,36.1,54.4,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,1
262,20200262,F,0,NA,IP (Y),SCHOOL Y,,54.8,,59.9,,,54,61.2,,,,,64.9,,,,,,,,,,,,,,,,,,,,,,2
263,20200263,M,0,NA,IP (X),SCHOOL X,,57.3,,68.9,,,52.9,76,,,,,55,,,,,,,,,,,,,,,,,,,,,,1
264,20200264,F,0,NA,IP (Y),SCHOOL Y,,57.5,,,,,,,,,,,49,,66.3,,,,,,,55,,,,,,66.6,,,,,,,1
265,20200265,F,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,50.8,,38.8,,,,54,45,,,,38.2,,,,,,,,,,,,,,,,,,,,,,1
266,20200266,M,0,NA,IP (X),SCHOOL X,,41.8,,73.4,,84.7,83.7,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,1
267,20200267,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,56,,68.4,,,66,86.9,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
268,20200268,M,0,NA,IP (X),SCHOOL X,,57.8,,81.4,,,82.1,84,,,,,62.7,,,,,,,,,,,,,,,,,,,,,,1
269,20200269,M,246,NA,DSA,NAN HUA HIGH SCHOOL,,,67.8,65.2,,,,,,,59,,,,,57.1,,,,,,,,,,,,,,,,,,,2
270,20200270,M,0,NA,IP (X),SCHOOL X,,58.3,,56.5,,,63.2,76.2,,,,,,,,,,,,76.8,,,,,,,,,,,,,,,1
271,20200271,M,0,NA,IP (X),SCHOOL X,,59.1,,60.2,,,,65.3,50.1,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
272,20200272,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,69.8,,49.7,,,,72.8,68.1,,,,57.1,,,,,,,,,,,,,,,,,,,,,,1
273,20200273,M,0,NA,IP (X),SCHOOL X,,,68.4,,,,,,,,63,,,54.5,,57.1,,,,,,,,,,,,88,,,,,,,2
274,20200274,F,0,NA,IP (Y),SCHOOL Y,,74,,67.6,,,,78.2,69.9,,,,62.7,,,,,,,,,,,,,,,,,,,,,,2
275,20200275,F,0,NA,IP (Y),SCHOOL Y,,71.6,,69.9,,,62.8,73.5,,,,,,,,,,,,,,,70.2,,,,,,,,,,,,2
276,20200276,M,0,NA,IP (X),SCHOOL X,,55.2,,70.3,,,,76.1,59.8,,,,51.1,,,,,,,,,,,,,,,,,,,,,,1
277,20200277,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,60.5,,38.8,,,,60.7,43.3,,,,60.3,,,,,,,,,,,,,,,,,,,,,,1
278,20200278,F,0,NA,IP (Y),SCHOOL Y,,68.4,,46.7,,,,68.1,63.7,,,,,,,,,,,,,,,59.9,,,,,,,,,,,1
279,20200279,F,0,NA,IP (Y),SCHOOL Y,,58.3,,89.7,,89.1,82.7,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,,3
280,20200280,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,58.5,,63.9,,,65.2,74.1,,,,,58.1,,,,,,,,,,,,,,,,,,,,,,2
281,20200281,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,57,,63.5,,,,76.7,80.6,,,,70.3,,,,,,,,,,,,,,,,,,,,,,1
282,20200282,M,0,NA,IP (X),SCHOOL X,62.2,,,69,,,,84.8,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,1
283,20200283,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,45.4,,62.1,,,63.6,75.2,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,1
284,20200284,M,0,NA,IP (X),SCHOOL X,,62.8,,53.6,,,,61,57.2,,,,51.1,,,,,,,,,,,,,,,,,,,,,,2
285,20200285,M,0,NA,IP (X),SCHOOL X,,56.8,,79.8,,,,74.3,90.4,,,,67.5,,,,,,,,,,,,,,,,,,,,,,1
286,20200286,F,0,NA,IP (Y),SCHOOL Y,,63.3,,70.8,,,,64.6,,64.3,,,,,,,,,,73.2,,,,,,,,,,,,,,,2
287,20200287,F,0,NA,IP (Y),SCHOOL Y,,63,,39.1,,,,67.3,,,,,58.3,,,,,,,,,,63.1,,,,,,,,,,,,1
288,20200288,F,252,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,59,,44.2,,,,67.2,64.6,,,,54.5,,,,,,,,,,,,,,,,,,,,,,1
289,20200289,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,49.6,,59.1,,,,61.4,25.2,,,,45.8,,,,,,,,,,,,,,,,,,,,,,1
290,20200290,M,0,NA,IP (X),SCHOOL X,,71,,78.3,,85.8,72.1,,,,,,65.9,,,,,,,,,,,,,,,,,,,,,,1
291,20200291,M,0,NA,IP (X),SCHOOL X,,65.7,,64.4,,,63.7,74.7,,,,,55.9,,,,,,,,,,,,,,,,,,,,,,1
292,20200292,F,0,NA,IP (Y),SCHOOL Y,,54.1,,42.6,,,,61.2,59,,,,58.7,,,,,,,,,,,,,,,,,,,,,,1
293,20200293,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,56.7,,MC,,,,MC,56.2,,,,60,,,,,,,,,,,,,,,,,,,,,,1
294,20200294,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,46.1,,52.8,,61.2,48.6,,,,,,,,,,,,,,,,,,,81.1,,,,,,,,,1
295,20200295,F,0,NA,IP (Y),SCHOOL Y,,51.2,,45.5,,42.8,50.4,,,,,,40.1,,,,,,,,,,,,,,,,,,,,,,1
296,20200296,F,0,NA,IP (Y),SCHOOL Y,,59,,41.5,,,,62.9,59.4,,,,61.4,,,,,,,,,,,,,,,,,,,,,,1
297,20200297,F,0,NA,IP (Y),SCHOOL Y,,60.3,,77.8,,,75.1,84.3,,,,,,,,,,,72.4,,,,,,,,,,,,,,,,1
298,20200298,M,0,NA,DSA,NAN CHIAU HIGH SCHOOL,,62.7,,91.8,,94.2,85.9,,,,,,66.8,,,,,,,,,,,,,,,,,,,,,,1
299,20200299,M,247,NA,DSA (CCA),NAN HUA HIGH SCHOOL,,46.1,,86.8,,,66.3,74.7,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,1
300,20200300,M,0,NA,IP (X),SCHOOL X,,50.9,,50.4,,,,51.5,,,,,51.3,,,,,,,,,53.2,,,,,,,,,,,,,1
301,20200301,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,55.5,,62.7,,,58,54.9,,,,,51,,,,,,,,,,,,,,,,,,,,,,1
302,20200302,F,0,NA,IP (Y),SCHOOL Y,,65.2,,53.6,,,,75.1,73.3,,,,56.7,,,,,,,,,,,,,,,,,,,,,,1
303,20200303,F,0,NA,IP (Y),SCHOOL Y,,62,,66.2,,,,74.5,79.9,,,,71,,,,,,,,,,,,,,,,,,,,,,1
304,20200304,F,0,NA,IP (Y),SCHOOL Y,,62.4,,55.9,,,,49.6,47,,,,,,,,,,,,,55.1,,,,,,,,,,,,,1
305,20200305,F,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,,55.1,,66,,,69.1,76,,,,,58.9,,,,,,,,,,,,,,,,,,,,,,1
306,20200306,F,0,NA,IP (Y),SCHOOL Y,,62,,82.7,,,,84.5,73.1,,,,64.6,,,,,,,,,,,,,,,,,,,,,,1
307,20200307,M,0,NA,IP (X),SCHOOL X,,52.1,,63,,,49.4,60.7,,,,,45.8,,,,,,,,,,,,,,,,,,,,,,1
308,20200308,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,49.5,,57.4,,,52.7,60.8,,,,,56,,,,,,,,,,,,,,,,,,,,,,1
309,20200309,F,0,NA,IP (Y),SCHOOL Y,,63.2,,38.5,,,,,,64.4,,,43.8,,32,,,,,,,,,,,,,,,,,,,,1
310,20200310,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,54.2,,48.2,,,49.4,58.2,,,,,,,,,66.8,,,,,,,,,,,,,,,,,,1
311,20200311,F,0,NA,IP (Y),SCHOOL Y,,61.9,,85.3,,,82.1,87.4,,,,,69.8,,,,,,,,,,,,,,,,,,,,,,1
312,20200312,F,0,NA,IP (Y),SCHOOL Y,,55.9,,64.1,,,66.6,64,,,,,,,,,,,,,,61.1,,,,,,,,,,,,,1
313,20200313,M,0,NA,IP (X),SCHOOL X,,52.4,,53.9,,,,48.6,31.2,,,,37.2,,,,,,,,,,,,,,,,,,,,,,1
314,20200314,M,0,NA,IP (X),SCHOOL X,,65.8,,69.7,,,63.8,83.5,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,1
315,20200315,M,0,NA,IP (X),SCHOOL X,,60.4,,56.5,,,,72.9,75.1,,,,56.4,,,,,,,,,,,,,,,,,,,,,,1
316,20200316,F,0,NA,IP (Y),SCHOOL Y,,69.8,,89.1,,,,,,,73,,,,,70,,,,,,58,,,,,,,,,,,,,1
317,20200317,F,0,NA,IP (Y),SCHOOL Y,,57.7,,86.4,,85.8,77.7,,,,,,73.8,,,,,,,,,,,,,,,,,,,,,,1
318,20200318,F,0,NA,IP (Y),SCHOOL Y,,60.2,,73.7,,,69.2,73,,,,,,,,,,,,,,58.9,,,,,,,,,,,,,1
319,20200319,F,0,NA,IP (Y),SCHOOL Y,,58.7,,75.8,,,62,64.9,,,,,,,,,,,,,,59.8,,,,,,,,,,,,,2
320,20200320,M,0,NA,IP (X),SCHOOL X,,61.2,,71,,,76.2,82,,,,,,,,,,,,,,,,,64.3,,,,,,,,,,1
321,20200321,M,0,NA,IP (X),SCHOOL X,,62.1,,75.1,,,,87.9,81.3,,,,57.9,,,,,,,,,,,,,,,,,,,,,,1
322,20200322,F,0,NA,IP (Y),SCHOOL Y,,51.7,,91.6,,,79.5,87.5,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,1
323,20200323,M,253,NA,DSA,CATHOLIC HIGH SCHOOL,,56.3,,53.2,,,,,,,59,,,53.4,,61.4,,,,,,,,,,,,,,,,,,,2
324,20200324,F,0,NA,IP (Y),SCHOOL Y,,58,,46.3,,,,70.9,65.4,,,,44.1,,,,,,,,,,,,,,,,,,,,,,1
