SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
37,20200037,F,0,NA,IP (Y),SCHOOL Y,,58.5,,72.4,,,64.5,70.9,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,1
38,20200038,F,0,NA,IP (Y),SCHOOL Y,,,64.8,,,,,,,,59,,,33.4,,,,46,,,,,,,,,,,,,,,,,2
39,20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,63.2,,66.1,,,,68.9,77.9,,,,55.6,,,,,,,,,,,,,,,,,,,,,,2
40,20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,,52.5,,49.6,,,,,,53.7,,,30.2,,43,,,,,,,,,,,,,,,,,,,,3
41,20200041,F,0,NA,IP (Y),SCHOOL Y,,55.3,,41.2,,,,58.9,51.5,,,,40.9,,,,,,,,,,,,,,,,,,,,,,1
42,20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,59.6,,80.4,,,,80.4,75.5,,,,63.4,,,,,,,,,,,,,,,,,,,,,,2
43,20200043,F,0,NA,IP (Y),SCHOOL Y,,62.5,,70.7,,,,77.6,,,,,70.1,,,,74.6,,,,,,,,,,,,,,,,,,2
44,20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,,57.6,,,,,,,,58.5,,,43.3,,,,61.9,,,,,,,,,,,40.7,,,,,,,1
45,20200045,M,0,NA,IP (X),SCHOOL X,,58.1,,64.5,,,58.6,73.1,,,,,49.7,,,,,,,,,,,,,,,,,,,,,,1
46,20200046,F,0,NA,IP (Y),SCHOOL Y,,57.5,,79.1,,,65.9,72.6,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,2
47,20200047,M,0,NA,IP (X),SCHOOL X,,59.9,,69.7,,,66.3,74.4,,,,,67,,,,,,,,,,,,,,,,,,,,,,1
48,20200048,M,0,NA,IP (X),SCHOOL X,,62,,70.6,,,,83.4,64.8,,,,64.2,,,,,,,,,,,,,,,,,,,,,,1
49,20200049,F,0,NA,IP (Y),SCHOOL Y,,56.7,,60.4,,,,67.6,,,,,58.2,,,,,,,,,71.6,,,,,,,,,,,,,1
50,20200050,M,0,NA,IP (X),SCHOOL X,,62.8,,67,,,64.9,76.8,,,,,68.7,,,,,,,,,,,,,,,,,,,,,,1
51,20200051,F,0,NA,IP (Y),SCHOOL Y,,54.2,,39.9,,,,62.4,,,,,45.7,,,,,,,,,56,,,,,,,,,,,,,1
52,20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,49,,21.7,,,,56.6,29.3,,,,,,,,,,,,,,,,,,,,,,,,58.9,,1
53,20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,,54.3,,68.6,,,,70.4,66.1,,,,57.7,,,,,,,,,,,,,,,,,,,,,,2
54,20200054,F,0,NA,IP (Y),SCHOOL Y,,64.8,,47.6,,,,40.5,41.5,,,,41.3,,,,,,,,,,,,,,,,,,,,,,1
55,20200055,M,0,NA,IP (X),SCHOOL X,,60.6,,87.3,,,80.9,80.4,,,,,,,,,,,,,,,,,81.1,,,,,,,,,,1
56,20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,54.9,,73.3,,,58.6,75.8,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,55.2,,66.3,,,78.2,80.4,,,,,53.9,,,,,,,,,,,,,,,,,,,,,,1
58,20200058,F,0,NA,IP (Y),SCHOOL Y,,60.2,,44.7,,,52.7,52.1,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,1
59,20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,58,,66.8,,,,57.1,57.1,,,,60.3,,,,,,,,,,,,,,,,,,,,,,1
