SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
31,20180031,M,254,NA,IP (X),SCHOOL X,,0.63,,0.34,,,0.27,0.35,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
32,20180032,F,246,NA,IP (Y),SCHOOL Y,,0.35,,0.21,,,,0.15,0.24,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
33,20180033,F,256,NA,IP (Y),SCHOOL Y,,0.86,,0.55,,,0.52,0.51,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,2
34,20180034,F,249,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.57,,0.57,,,0.7,0.45,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
35,20180035,F,259,NA,IP (Y),SCHOOL Y,,0.98,,0.96,,,0.89,0.86,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,2
36,20180036,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,0.92,,0.5,,,,0.74,0.91,,,,0.71,,,,,,,,,,,,,,,,,,,,,,2
37,20180037,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,0.91,,0.31,,,0.5,0.32,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
38,20180038,M,264,NA,IP (X),SCHOOL X,,0.7,,0.13,,,,0.1,0.04,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
39,20180039,F,259,NA,Appeals (Academic),NATIONAL JUNIOR COLLEGE (IP),,0.95,,0.35,,,0.43,0.58,,,,,EX,,,,,,,,,,,,,,,,,,,,,,2
40,20180040,F,259,NA,IP (Y),SCHOOL Y,,0.57,,0.84,,,0.59,0.77,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
