NEWID,MA2,FM2,MA1,MA3-MOE
20190001,B,,,
20190002,A,,,
20190003,A,,,
20190004,B,,,
20190005,C,,,
20190006,A,,,
20190007,A,,,
20190008,A,,,
20190009,A,,,
20190010,A,,,
20190011,A,,,
20190012,E,,,
20190013,A,,,
20190014,A,,,
20190015,A,,,
20190016,A,,,
20190017,A,,,
20190018,A,,,
20190019,A,,,
20190020,A,,,
20190021,A,,,
20190022,A,,,
20190023,B,,,
20190024,A,,,
20190025,C,,,
20190026,A,,,
20190027,A,B,,
20190028,A,,,
20190029,B,,,
20190030,B,,,
20190031,B,,,
20190032,A,,,
20190033,A,,,
20190034,C,,,
20190035,A,,,
20190036,C,,,
20190037,A,B,,
20190038,A,,,
20190039,A,,,
20190040,A,,,
20190041,A,,,
20190042,A,,,DI
20190043,A,,,
20190044,A,,,
20190045,A,,,
20190046,B,,,
20190047,A,,,
20190048,A,,,
20190049,B,,,
20190050,A,,,
20190051,A,,,
20190052,A,,,
20190053,A,,,
20190054,A,,,
20190055,A,,,
20190056,,,A,
20190057,A,,,
20190058,A,,,
20190059,A,,,ME
20190060,A,,,
20190061,A,,,
20190062,A,,,
20190063,A,,,
20190064,A,,,
20190065,,,B,
20190066,A,,,
20190067,B,,,
20190068,A,,,PA
20190069,A,,,
20190070,A,,,
20190071,A,,,
20190072,A,,,ME
20190073,A,,,
20190074,B,,,
20190075,A,,,
20190076,B,,,
20190077,A,,,
20190078,A,,,
20190079,A,,,
20190080,A,,,
20190081,A,,,
20190082,A,,,
20190083,A,,,
20190084,A,,,
20190085,A,,,
20190086,B,,,
20190087,B,,,
20190088,C,,,
20190089,A,,,
20190090,A,,,
20190091,D,,,
20190092,A,,,
20190093,A,,,ME
20190094,,,A,
20190095,A,,,ME
20190096,A,,,
20190097,A,,,
20190098,A,,,
20190099,A,,,
20190100,,,B,
20190101,B,,,
20190102,A,,,
20190103,A,,,ME
20190104,B,,,
20190105,A,,,
20190106,A,,,
20190107,A,,,
20190108,A,,,
20190109,A,,,
20190110,A,,,
20190111,A,,,
20190112,A,,,
20190113,A,,,
20190114,B,,,
20190115,B,,,
20190116,A,,,
20190117,B,,,
20190118,B,,,
20190119,A,,,
20190120,A,,,
20190121,A,,,
20190122,A,,,
20190123,A,,,
20190124,A,,,
20190125,B,,,
20190126,A,,,
20190127,,,A,
20190128,B,,,
20190129,A,,,
20190130,C,,,
20190131,B,,,
20190132,A,,,
20190133,A,,,
20190134,A,,,
20190135,C,,,
20190136,A,,,
20190137,C,,,
20190138,A,,,
20190139,A,,,
20190140,B,,,
20190141,A,,,
20190142,A,,,
20190143,C,,,
20190144,A,,,
20190145,B,,,
20190146,A,,,
20190147,A,,,
20190148,A,,,
20190149,B,,,
20190150,A,,,
20190151,A,,,
20190152,A,,,
20190153,D,,,
20190154,C,,,
20190155,C,,,
