NEWID,MA2,FM2,MA1,MA3-MOE
20190156,A,,,
20190157,B,,,
20190158,A,,,
20190159,A,,,
20190160,A,,,
20190161,A,,,
20190162,B,,,
20190163,A,,,
20190164,A,,,
20190165,A,,,
20190166,A,,,
20190167,B,,,
20190168,A,,,
20190169,A,,,
20190170,A,,,
20190171,A,,,
20190172,A,,,
20190173,A,,,
20190174,A,,,
20190175,A,,,
20190176,A,,,
20190177,B,,,
20190178,A,,,
20190179,A,,,
20190180,C,,,
20190181,A,,,
20190182,A,,,
20190183,A,,,
20190184,A,,,
20190185,A,,,
20190186,B,,,
20190187,B,,,
20190188,A,,,
20190189,A,,,
20190190,A,,,
20190191,A,,,
20190192,B,,,
20190193,A,,,
20190194,A,,,
20190195,A,,,
20190196,A,,,
20190197,A,,,
20190198,B,,,
20190199,B,,,
20190200,A,,,
20190201,A,,,
20190202,,,C,
20190203,A,,,
20190204,A,,,
20190205,A,,,
20190206,B,,,
20190207,A,,,
20190208,A,,,
20190209,A,,,
20190210,A,,,
20190211,A,,,
20190212,,,,
20190213,A,,,
20190214,A,,,
20190215,A,,,
20190216,A,,,
20190217,A,,,PA
20190218,A,,,DI
20190219,A,,,
20190220,A,,,
20190221,B,,,
20190222,A,,,
20190223,A,,,
20190224,A,,,
20190225,A,,,
20190226,C,,,
20190227,A,,,
20190228,B,,,
20190229,A,,,
20190230,A,B,,
20190231,B,,,
20190232,B,,,
20190233,A,,,
20190234,A,,,
20190235,A,,,
20190236,A,,,
20190237,B,,,
20190238,A,,,
20190239,D,,,
20190240,A,,,
20190241,A,,,
20190242,A,,,
20190243,A,,,
20190244,B,,,
20190245,C,,,
20190246,A,,,
20190247,C,,,
20190248,A,,,
20190249,D,,,
20190250,A,,,
20190251,A,,,
20190252,A,,,
20190253,A,,,
20190254,B,,,
20190255,A,,,
20190256,A,,,
20190257,C,,,
20190258,A,,,
20190259,A,,,
20190260,,,,
20190261,C,,,
20190262,,,B,
20190263,A,,,
20190264,A,,,
20190265,B,,,
20190266,A,C,,
20190267,A,,,
20190268,A,,,
20190269,A,,,PA
20190270,A,,,
20190271,B,,,
20190272,B,,,
20190273,A,,,
20190274,A,,,
20190275,A,,,
20190276,A,,,
20190277,A,,,
20190278,A,,,
20190279,B,,,
20190280,B,,,
20190281,A,,,
20190282,A,A,,
20190283,A,,,
20190284,A,,,
20190285,A,,,
20190286,A,,,
20190287,B,,,
20190288,B,,,
20190289,A,,,
20190290,A,,,
20190291,A,,,
20190292,A,,,
20190293,A,,,
20190294,A,,,
20190295,A,,,
20190296,B,,,
20190297,A,,,
20190298,B,,,
20190299,B,,,
20190300,A,,,
20190301,A,,,
20190302,A,,,
20190303,C,,,
20190304,A,,,
20190305,A,,,
20190306,A,,,
20190307,A,,,
20190308,A,,,
20190309,A,,,
20190310,A,,,
20190311,A,,,
20190312,A,,,
20190313,A,,,
20190314,A,,,
20190315,A,,,
20190316,A,,,
20190317,A,,,
20190318,A,,,
20190319,A,,,
20190320,A,,,
20190321,A,,,
20190322,A,,,
20190323,A,,,
20190324,A,,,
20190325,A,,,
20190326,A,,,
20190327,B,,,
20190328,A,,,
20190329,A,,,
20190330,A,,,
20190331,,,E,
20190332,A,,,UC
20190333,A,,,
20190334,A,,,
20190335,A,,,DI
20190336,,,B,
20190337,A,,,
20190338,A,,,
20190339,C,,,
20190340,A,,,PA
20190341,A,,,
20190342,A,,,
20190343,A,B,,
20190344,A,,,
20190345,A,,,
20190346,A,,,
20190347,B,,,
20190348,A,,,
20190349,A,,,
20190350,A,,,
20190351,A,,,
20190352,A,,,
20190353,A,,,
20190354,,,A,
20190355,A,,,
20190356,B,,,
20190357,A,,,
20190358,A,,,
20190359,A,,,
20190360,B,,,
20190361,A,,,
20190362,A,,,
20190363,A,,,
20190364,,,,
20190365,A,,,
20190366,A,,,
20190367,A,,,
20190368,A,,,
20190369,B,,,
20190370,B,,,
20190371,,,B,
20190372,A,,,
20190373,C,,,
20190374,A,,,
20190375,A,,,
20190376,C,,,
20190377,A,,,
20190378,A,,,
20190379,A,,,
20190380,A,,,
20190381,A,,,
20190382,A,,,
20190383,A,,,
20190384,A,,,
20190385,B,,,
20190386,A,,,
20190387,A,,,
20190388,A,,,
20190389,D,,,
20190390,A,,,
20190391,A,,,
20190392,A,,,
20190393,A,,,
20190394,A,,,
20190395,A,,,
20190396,B,,,
20190397,A,,,
20190398,A,,,
20190399,B,,,
20190400,A,,,
20190401,A,,,
20190402,A,,,
20190403,A,,,
20190404,B,,,
20190405,A,,,
20190406,A,,,
20190407,A,,,
20190408,A,,,
20190409,B,,,
20190410,C,,,
20190411,A,,,
20190412,A,,,
20190413,C,,,
20190414,A,,,
20190415,A,,,
20190416,A,,,
20190417,A,,,
20190418,A,,,
20190419,A,,,
20190420,A,,,
20190421,A,,,
20190422,A,,,
20190423,C,,,
20190424,B,,,
20190425,B,,,
20190426,A,,,
20190427,A,,,
20190428,,,B,
20190429,A,,,
20190430,A,,,
20190431,A,,,
20190432,A,,,
20190433,A,,,
20190434,B,,,
20190435,A,,,
20190436,A,,,
20190437,B,,,
20190438,A,,,
20190439,A,,,
20190440,B,,,
20190441,B,,,
20190442,A,,,
20190443,B,,,
20190444,A,,,
20190445,B,,,
20190446,A,,,
20190447,A,,,
20190448,A,,,
20190449,B,,,
20190450,A,,,
20190451,A,,,
20190452,A,,,
20190453,A,,,
20190454,A,,,
20190455,A,,,
20190456,A,,,
20190457,A,,,
20190458,A,,,
20190459,B,,,
20190460,C,,,
20190461,A,,,
20190462,A,,,
20190463,A,,,
20190464,A,,,
20190465,B,,,
20190466,A,,,
20190467,B,,,
20190468,A,,,
20190469,A,,,
20190470,B,,,
20190471,E,,,
20190472,A,,,
20190473,A,,,
20190474,A,,,
20190475,B,,,
20190476,A,,,
20190477,A,,,
20190478,D,,,
20190479,A,,,
20190480,A,,,
20190481,A,,,
20190482,C,,,
20190483,A,,,
20190484,B,,,
20190485,A,,,
20190486,A,,,
20190487,A,,,
20190488,A,,,
20190489,B,,,
20190490,A,,,
20190491,A,,,
20190492,A,,,
20190493,A,,,
20190494,A,,,
20190495,A,,,
20190496,A,,,
20190497,A,,,
20190498,A,,,
20190499,A,,,
20190500,A,,,
