NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200033,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.5,73.75,2
20200034,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,,,,,B,,,D,,B,,,,,,,,,,,,,,,,,,,A,B,Passed,389,63,2.3,71.25,2
20200035,F,223,NA,DSA (CCA),SCHOOL Y,,D,,B,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,A,,,A,B,Passed,580,45,2.1,66.25,1
20200036,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,324,69,1.8,72.5,1
20200037,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.5,73.75,1
20200038,F,0,NA,IP (Y),SCHOOL Y,,,B,,,,,,,,C,,,U,,,,E,,,,,,,,,,,,,,,,,A,D,Passed,951,11,4.3,42.5,2
20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,B,,B,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,389,63,2,71.25,2
20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,,D,,D,,,,,,D,,,U,,S,,,,,,,,,,,,,,,,,,,,A,B,Passed,984,8,5.3,36.25,3
20200041,F,0,NA,IP (Y),SCHOOL Y,,C,,S,,,,C,D,,,,S,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,951,11,4.8,42.5,1
20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,2
20200043,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,,A,,,,,A,,,,A,,,,,,,,,,,,,,,,,,A,B,Passed,23,97,1,78.75,2
20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,,C,,,,,,,,C,,,S,,,,B,,,,,,,,,,,S,,,,,,,A,C,Passed,924,13,4,47.5,1
20200045,M,0,NA,IP (X),SCHOOL X,,C,,B,,,C,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,580,45,2.5,66.25,1
20200046,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.5,73.75,2
20200047,M,0,NA,IP (X),SCHOOL X,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200048,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200049,F,0,NA,IP (Y),SCHOOL Y,,C,,B,,,,B,,,,,C,,,,,,,,,A,,,,,,,,,,,,,A,A,Passed,445,58,2,70,1
20200050,M,0,NA,IP (X),SCHOOL X,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,324,69,1.8,72.5,1
20200051,F,0,NA,IP (Y),SCHOOL Y,,D,,S,,,,B,,,,,E,,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,885,17,4,51.25,1
20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,E,,U,,,,C,U,,,,,,,,,,,,,,,,,,,,,,,,C,,A,C,Passed,1022,4,5.3,27.5,1
20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,,D,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,492,54,2,68.75,2
20200054,F,0,NA,IP (Y),SCHOOL Y,,B,,E,,,,S,S,,,,S,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1008,5,5.8,31.25,1
20200055,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,A,Passed,23,97,1,78.75,1
20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,C,,A,,,C,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,324,69,1.8,72.5,1
20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,C,,B,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,389,63,2,71.25,1
20200058,F,0,NA,IP (Y),SCHOOL Y,,B,,E,,,D,D,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,830,22,3.8,56.25,1
20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,C,,B,,,,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,629,41,2.5,65,1
20200060,F,0,NA,IP (Y),SCHOOL Y,,D,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2.3,67.5,1
20200061,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,D,,A,,,,A,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,492,54,2,68.75,1
20200062,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,C,,C,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2.3,67.5,1
