NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200145,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.8,73.75,1
20200146,M,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,E,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.3,66.25,1
20200147,M,0,NA,IP (X),SCHOOL X,,B,,A,,,A,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,B,A,Passed,23,97,1,78.75,1
20200148,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,C,,C,,,D,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,772,27,3.3,58.75,2
20200149,M,0,NA,IP (X),SCHOOL X,,B,,E,,,,D,,,,,B,,D,,,,,,,,,,,,,,,,,,,,A,A,Passed,830,22,3.8,56.25,1
20200150,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,D,,E,,,D,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,A,A,Passed,860,19,3.8,53.75,1
20200151,F,0,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,,D,,A,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,445,58,1.8,70,2
20200152,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,57,94,1.3,77.5,2
20200153,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,2
20200154,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,C,,B,,,,A,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2.3,67.5,1
20200155,F,234,NA,DSA (CCA),TEMASEK SECONDARY SCHOOL,,B,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,492,54,2.3,68.75,1
20200156,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,B,,E,,A,,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,492,54,2.5,68.75,1
20200157,F,0,NA,IP (Y),SCHOOL Y,,,A,D,,,,,,,B,,,A,,,,,,,,,,,,,,,,,,,,,A,A,Passed,445,58,2,70,1
20200158,M,0,NA,IP (X),SCHOOL X,,E,,E,,,S,S,,,,,U,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,1030,3,6,25,1
20200159,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,D,,U,,,U,U,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,B,Failed,1061,0,7,6.25,1
20200160,M,0,NA,IP (X),SCHOOL X,,B,,D,,,E,,,,,,D,,,,,,,,E,,,,,,,,,,,,,,A,A,Passed,910,15,4.5,48.75,1
20200161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,C,,S,,,,C,,,,,C,,C,,,,,,,,,,,,,,,,,,,,A,C,Passed,841,21,3.8,55,1
20200162,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,C,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,205,80,1.5,75,1
20200163,F,0,NA,IP (Y),SCHOOL Y,,C,,A,A,,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,324,69,1.8,72.5,1
20200164,M,0,NA,IP (X),SCHOOL X,,B,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,324,69,1.8,72.5,1
20200165,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,C,,C,,,B,A,,,,,,,,,D,,,,,,,,,,,,,,,,,,A,B,Passed,580,45,2.5,66.25,1
20200166,M,0,NA,IP (X),SCHOOL X,,C,,C,,,,,,B,,,B,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2.3,67.5,2
20200167,M,0,NA,IP (X),SCHOOL X,,B,,B,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.8,73.75,1
20200168,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,D,,C,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,580,45,2.3,66.25,1
20200169,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,D,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,271,74,1.5,73.75,1
20200170,F,0,NA,IP (Y),SCHOOL Y,,C,,D,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,656,38,2.8,63.75,1
20200171,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,C,,B,,,C,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,B,A,Passed,445,58,2,70,1
20200172,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,D,,B,,,B,B,,,,,,,,,,,,,,,,,A,,,,,,,,,,A,B,Passed,445,58,1.8,70,2
20200173,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,C,,D,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,716,33,3,61.25,1
20200174,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,B,,E,,,,,,,B,,,U,,,,B,,,,,,,,,,,,,,,,,A,B,Passed,860,19,4,53.75,1
20200175,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,C,,B,,,,,,,B,,,D,,C,,,,,,,,,,,,,,,,,,,B,NA,Passed,656,38,2.8,63.75,2
20200176,F,0,NA,IP (Y),SCHOOL Y,,B,,E,,,,D,E,,,,,,,,,,,,,,,,,,,,,,,B,,,A,D,Passed,895,16,4.3,50,1
20200177,F,0,NA,IP (Y),SCHOOL Y,,B,,B,,,,A,A,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200178,M,0,NA,IP (X),SCHOOL X,,B,,S,,,C,B,,,,,,,,,,,,,,,,,,C,,,,,,,,,B,B,Passed,772,27,3.5,58.75,1
20200179,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,B,,B,,,,A,,,,,A,,A,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,2
20200180,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,B,,B,,,,A,,C,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,389,63,2,71.25,1
20200181,F,0,NA,IP (Y),SCHOOL Y,,D,,U,,,D,E,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,1016,5,5.8,28.75,1
20200182,M,0,NA,IP (X),SCHOOL X,,D,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,492,54,2,68.75,1
20200183,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,,,,A,,,A,,C,,,,,,,,,,,,,,,,,,,A,B,Passed,151,85,1.5,76.25,2
20200184,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,271,74,1.5,73.75,1
20200185,F,0,NA,IP (Y),SCHOOL Y,,D,,U,,,,S,,C,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,984,8,5.3,36.25,1
20200186,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,C,,B,,,C,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,716,33,3,61.25,1
20200187,F,0,NA,IP (Y),SCHOOL Y,,C,,C,,,,C,C,D,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,772,27,3.3,58.75,1
20200188,F,0,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,C,,C,,,C,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2.3,67.5,1
20200189,M,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,E,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,537,49,2,67.5,1
20200190,M,0,NA,IP (X),SCHOOL X,,B,,B,,,B,B,,,,,A,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,324,69,1.8,72.5,1
20200191,M,0,NA,JAE Ordinary Admission,PEI HWA SECONDARY SCHOOL,,C,,B,,A,B,,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,389,63,1.8,71.25,1
20200192,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,B,,U,,,S,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,885,17,4,51.25,1
20200193,F,0,NA,IP (Y),SCHOOL Y,,C,,C,,,,C,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,686,35,2.8,62.5,1
20200194,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),,B,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,445,58,2.3,70,1
20200195,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,C,,C,,,A,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,A,A,Passed,445,58,2,70,1
20200196,F,0,NA,IP (Y),SCHOOL Y,,B,,C,,,,D,B,,,,,,E,,,,,,,,,,,,,,,,,,,,A,A,Passed,772,27,3.5,58.75,1
20200197,F,0,NA,DSA (CCA),CLEMENTI TOWN SECONDARY SCHOOL,,B,,,,,,,,B,,,S,,D,,,,,,,,,,,,,B,,,,,,,A,B,Passed,873,18,3.7,52.5,1
20200198,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,D,,C,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,656,38,2.5,63.75,1
20200199,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,C,,A,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,445,58,2,70,1
20200200,F,0,NA,IP (Y),SCHOOL Y,,MC,,MC,,,,S,U,,,,S,,,,,,,,,,,,,,,,,,,,,,A,B,Failed,1057,1,6.3,10,1
20200201,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,B,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200202,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,C,,A,,,,,,B,,,B,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,445,58,2,70,1
20200203,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,C,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,445,58,2,70,1
20200204,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.8,73.75,1
20200205,M,0,NA,IP (X),SCHOOL X,,B,,C,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,492,54,2.3,68.75,2
20200206,F,233,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,E,,D,,,,U,E,,,,,,,,,,,,,,,,,,,,,,,B,,,A,B,Passed,984,8,4.9,36.25,1
20200207,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,B,,E,,,,B,,,,,B,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,656,38,3,63.75,1
20200208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,B,,C,,,B,A,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,580,45,2.8,66.25,2
20200209,F,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,,D,,E,,,,,,,,,B,,,,B,,,,,A,,,,,,,,,,,,,A,A,Passed,580,45,2.5,66.25,1
20200210,F,0,NA,IP (Y),SCHOOL Y,,D,,U,,,D,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,934,12,4.5,46.25,2
20200211,M,0,NA,JAE Ordinary Admission,CHANGKAT CHANGI SECONDARY SCHOOL,,B,,B,,,A,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,B,A,Passed,57,94,1.3,77.5,1
20200212,M,0,NA,IP (X),SCHOOL X,,C,,E,,,D,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,745,30,3.3,60,1
20200213,M,0,NA,IP (X),SCHOOL X,,B,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,445,58,2.3,70,1
20200214,M,0,NA,IP (X),SCHOOL X,,B,,E,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,772,27,3.5,58.75,1
20200215,M,0,NA,IP (X),SCHOOL X,,C,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.3,76.25,1
20200216,M,0,NA,IP (X),SCHOOL X,,B,,A,,,B,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200217,M,0,NA,IP (X),SCHOOL X,,B,,U,,,,,,,B,,,E,,D,,,,,,,,,,,,,,,,,,,A,B,Passed,910,15,4.5,48.75,1
20200218,M,0,NA,IP (X),SCHOOL X,,C,,B,,,D,B,,,,,,,,,,,C,,,,,,,,,,,,,,,,A,A,Passed,656,38,2.8,63.75,1
20200219,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,B,D,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.5,66.25,1
20200220,F,0,NA,IP (Y),SCHOOL Y,,D,,U,,C,E,,,,,,S,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,984,8,5.3,36.25,1
20200221,M,0,NA,IP (X),SCHOOL X,,D,,B,,,B,A,,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,445,58,1.8,70,1
20200222,F,0,NA,IP (Y),SCHOOL Y,,C,,C,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,537,49,2.3,67.5,1
20200223,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,,E,,C,,,D,A,,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,656,38,2.5,63.75,1
20200224,M,0,NA,IP (X),SCHOOL X,,C,,A,,,D,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,656,38,2.8,63.75,1
20200225,M,0,NA,IP (X),SCHOOL X,A,,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,80,1
20200226,M,0,NA,IP (X),SCHOOL X,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200227,M,0,NA,IP (X),SCHOOL X,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,97,1.3,78.75,1
20200228,F,0,NA,IP (Y),SCHOOL Y,,E,,E,,,,B,E,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,924,13,4.3,47.5,1
20200229,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200230,M,0,NA,IP (X),SCHOOL X,,B,,D,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,686,35,3,62.5,1
20200231,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,,,,C,,,B,,C,,,,,,,,,,,,,,,,,,,B,B,Passed,629,41,2.5,65,1
20200232,M,0,NA,IP (X),SCHOOL X,A,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,80,1
20200233,F,242,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,D,,C,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,NA,Passed,580,45,2.3,66.25,1
20200234,F,0,NA,IP (Y),SCHOOL Y,A,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,80,2
20200235,F,0,NA,IP (Y),SCHOOL Y,,B,,D,,,,A,C,,,,,,,,B,,,,,,,,,,,,,,,,,,A,B,Passed,537,49,2.5,67.5,2
20200236,F,0,NA,IP (Y),SCHOOL Y,,D,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,537,49,2.3,67.5,2
20200237,M,0,NA,IP (X),SCHOOL X,,B,,B,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.8,73.75,1
20200238,F,243,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,D,,S,,,,,,D,,,U,,S,,,,,,,,,,,,,,,,,,,,A,D,Passed,1016,5,5.8,28.75,1
20200239,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,271,74,1.5,73.75,1
20200240,M,0,NA,IP (X),SCHOOL X,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,57,94,1.3,77.5,2
20200241,M,250,NA,DSA (CCA),SCHOOL X,,D,,E,,,E,E,,,,,,,,,,,,,,,,,,,,,,,,U,,,A,E,Passed,984,8,5.3,36.25,1
20200242,M,248,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,,D,,B,,,,B,A,C,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,492,54,2,68.75,1
20200243,M,0,NA,IP (X),SCHOOL X,,B,,B,,,,,,,,,B,,B,,,,,,,,B,,,,,,,,,,,,A,A,Passed,445,58,2,70,1
20200244,M,0,NA,IP (X),SCHOOL X,,C,,U,,,,S,,,,,D,,C,,,,,,,,,,,,,,,,,,,,A,C,Passed,970,9,5,40,1
20200245,M,0,NA,IP (X),SCHOOL X,,B,,B,,,,A,B,,,,,,,,B,,,,,,,,,,,,,,,,,,A,B,Passed,324,69,1.8,72.5,1
20200246,M,0,NA,IP (X),SCHOOL X,,D,,B,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,492,54,2,68.75,1
20200247,M,0,NA,IP (X),SCHOOL X,,B,,B,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,205,80,1.5,75,1
20200248,M,0,NA,IP (X),SCHOOL X,,C,,E,,,D,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,808,24,3.5,57.5,1
20200249,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,S,,B,,,B,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,A,Passed,492,54,1.5,68.75,1
20200250,F,0,NA,JAE Ordinary Admission,DUNMAN SECONDARY SCHOOL,,C,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.3,76.25,1
20200251,M,215,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,,E,,S,,,U,E,,,,,,,,,,,,,,,,,,,,,,,,E,,,A,E,Passed,1030,3,5.9,25,1
20200252,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.5,66.25,1
20200253,M,0,NA,IP (X),SCHOOL X,,C,,B,,,A,A,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.3,76.25,2
20200254,F,0,NA,IP (Y),SCHOOL Y,,E,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,A,Failed,1053,1,6.4,12.5,1
20200255,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,80,1
20200256,M,0,NA,JAE Ordinary Admission,YISHUN SECONDARY SCHOOL,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,57,94,1.3,77.5,1
20200257,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,80,1
20200258,F,0,NA,IP (Y),SCHOOL Y,,B,,C,,,,A,A,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,492,54,2.5,68.75,1
20200259,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200260,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,151,85,1.3,76.25,1
20200261,M,235,Repeat Yr1,DSA (CCA),NAN HUA HIGH SCHOOL,,E,,S,,,U,D,,,,,,,,,,,,,,,,,,,,,,,,,U,,B,NA,Passed,1037,3,5.9,22.5,1
20200262,F,0,NA,IP (Y),SCHOOL Y,,C,,B,,,D,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.5,66.25,2
20200263,M,0,NA,IP (X),SCHOOL X,,C,,B,,,D,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,580,45,2.5,66.25,1
20200264,F,0,NA,IP (Y),SCHOOL Y,,C,,,,,,,,,,,E,,B,,,,,,,C,,,,,,B,,,,,,,A,B,Passed,772,27,3.1,58.75,1
20200265,F,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,D,,U,,,,D,E,,,,U,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1016,5,5.8,28.75,1
20200266,M,0,NA,IP (X),SCHOOL X,,S,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,389,63,1.3,71.25,1
20200267,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,C,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,445,58,2,70,1
20200268,M,0,NA,IP (X),SCHOOL X,,C,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,151,85,1.3,76.25,1
20200269,M,246,NA,DSA,NAN HUA HIGH SCHOOL,,,B,B,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,B,D,Passed,629,41,2.5,65,2
20200270,M,0,NA,IP (X),SCHOOL X,,C,,C,,,B,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,B,Passed,324,69,1.8,72.5,1
20200271,M,0,NA,IP (X),SCHOOL X,,C,,B,,,,B,D,,,,D,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,716,33,3,61.25,1
20200272,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,A,,D,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,492,54,2.5,68.75,1
20200273,M,0,NA,IP (X),SCHOOL X,,,B,,,,,,,,B,,,C,,C,,,,,,,,,,,,A,,,,,,,A,B,Passed,537,49,2.3,67.5,2
20200274,F,0,NA,IP (Y),SCHOOL Y,,A,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.5,76.25,2
20200275,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,B,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,A,Passed,23,97,1.3,78.75,2
20200276,M,0,NA,IP (X),SCHOOL X,,C,,A,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,389,63,2,71.25,1
20200277,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,B,,U,,,,B,S,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,910,15,4.3,48.75,1
20200278,F,0,NA,IP (Y),SCHOOL Y,,B,,E,,,,B,B,,,,,,,,,,,,,,,B,,,,,,,,,,,A,A,Passed,580,45,2.8,66.25,1
20200279,F,0,NA,IP (Y),SCHOOL Y,,C,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.3,76.25,3
20200280,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,C,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,445,58,2,70,2
20200281,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,C,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.3,76.25,1
20200282,M,0,NA,IP (X),SCHOOL X,B,,,B,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,1
20200283,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,E,,B,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,580,45,2.3,66.25,1
20200284,M,0,NA,IP (X),SCHOOL X,,B,,D,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,745,30,3.3,60,2
20200285,M,0,NA,IP (X),SCHOOL X,,C,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,151,85,1.3,76.25,1
20200286,F,0,NA,IP (Y),SCHOOL Y,,B,,A,,,,B,,B,,,,,,,,,,A,,,,,,,,,,,,,,,A,A,Passed,205,80,1.5,75,2
20200287,F,0,NA,IP (Y),SCHOOL Y,,B,,U,,,,B,,,,,C,,,,,,,,,,B,,,,,,,,,,,,A,A,Passed,772,27,3.5,58.75,1
20200288,F,252,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,C,,S,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,745,30,3.3,60,1
20200289,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,D,,C,,,,B,U,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,910,15,4.3,48.75,1
20200290,M,0,NA,IP (X),SCHOOL X,,A,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,23,97,1.3,78.75,1
20200291,M,0,NA,IP (X),SCHOOL X,,B,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,389,63,2,71.25,1
20200292,F,0,NA,IP (Y),SCHOOL Y,,D,,S,,,,B,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,830,22,3.5,56.25,1
