SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
36,20200036,F,0,NA,IP (Y),SCHOOL Y,,0.37,,0.66,,,,0.78,0.44,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
37,20200037,F,0,NA,IP (Y),SCHOOL Y,,0.59,,0.71,,,0.52,0.49,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,1
38,20200038,F,0,NA,IP (Y),SCHOOL Y,,,0.17,,,,,,,,0.18,,,0.02,,,,0.1,,,,,,,,,,,,,,,,,2
39,20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,0.83,,0.56,,,,0.43,0.83,,,,0.41,,,,,,,,,,,,,,,,,,,,,,2
40,20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,,0.15,,0.21,,,,,,0.11,,,0,,0.07,,,,,,,,,,,,,,,,,,,,3
41,20200041,F,0,NA,IP (Y),SCHOOL Y,,0.35,,0.1,,,,0.2,0.18,,,,0.04,,,,,,,,,,,,,,,,,,,,,,1
42,20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.65,,0.87,,,,0.8,0.79,,,,0.78,,,,,,,,,,,,,,,,,,,,,,2
43,20200043,F,0,NA,IP (Y),SCHOOL Y,,0.8,,0.67,,,,0.71,,,,,0.95,,,,0.95,,,,,,,,,,,,,,,,,,2
44,20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,,0.52,,,,,,,,0.35,,,0.06,,,,0.47,,,,,,,,,,,0.05,,,,,,,1
45,20200045,M,0,NA,IP (X),SCHOOL X,,0.56,,0.51,,,0.32,0.57,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
46,20200046,F,0,NA,IP (Y),SCHOOL Y,,0.51,,0.85,,,0.58,0.56,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,2
47,20200047,M,0,NA,IP (X),SCHOOL X,,0.67,,0.65,,,0.6,0.61,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
48,20200048,M,0,NA,IP (X),SCHOOL X,,0.77,,0.67,,,,0.86,0.46,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
49,20200049,F,0,NA,IP (Y),SCHOOL Y,,0.45,,0.42,,,,0.4,,,,,0.56,,,,,,,,,0.8,,,,,,,,,,,,,1
50,20200050,M,0,NA,IP (X),SCHOOL X,,0.82,,0.58,,,0.55,0.69,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,1
51,20200051,F,0,NA,IP (Y),SCHOOL Y,,0.26,,0.09,,,,0.28,,,,,0.1,,,,,,,,,0.26,,,,,,,,,,,,,1
52,20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,0.05,,0,,,,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,1,,1
53,20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,,0.27,,0.62,,,,0.47,0.5,,,,0.54,,,,,,,,,,,,,,,,,,,,,,2
54,20200054,F,0,NA,IP (Y),SCHOOL Y,,0.89,,0.18,,,,0.02,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,,,,1
55,20200055,M,0,NA,IP (X),SCHOOL X,,0.7,,0.94,,,0.91,0.8,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
56,20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.32,,0.73,,,0.32,0.66,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.34,,0.56,,,0.86,0.8,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,1
58,20200058,F,0,NA,IP (Y),SCHOOL Y,,0.68,,0.14,,,0.19,0.1,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,1
59,20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,0.55,,0.57,,,,0.17,0.27,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
60,20200060,F,0,NA,IP (Y),SCHOOL Y,,0.17,,0.62,,,0.34,0.45,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
61,20200061,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.1,,0.72,,,,0.45,0.28,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
62,20200062,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.53,,0.3,,,,0.47,0.39,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
