SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
156,20200156,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.84,,0.17,,0.41,,0.5,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
157,20200157,F,0,NA,IP (Y),SCHOOL Y,,,0.76,0.22,,,,,,,0.56,,,0.85,,,,,,,,,,,,,,,,,,,,,1
158,20200158,M,0,NA,IP (X),SCHOOL X,,0.06,,0.18,,,0.05,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,1
159,20200159,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.17,,0.06,,,0,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
160,20200160,M,0,NA,IP (X),SCHOOL X,,0.91,,0.25,,,0.12,,,,,,0.36,,,,,,,,0.1,,,,,,,,,,,,,,1
161,20200161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.51,,0.1,,,,0.14,,,,,0.59,,0.66,,,,,,,,,,,,,,,,,,,,1
162,20200162,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.4,,0.8,,,0.7,0.83,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
163,20200163,F,0,NA,IP (Y),SCHOOL Y,,0.51,,0.73,0.5,,0.48,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
164,20200164,M,0,NA,IP (X),SCHOOL X,,0.85,,0.48,,,,0.52,0.59,,,,0.91,,,,,,,,,,,,,,,,,,,,,,1
165,20200165,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.42,,0.3,,,0.37,0.53,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,1
166,20200166,M,0,NA,IP (X),SCHOOL X,,0.51,,0.34,,,,,,0.79,,,0.76,,0.75,,,,,,,,,,,,,,,,,,,,2
167,20200167,M,0,NA,IP (X),SCHOOL X,,0.69,,0.39,,,,0.72,0.86,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
168,20200168,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.26,,0.38,,,0.38,0.57,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
169,20200169,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.27,,0.68,,,,0.61,0.85,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
170,20200170,F,0,NA,IP (Y),SCHOOL Y,,0.49,,0.27,,,,0.2,0.44,,,,0.85,,,,,,,,,,,,,,,,,,,,,,1
171,20200171,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,0.54,,0.45,,,0.32,0.39,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,1
172,20200172,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.22,,0.43,,,0.43,0.35,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,2
173,20200173,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.3,,0.27,,,,0.23,0.6,,,,0.29,,,,,,,,,,,,,,,,,,,,,,1
174,20200174,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),,0.95,,0.15,,,,,,,0.4,,,0.07,,,,0.6,,,,,,,,,,,,,,,,,1
175,20200175,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,0.38,,0.45,,,,,,,0.24,,,0.26,,0.38,,,,,,,,,,,,,,,,,,,2
176,20200176,F,0,NA,IP (Y),SCHOOL Y,,0.72,,0.2,,,,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,0.65,,,1
177,20200177,F,0,NA,IP (Y),SCHOOL Y,,0.96,,0.57,,,,0.45,0.73,,,,,,,,,,,,,0.67,,,,,,,,,,,,,1
178,20200178,M,0,NA,IP (X),SCHOOL X,,0.64,,0.09,,,0.32,0.28,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,1
179,20200179,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.73,,0.46,,,,0.56,,,,,0.98,,0.96,,,,,,,,,,,,,,,,,,,,2
180,20200180,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.92,,0.57,,,,0.48,,0.29,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
181,20200181,F,0,NA,IP (Y),SCHOOL Y,,0.23,,0.06,,,0.21,0.05,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
182,20200182,M,0,NA,IP (X),SCHOOL X,,0.26,,0.56,,,,0.75,0.52,,,,0.49,,,,,,,,,,,,,,,,,,,,,,1
183,20200183,M,0,NA,IP (X),SCHOOL X,,0.73,,0.93,,,,,,,0.88,,,0.9,,0.38,,,,,,,,,,,,,,,,,,,2
184,20200184,M,0,NA,IP (X),SCHOOL X,,0.46,,0.64,,,,0.89,0.87,,,,0.74,,,,,,,,,,,,,,,,,,,,,,1
185,20200185,F,0,NA,IP (Y),SCHOOL Y,,0.2,,0.02,,,,0.03,,0.13,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
186,20200186,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.38,,0.4,,,0.25,0.19,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
187,20200187,F,0,NA,IP (Y),SCHOOL Y,,0.62,,0.31,,,,0.13,0.3,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1
188,20200188,F,0,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,0.47,,0.32,,,0.31,0.74,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
189,20200189,M,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,,0.05,,0.62,,,,0.7,0.38,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
190,20200190,M,0,NA,IP (X),SCHOOL X,,0.8,,0.56,,,0.42,0.34,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
191,20200191,M,0,NA,JAE Ordinary Admission,PEI HWA SECONDARY SCHOOL,,0.52,,0.44,,0.43,0.6,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,1
192,20200192,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.65,,0.05,,,0.05,0.46,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,1
193,20200193,F,0,NA,IP (Y),SCHOOL Y,,0.59,,0.33,,,,0.18,0.52,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
194,20200194,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),,0.78,,0.54,,,0.53,0.75,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
195,20200195,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,0.52,,0.38,,,0.81,0.81,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,1
196,20200196,F,0,NA,IP (Y),SCHOOL Y,,0.96,,0.38,,,,0.1,0.35,,,,,,0.12,,,,,,,,,,,,,,,,,,,,1
197,20200197,F,0,NA,DSA (CCA),CLEMENTI TOWN SECONDARY SCHOOL,,0.75,,,,,,,,0.72,,,0.04,,0.35,,,,,,,,,,,,,0.41,,,,,,,1
198,20200198,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.22,,0.33,,,,0.33,0.26,,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
199,20200199,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,,0.62,,0.72,,,,0.21,0.38,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
200,20200200,F,0,NA,IP (Y),SCHOOL Y,,MC,,MC,,,,0.03,0.03,,,,0.04,,,,,,,,,,,,,,,,,,,,,,1
201,20200201,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.7,,0.57,,,,0.69,0.72,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
202,20200202,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.48,,0.84,,,,,,0.83,,,0.83,,0.51,,,,,,,,,,,,,,,,,,,,1
203,20200203,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.32,,0.43,,,0.56,0.52,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
204,20200204,F,0,NA,IP (Y),SCHOOL Y,,0.93,,0.75,,,0.62,0.73,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
205,20200205,M,0,NA,IP (X),SCHOOL X,,0.77,,0.34,,,,0.44,0.89,,,,0.49,,,,,,,,,,,,,,,,,,,,,,2
206,20200206,F,233,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,0.03,,0.23,,,,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,0.75,,,1
207,20200207,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.72,,0.17,,,,0.39,,,,,0.71,,0.68,,,,,,,,,,,,,,,,,,,,1
208,20200208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.7,,0.37,,,0.51,0.45,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,2
209,20200209,F,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,,0.27,,0.21,,,,,,,,,0.77,,,,0.41,,,,,0.82,,,,,,,,,,,,,1
210,20200210,F,0,NA,IP (Y),SCHOOL Y,,0.15,,0,,,0.16,0.14,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,2
211,20200211,M,0,NA,JAE Ordinary Admission,CHANGKAT CHANGI SECONDARY SCHOOL,,0.67,,0.6,,,0.91,0.87,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,1
212,20200212,M,0,NA,IP (X),SCHOOL X,,0.59,,0.15,,,0.13,0.81,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
213,20200213,M,0,NA,IP (X),SCHOOL X,,0.8,,0.51,,,,0.55,0.47,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
214,20200214,M,0,NA,IP (X),SCHOOL X,,0.66,,0.15,,,0.29,0.39,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
215,20200215,M,0,NA,IP (X),SCHOOL X,,0.43,,0.96,,0.7,0.86,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
216,20200216,M,0,NA,IP (X),SCHOOL X,,0.66,,0.9,,,0.66,0.96,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
217,20200217,M,0,NA,IP (X),SCHOOL X,,0.68,,0.04,,,,,,,0.32,,,0.19,,0.03,,,,,,,,,,,,,,,,,,,1
218,20200218,M,0,NA,IP (X),SCHOOL X,,0.32,,0.42,,,0.16,0.44,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,1
219,20200219,M,0,NA,IP (X),SCHOOL X,,0.41,,0.49,,,,0.35,0.19,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1
220,20200220,F,0,NA,IP (Y),SCHOOL Y,,0.15,,0.07,,0.25,0.12,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
221,20200221,M,0,NA,IP (X),SCHOOL X,,0.16,,0.44,,,0.35,0.58,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,1
222,20200222,F,0,NA,IP (Y),SCHOOL Y,,0.34,,0.32,,,0.54,0.36,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
223,20200223,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,,0.02,,0.3,,,0.23,0.65,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,1
224,20200224,M,0,NA,IP (X),SCHOOL X,,0.55,,0.77,,,0.17,0.41,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,1
225,20200225,M,0,NA,IP (X),SCHOOL X,0.92,,,0.99,,,,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,1
226,20200226,M,0,NA,IP (X),SCHOOL X,,0.67,,0.86,,,0.63,0.76,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
227,20200227,M,0,NA,IP (X),SCHOOL X,,0.97,,0.86,,,,0.88,0.74,,,,0.84,,,,,,,,,,,,,,,,,,,,,,1
228,20200228,F,0,NA,IP (Y),SCHOOL Y,,0.06,,0.15,,,,0.36,0.14,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
229,20200229,F,0,NA,IP (Y),SCHOOL Y,,0.77,,0.8,,,,0.8,0.82,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
230,20200230,M,0,NA,IP (X),SCHOOL X,,0.69,,0.26,,,0.46,0.2,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
231,20200231,M,0,NA,IP (X),SCHOOL X,,0.6,,0.6,,,,,,,0.18,,,0.52,,0.38,,,,,,,,,,,,,,,,,,,1
232,20200232,M,0,NA,IP (X),SCHOOL X,0.96,,,0.73,,,0.97,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,1
233,20200233,F,242,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.22,,0.35,,,0.72,0.36,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,1
234,20200234,F,0,NA,IP (Y),SCHOOL Y,0.84,,,0.77,,,0.77,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,2
235,20200235,F,0,NA,IP (Y),SCHOOL Y,,0.85,,0.23,,,,0.56,0.3,,,,,,,,0.43,,,,,,,,,,,,,,,,,,2
236,20200236,F,0,NA,IP (Y),SCHOOL Y,,0.21,,0.62,,,,0.48,0.5,,,,0.35,,,,,,,,,,,,,,,,,,,,,,2
237,20200237,M,0,NA,IP (X),SCHOOL X,,0.65,,0.59,,,,0.56,0.84,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
238,20200238,F,243,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,0.18,,0.1,,,,,,0.08,,,0.02,,0.05,,,,,,,,,,,,,,,,,,,,1
239,20200239,M,0,NA,IP (X),SCHOOL X,,0.63,,0.6,,,,0.74,0.63,,,,0.88,,,,,,,,,,,,,,,,,,,,,,1
240,20200240,M,0,NA,IP (X),SCHOOL X,,0.69,,0.91,,,,0.83,0.87,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2
241,20200241,M,250,NA,DSA (CCA),SCHOOL X,,0.24,,0.16,,,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,1
242,20200242,M,248,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,,0.09,,0.42,,,,0.4,0.72,0.16,,,,,,,,,,,,,,,,,,,,,,,,,1
243,20200243,M,0,NA,IP (X),SCHOOL X,,0.92,,0.42,,,,,,,,,0.68,,0.83,,,,,,,,0.72,,,,,,,,,,,,1
244,20200244,M,0,NA,IP (X),SCHOOL X,,0.54,,0.05,,,,0.03,,,,,0.31,,0.74,,,,,,,,,,,,,,,,,,,,1
245,20200245,M,0,NA,IP (X),SCHOOL X,,0.86,,0.52,,,,0.48,0.4,,,,,,,,0.65,,,,,,,,,,,,,,,,,,1
246,20200246,M,0,NA,IP (X),SCHOOL X,,0.15,,0.58,,,,0.35,0.75,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
247,20200247,M,0,NA,IP (X),SCHOOL X,,0.65,,0.56,,,0.73,0.7,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,1
248,20200248,M,0,NA,IP (X),SCHOOL X,,0.44,,0.18,,,0.16,0.47,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,1
249,20200249,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,0,,0.59,,,0.57,0.71,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,1
250,20200250,F,0,NA,JAE Ordinary Admission,DUNMAN SECONDARY SCHOOL,,0.28,,0.97,,,0.93,0.99,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
251,20200251,M,215,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,,0.04,,0.09,,,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,1
252,20200252,F,0,NA,IP (Y),SCHOOL Y,,0.49,,0.76,,,,0.41,0.25,,,,0.3,,,,,,,,,,,,,,,,,,,,,,1
253,20200253,M,0,NA,IP (X),SCHOOL X,,0.43,,0.47,,,0.68,0.69,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,2
254,20200254,F,0,NA,IP (Y),SCHOOL Y,,0.02,,0,,,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,1
255,20200255,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.98,,0.95,,,,0.99,0.99,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
256,20200256,M,0,NA,JAE Ordinary Admission,YISHUN SECONDARY SCHOOL,,0.83,,0.94,,,0.98,0.97,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
257,20200257,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),,0.98,,0.74,,,,0.72,0.89,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
258,20200258,F,0,NA,IP (Y),SCHOOL Y,,0.76,,0.31,,,,0.67,0.95,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
259,20200259,F,0,NA,IP (Y),SCHOOL Y,,0.53,,0.79,,,0.88,0.91,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
260,20200260,F,0,NA,IP (Y),SCHOOL Y,,0.47,,0.86,,,,0.84,0.68,,,,0.84,,,,,,,,,,,,,,,,,,,,,,1
261,20200261,M,235,Repeat Yr1,DSA (CCA),NAN HUA HIGH SCHOOL,,0.06,,0.13,,,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,1
262,20200262,F,0,NA,IP (Y),SCHOOL Y,,0.3,,0.4,,,0.22,0.25,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,2
263,20200263,M,0,NA,IP (X),SCHOOL X,,0.49,,0.63,,,0.2,0.67,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,1
264,20200264,F,0,NA,IP (Y),SCHOOL Y,,0.51,,,,,,,,,,,0.17,,0.87,,,,,,,0.17,,,,,,0.47,,,,,,,1
265,20200265,F,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,,0.09,,0.08,,,,0.12,0.08,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
266,20200266,M,0,NA,IP (X),SCHOOL X,,0,,0.73,,0.73,0.95,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,1
267,20200267,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.4,,0.62,,,0.59,0.93,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,1
268,20200268,M,0,NA,IP (X),SCHOOL X,,0.54,,0.88,,,0.93,0.88,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
269,20200269,M,246,NA,DSA,NAN HUA HIGH SCHOOL,,,0.29,0.53,,,,,,,0.18,,,,,0.23,,,,,,,,,,,,,,,,,,,2
270,20200270,M,0,NA,IP (X),SCHOOL X,,0.58,,0.33,,,0.47,0.68,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,1
271,20200271,M,0,NA,IP (X),SCHOOL X,,0.62,,0.41,,,,0.34,0.16,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
272,20200272,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.97,,0.21,,,,0.56,0.55,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1
273,20200273,M,0,NA,IP (X),SCHOOL X,,,0.47,,,,,,,,0.46,,,0.35,,0.23,,,,,,,,,,,,0.94,,,,,,,2
274,20200274,F,0,NA,IP (Y),SCHOOL Y,,0.99,,0.59,,,,0.73,0.61,,,,0.76,,,,,,,,,,,,,,,,,,,,,,2
275,20200275,F,0,NA,IP (Y),SCHOOL Y,,0.98,,0.65,,,0.45,0.58,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,2
276,20200276,M,0,NA,IP (X),SCHOOL X,,0.34,,0.66,,,,0.67,0.35,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
277,20200277,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.7,,0.08,,,,0.24,0.07,,,,0.65,,,,,,,,,,,,,,,,,,,,,,1
278,20200278,F,0,NA,IP (Y),SCHOOL Y,,0.95,,0.17,,,,0.41,0.44,,,,,,,,,,,,,,,0.4,,,,,,,,,,,1
279,20200279,F,0,NA,IP (Y),SCHOOL Y,,0.58,,0.96,,0.88,0.94,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,3
280,20200280,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,0.59,,0.49,,,0.56,0.6,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,2
281,20200281,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.47,,0.48,,,,0.69,0.9,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
282,20200282,M,0,NA,IP (X),SCHOOL X,0.07,,,0.63,,,,0.9,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,1
283,20200283,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.01,,0.45,,,0.48,0.64,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
284,20200284,M,0,NA,IP (X),SCHOOL X,,0.82,,0.28,,,,0.25,0.28,,,,0.23,,,,,,,,,,,,,,,,,,,,,,2
285,20200285,M,0,NA,IP (X),SCHOOL X,,0.46,,0.86,,,,0.6,0.99,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
286,20200286,F,0,NA,IP (Y),SCHOOL Y,,0.84,,0.67,,,,0.33,,0.75,,,,,,,,,,0.5,,,,,,,,,,,,,,,2
287,20200287,F,0,NA,IP (Y),SCHOOL Y,,0.83,,0.08,,,,0.39,,,,,0.57,,,,,,,,,,0.36,,,,,,,,,,,,1
288,20200288,F,252,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.62,,0.13,,,,0.38,0.45,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
289,20200289,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.06,,0.39,,,,0.26,0.01,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1
290,20200290,M,0,NA,IP (X),SCHOOL X,,0.97,,0.84,,0.78,0.75,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,1
291,20200291,M,0,NA,IP (X),SCHOOL X,,0.9,,0.51,,,0.49,0.62,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
292,20200292,F,0,NA,IP (Y),SCHOOL Y,,0.25,,0.11,,,,0.25,0.32,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
293,20200293,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.45,,MC,,,,MC,0.26,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
294,20200294,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.02,,0.27,,0.28,0.12,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
295,20200295,F,0,NA,IP (Y),SCHOOL Y,,0.1,,0.15,,0.1,0.14,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
296,20200296,F,0,NA,IP (Y),SCHOOL Y,,0.62,,0.1,,,,0.29,0.33,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
297,20200297,F,0,NA,IP (Y),SCHOOL Y,,0.69,,0.83,,,0.8,0.88,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,1
298,20200298,M,0,NA,DSA,NAN CHIAU HIGH SCHOOL,,0.81,,0.97,,0.96,0.96,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
299,20200299,M,247,NA,DSA (CCA),NAN HUA HIGH SCHOOL,,0.02,,0.93,,,0.6,0.62,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,1
300,20200300,M,0,NA,IP (X),SCHOOL X,,0.09,,0.22,,,,0.09,,,,,0.25,,,,,,,,,0.11,,,,,,,,,,,,,1
301,20200301,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.37,,0.47,,,0.3,0.14,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,1
302,20200302,F,0,NA,IP (Y),SCHOOL Y,,0.9,,0.28,,,,0.63,0.71,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
303,20200303,F,0,NA,IP (Y),SCHOOL Y,,0.77,,0.56,,,,0.61,0.88,,,,0.96,,,,,,,,,,,,,,,,,,,,,,1
304,20200304,F,0,NA,IP (Y),SCHOOL Y,,0.8,,0.32,,,,0.07,0.1,,,,,,,,,,,,,0.18,,,,,,,,,,,,,1
305,20200305,F,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,,0.33,,0.55,,,0.66,0.67,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
306,20200306,F,0,NA,IP (Y),SCHOOL Y,,0.77,,0.9,,,,0.89,0.7,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
307,20200307,M,0,NA,IP (X),SCHOOL X,,0.13,,0.47,,,0.13,0.24,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1
308,20200308,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.06,,0.35,,,0.19,0.24,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
309,20200309,F,0,NA,IP (Y),SCHOOL Y,,0.83,,0.08,,,,,,0.77,,,0.06,,0.01,,,,,,,,,,,,,,,,,,,,1
310,20200310,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.26,,0.19,,,0.13,0.19,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,1
311,20200311,F,0,NA,IP (Y),SCHOOL Y,,0.77,,0.93,,,0.93,0.94,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,1
312,20200312,F,0,NA,IP (Y),SCHOOL Y,,0.39,,0.5,,,0.61,0.31,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,1
313,20200313,M,0,NA,IP (X),SCHOOL X,,0.14,,0.29,,,,0.07,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,,1
314,20200314,M,0,NA,IP (X),SCHOOL X,,0.91,,0.65,,,0.49,0.86,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
315,20200315,M,0,NA,IP (X),SCHOOL X,,0.69,,0.33,,,,0.56,0.77,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
316,20200316,F,0,NA,IP (Y),SCHOOL Y,,0.97,,0.96,,,,,,,0.96,,,,,0.92,,,,,,0.35,,,,,,,,,,,,,1
317,20200317,F,0,NA,IP (Y),SCHOOL Y,,0.53,,0.93,,0.78,0.84,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,1
