NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190032,F,0,NA,IP (Y),SCHOOL Y,D,,,D,,,,C,,,,,A,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,455,59,2.5,65,2
20190033,M,254,NA,IP (X),SCHOOL X,E,,,B,,A,A,,,,,,,,,,,,,,,,,,,,,,,,D,,,,B,E,Passed,337,69,1.7,68.75,1
20190034,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,D,,,U,,,,,,C,,E,E,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,968,13,5,41.25,1
20190035,F,260,NA,IP (Y),SCHOOL Y,C,,,D,,,,A,A,,,,,,,,A,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.8,73.75,2
20190036,F,252,NA,IP (Y),SCHOOL Y,D,,,U,,,,C,,,,,,,D,,,,,,,,,,,,,,,,C,,,,A,B,Passed,968,13,4.4,41.25,1
20190037,F,243,NA,IP (Y),SCHOOL Y,E,,,C,E,,C,,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,4.5,45,2
20190038,F,259,NA,IP (Y),SCHOOL Y,B,,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,2,71.25,1
20190039,F,235,NA,DSA (CCA),CHIJ SECONDARY (TOA PAYOH),S,,,D,,,D,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,948,14,4.5,42.5,1
20190040,F,229,NA,IP (Y),SCHOOL Y,E,,,D,,,,E,D,,,,,,,,,,,,,,,,,,,,,,D,,,,A,B,Passed,900,19,4.3,46.25,1
20190041,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,E,,,C,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,455,59,2.3,65,1
20190042,M,250,NA,IP (X),SCHOOL X,A,,,A,,A,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,80,2
20190043,F,267,NA,IP (Y),SCHOOL Y,E,,,C,,,E,A,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,829,25,4,50,1
20190044,F,266,NA,IP (Y),SCHOOL Y,C,,,A,,,,A,A,B,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,104,90,1.3,76.25,1
20190045,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,B,,,B,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,260,76,2,71.25,1
20190046,F,257,NA,IP (Y),SCHOOL Y,C,,,E,,,E,U,,,,,S,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,1041,6,5.8,32.5,1
20190047,M,255,NA,IP (X),SCHOOL X,B,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,1
20190048,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,C,,,D,,,B,B,,,,,U,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,732,34,3.8,55,2
20190049,M,256,NA,IP (X),SCHOOL X,D,,,E,,,D,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,803,27,4,51.25,1
20190050,M,255,NA,IP (X),SCHOOL X,C,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,183,83,1.5,73.75,1
20190051,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,E,,,B,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,337,69,2,68.75,1
20190052,M,266,NA,IP (X),SCHOOL X,B,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,18,98,1,78.75,2
20190053,M,261,NA,IP (X),SCHOOL X,C,,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,104,90,1.3,76.25,1
20190054,M,266,NA,IP (X),SCHOOL X,C,,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1,77.5,2
20190055,M,244,NA,IP (X),SCHOOL X,D,,,B,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,493,55,2.5,63.75,1
20190056,M,257,NA,IP (X),SCHOOL X,C,,,U,,,,C,D,C,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,829,25,4.3,50,2
20190057,M,257,NA,IP (X),SCHOOL X,B,,,B,,,D,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,455,59,2.8,65,2
20190058,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),C,,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,372,66,2.3,67.5,2
20190059,M,264,NA,IP (X),SCHOOL X,B,,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.3,77.5,2
20190060,M,252,NA,IP (X),SCHOOL X,D,,,B,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,493,55,2.5,63.75,1
20190061,M,269,NA,IP (X),SCHOOL X,B,,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.3,77.5,1
20190062,M,270,NA,IP (X),SCHOOL X,D,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,141,87,1.3,75,1
20190063,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,C,,,B,,,C,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,539,51,3,62.5,1
20190064,M,0,NA,IP (X),SCHOOL X,B,,,A,,B,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,2
20190065,F,259,NA,IP (Y),SCHOOL Y,D,,,,,,,,,C,,,D,,,,,,,,B,,,,,,E,,,,,,,,A,A,Passed,702,36,3.3,56.25,1
20190066,F,261,NA,IP (Y),SCHOOL Y,B,,,C,,,C,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,569,48,3,61.25,1
20190067,F,260,NA,IP (Y),SCHOOL Y,B,,,C,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.8,73.75,1
20190068,M,0,NA,JAE Ordinary Admission,JURONG SECONDARY SCHOOL,D,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,141,87,1.3,75,1
20190069,M,0,NA,JAE Ordinary Admission,BROADRICK SECONDARY SCHOOL,D,,,E,,,U,,,,,,U,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,1034,7,5.3,33.75,1
20190070,M,254,NA,IP (X),SCHOOL X,E,,,C,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,372,66,2,67.5,1
20190071,M,258,NA,IP (X),SCHOOL X,B,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,1
20190072,M,260,NA,IP (X),SCHOOL X,D,,,A,,,B,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,569,48,3,61.25,1
20190073,M,259,NA,IP (X),SCHOOL X,D,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.3,75,1
20190074,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),B,,,C,,,,B,B,,,C,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,410,63,2.5,66.25,1
20190075,F,262,NA,IP (Y),SCHOOL Y,B,,,B,,,B,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,455,59,2.8,65,2
20190076,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,E,,,E,,,,C,C,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,732,34,3.5,55,1
20190077,M,255,NA,IP (X),SCHOOL X,B,,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,337,69,2.3,68.75,1
20190078,M,258,NA,IP (X),SCHOOL X,D,,,B,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,539,51,2.8,62.5,1
20190079,M,222,NA,Appeals (Academic),BUKIT PANJANG GOVT. HIGH SCHOOL,C,,,S,,,,B,A,B,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,455,59,2.8,65,2
20190080,F,262,NA,IP (Y),SCHOOL Y,B,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,1
20190081,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),D,,,S,,,B,S,,E,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,968,13,4.8,41.25,2
20190082,M,254,NA,IP (X),SCHOOL X,D,,,E,,,B,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,702,36,3.5,56.25,1
20190083,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,E,,,E,,,D,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,874,21,4.3,47.5,2
20190084,F,267,NA,IP (Y),SCHOOL Y,C,,,E,,,,,,,B,,,,,,,D,,,,B,,,,,,,,,,,,,A,A,Passed,602,45,3.3,60,2
20190085,M,0,NA,IP (X),SCHOOL X,B,,,B,,,,,,,B,,,S,,C,,,,,,,,,,,,,,,,,,,A,A,Passed,569,48,3.3,61.25,1
20190086,F,256,NA,IP (Y),SCHOOL Y,A,,,C,,,,,,,B,,,,,,,A,,,,,,,C,,,,,,,,,,A,A,Passed,297,73,2.3,70,1
20190087,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,S,,,E,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,829,25,3.8,50,1
20190088,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,C,,,S,,,,U,D,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1007,9,5.3,37.5,1
20190089,F,266,NA,IP (Y),SCHOOL Y,B,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,2
20190090,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,D,,,S,,,,D,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,702,36,3.5,56.25,1
20190091,F,266,NA,IP (Y),SCHOOL Y,C,,,C,,,,U,E,,,,,,,,,,,,,,,,,,,,,,,,D,,A,A,Passed,995,10,4.9,38.75,1
20190092,F,267,NA,IP (Y),SCHOOL Y,C,,,C,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,372,66,2.3,67.5,1
20190093,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),E,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.3,73.75,1
20190094,F,251,NA,IP (Y),SCHOOL Y,C,,,,,,,,,B,,,D,,D,,,,,,,,,,,,A,,,,,,,,A,B,Passed,602,45,3,60,1
20190095,M,253,NA,IP (X),SCHOOL X,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.3,77.5,1
