NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,JP1,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20190143,F,253,NA,IP (Y),SCHOOL Y,D,,,S,,,S,,,,,,E,,,,,,,,,,,,,,,,B,,,,,,A,C,Passed,1027,7,5.1,35,1
20190144,F,250,NA,IP (Y),SCHOOL Y,B,,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,229,79,1.8,72.5,1
20190145,F,263,NA,IP (Y),SCHOOL Y,C,,,D,,,,C,C,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,732,34,3.8,55,1
20190146,F,257,NA,IP (Y),SCHOOL Y,C,,,C,,,,B,,,,,B,,C,,,,,,,,,,,,,,,,,,,,B,A,Passed,455,59,2.5,65,1
20190147,M,257,NA,IP (X),SCHOOL X,B,,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,1
20190148,M,0,NA,JAE Ordinary Admission,SCHOOL X,C,,,C,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,372,66,2.3,67.5,2
20190149,M,250,NA,IP (X),SCHOOL X,D,,,S,,,E,U,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1022,8,5.3,36.25,1
20190150,M,245,NA,IP (X),SCHOOL X,B,,,C,,,D,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,539,51,3,62.5,1
20190151,M,250,NA,IP (X),SCHOOL X,B,,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,229,79,1.8,72.5,1
20190152,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",D,,,U,,,B,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,A,B,Passed,493,55,2.8,63.75,1
20190153,M,252,NA,IP (X),SCHOOL X,D,,,U,,,E,MC,,,,,,,,,,,,,,,,,,,,,,,C,,,,A,C,Passed,1074,3,5.4,23.75,0
20190154,F,262,NA,IP (Y),SCHOOL Y,E,,,S,,,,,,,,,C,,,,,,,,B,,,,,,,,,,,,B,,A,A,Passed,803,27,3.4,51.25,1
20190155,F,254,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),D,,,S,,,,D,C,,,,E,,,,,,,,,,,,,,,,,,,,,,A,S,Passed,900,19,4.5,46.25,2
20190156,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,D,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,229,79,1.5,72.5,2
20190157,F,250,NA,IP (Y),SCHOOL Y,C,,,D,,,,C,B,,,,,,,,,,,,,,,,,,,,,,B,,,,A,A,Passed,569,48,2.9,61.25,0
20190158,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),D,,,C,,,S,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,934,16,4.8,43.75,1
20190159,F,227,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,E,,,S,,,E,S,,,,,,,,,,,,,,,,,,,,,,,E,,,,A,B,Passed,1059,4,5.6,30,1
20190160,M,257,NA,IP (X),SCHOOL X,D,,,B,,,,B,C,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,569,48,3,61.25,1
20190161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,B,,,B,,,,A,B,,,,E,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,337,69,2.5,68.75,1
20190162,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,E,,,E,,,,S,E,,,,S,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1041,6,5.5,32.5,2
20190163,F,264,NA,IP (Y),SCHOOL Y,B,,,B,,,,,,,,B,B,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,2
20190164,M,257,NA,IP (X),SCHOOL X,C,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,46,95,1,77.5,1
20190165,F,270,NA,IP (Y),SCHOOL Y,C,,,D,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,2,71.25,1
20190166,M,257,NA,IP (X),SCHOOL X,C,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.5,73.75,2
20190167,F,255,NA,IP (Y),SCHOOL Y,E,,,B,,,,B,E,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,674,39,3.3,57.5,1
20190168,F,261,NA,IP (Y),SCHOOL Y,D,,,B,,,,B,C,,,,E,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,569,48,3,61.25,1
20190169,M,249,NA,IP (X),SCHOOL X,D,,,D,,,,C,E,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,759,31,3.8,53.75,2
20190170,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,C,,,B,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,104,90,1.3,76.25,2
20190171,M,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,C,,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1,77.5,1
20190172,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,B,,,MC,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,410,63,1.3,66.25,1
20190173,M,255,NA,IP (X),SCHOOL X,D,,,D,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,674,39,3.3,57.5,1
20190174,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,C,,,B,,,C,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,644,42,3.3,58.75,1
20190175,F,262,NA,IP (Y),SCHOOL Y,B,,,D,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,539,51,3,62.5,1
20190176,M,260,NA,IP (X),SCHOOL X,C,,,C,,,C,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,732,34,3.8,55,1
20190177,M,230,NA,DSA,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,E,,,C,,,B,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,732,34,3.5,55,3
20190178,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),E,,,S,,,,,,,C,,,E,,,,D,,,,,,,,,,,,,,,,,A,C,Passed,915,17,4.5,45,1
20190179,F,260,NA,IP (Y),SCHOOL Y,C,,,B,,,,A,A,C,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,229,79,1.8,72.5,1
20190180,F,255,NA,IP (Y),SCHOOL Y,C,,,U,,,U,U,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Failed,1091,1,6.5,17.5,1
20190181,F,258,NA,IP (Y),SCHOOL Y,B,,,A,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,183,83,1.8,73.75,1
20190182,F,264,NA,IP (Y),SCHOOL Y,B,,,B,,,,C,C,,,,,,,,,,,A,,,,,,,,,,,,,,,A,C,Passed,337,69,2.3,68.75,1
20190183,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,D,,,C,,,,B,D,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,602,45,3,60,1
20190184,M,253,NA,IP (X),SCHOOL X,C,,,B,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,410,63,2.5,66.25,1
20190185,M,255,NA,IP (X),SCHOOL X,B,,,C,,,B,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,337,69,2.3,68.75,2
20190186,F,263,NA,IP (Y),SCHOOL Y,D,,,U,,,,C,D,,,,,,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,848,23,4.3,48.75,1
20190187,F,0,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,C,,,U,,,,,,C,,,D,,E,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,4.8,45,1
20190188,F,0,NA,JAE Ordinary Admission,NGEE ANN SECONDARY SCHOOL,C,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,104,90,1.3,76.25,2
20190189,F,259,NA,IP (Y),SCHOOL Y,C,,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,260,76,1.8,71.25,1
20190190,F,259,NA,IP (Y),SCHOOL Y,B,,,C,,,,,,,B,,,A,,,,A,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.8,73.75,3
20190191,F,264,NA,IP (Y),SCHOOL Y,C,,,B,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,229,79,1.8,72.5,2
20190192,F,246,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,C,,,B,,,,,,,B,,,B,,D,,,,,,,,,,,,,,,,,,,B,A,Passed,410,63,2.5,66.25,2
20190193,F,258,NA,IP (Y),SCHOOL Y,D,,,C,,,B,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,644,42,3.3,58.75,1
20190194,M,255,NA,IP (X),SCHOOL X,D,,,A,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.5,73.75,2
20190195,F,261,NA,IP (Y),SCHOOL Y,B,,,D,,,,,,B,,,B,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,455,59,2.8,65,1
20190196,M,255,NA,IP (X),SCHOOL X,C,,,B,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,260,76,1.8,71.25,2
20190197,M,253,NA,IP (X),SCHOOL X,E,,,E,,,S,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,980,11,5,40,2
20190198,M,255,NA,IP (X),SCHOOL X,B,,,S,,,E,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,848,23,4.5,48.75,1
20190199,M,256,NA,IP (X),SCHOOL X,E,,,B,,,D,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,569,48,2.8,61.25,1
20190200,M,259,NA,IP (X),SCHOOL X,C,,,A,,,,A,A,,,,,,,,,,,,,,,,,B,,,,,,,,,A,B,Passed,104,90,1.3,76.25,1
20190201,M,258,NA,IP (X),SCHOOL X,C,,,D,,,D,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,759,31,3.8,53.75,1
20190202,M,260,NA,IP (X),SCHOOL X,C,,,S,,,,,,,D,,,MC,,C,,,,,,,,,,,,,,,,,,,B,C,Passed,980,11,4.3,40,1
20190203,F,270,NA,IP (Y),SCHOOL Y,C,,,A,,,,D,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,2,71.25,1
20190204,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,D,,,C,,,,,,B,,,E,,D,,,,,,,,,,,,,,,,,,,,A,B,Passed,702,36,3.5,56.25,1
20190205,M,263,NA,IP (X),SCHOOL X,B,,,B,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.3,77.5,1
20190206,F,261,NA,IP (Y),SCHOOL Y,E,,,D,,,C,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,759,31,3.5,53.75,1
20190207,F,244,NA,Appeals (Academic),ST. MARGARET'S SECONDARY SCHOOL,D,,,E,,,,D,C,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,803,27,4,51.25,1
20190208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,D,,,E,,,E,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,803,27,4,51.25,1
20190209,M,244,NA,IP (X),SCHOOL X,C,,,C,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,493,55,2.8,63.75,2
20190210,M,261,NA,IP (X),SCHOOL X,C,,,B,,,,A,A,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,260,76,2,71.25,2
20190211,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,C,,,B,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,183,83,1.5,73.75,1
20190212,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,EX,,B,,,,,,,,C,,,U,,,,E,,,,,,,,,,,,,,,,,A,A,Passed,948,14,4.3,42.5,2
20190213,M,256,NA,IP (X),SCHOOL X,E,,,B,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,539,51,2.5,62.5,1
20190214,F,0,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,D,,,A,,A,D,,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,NA,Passed,372,66,2.3,67.5,2
20190215,F,260,NA,IP (Y),SCHOOL Y,D,,,S,,,D,,,C,,,,,,,,,,,,,,,,,,,,,D,,,,A,B,Passed,915,17,4.3,45,1
20190216,M,258,NA,IP (X),SCHOOL X,B,,,B,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,372,66,2.5,67.5,2
20190217,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,S,,,A,,,B,B,,,,,S,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,602,45,2.8,60,2
20190218,F,0,NA,IP (Y),SCHOOL Y,,A,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,80,2
20190219,F,223,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),D,,,E,,,,D,C,,,,,,,,,,,,,,,,,,,,,,A,,,,A,NA,Passed,759,31,3.6,53.75,1
20190220,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,S,,,D,,,E,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,B,E,Passed,874,21,4,47.5,1
20190221,M,0,NA,JAE Ordinary Admission,MONTFORT SECONDARY SCHOOL,C,,,D,,,S,,,,,,D,,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,829,25,4.3,50,0
20190222,M,256,NA,IP (X),SCHOOL X,B,,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,297,73,2,70,1
20190223,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),D,,,B,,,B,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,493,55,2.8,63.75,1
20190224,M,232,NA,IP (X),SCHOOL X,S,,,E,,,,C,C,,,,D,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,829,25,3.8,50,1
20190225,F,0,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,C,,,S,,,,E,,,,,C,,C,,,,,,,,,,,,,,,,,,,,A,B,Passed,829,25,4.3,50,1
20190226,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,B,,,U,,,MC,,,,,,,,E,,,,,,,,,,,,,,,,C,,,,A,E,Passed,1068,4,5.4,26.25,2
20190227,F,271,NA,IP (Y),SCHOOL Y,C,,,C,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,372,66,2.3,67.5,1
20190228,F,263,NA,IP (Y),SCHOOL Y,C,,,E,,,E,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,874,21,4.5,47.5,1
20190229,F,0,NA,JAE Ordinary Admission,CHIJ KATONG CONVENT,,A,,B,,,,,,B,,,,,B,,,,,,,,,,,,,,,,,,,,A,B,Passed,229,79,1.8,72.5,1
20190230,M,258,NA,IP (X),SCHOOL X,C,,,B,E,,B,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,602,45,3.3,60,1
20190231,F,245,NA,IP (Y),SCHOOL Y,D,,,E,,,,D,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,702,36,3.5,56.25,1
20190232,F,258,NA,IP (Y),SCHOOL Y,C,,,S,,,,U,E,,,,U,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,1078,3,6.3,22.5,1
20190233,F,259,NA,IP (Y),SCHOOL Y,C,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.5,73.75,1
20190234,F,265,NA,IP (Y),SCHOOL Y,,,A,A,,,,,,,B,,,A,,,,,,,,,,,,,,,,,,,,,A,A,Passed,46,95,1.3,77.5,1
20190235,M,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,C,,,B,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,1
20190236,F,257,NA,IP (Y),SCHOOL Y,C,,,D,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,493,55,2.8,63.75,1
20190237,F,233,NA,IP (Y),SCHOOL Y,D,,,E,,,,C,C,,,,,,,,,,,,,,,,,,,,,,E,,,,A,B,Passed,803,27,3.9,51.25,1
20190238,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),D,,,A,,,,A,,,,,B,,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,260,76,1.8,71.25,1
20190239,M,254,NA,IP (X),SCHOOL X,D,,,U,,,,,,,,,U,,,,U,,,,,,,,,,,,C,,,,,,B,B,Failed,1097,1,6.4,13.75,1
20190240,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,C,,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,229,79,1.8,72.5,1
20190241,M,245,NA,IP (X),SCHOOL X,D,,,E,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,702,36,3.5,56.25,1
20190242,F,251,NA,IP (Y),SCHOOL Y,C,,,B,,,B,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,493,55,2.8,63.75,2
20190243,F,261,NA,IP (Y),SCHOOL Y,C,,,B,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,410,63,2.5,66.25,1
20190244,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,E,,,S,,,,D,B,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,829,25,4,50,1
20190245,F,263,NA,IP (Y),SCHOOL Y,D,,,U,,,,S,C,,,,U,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1068,4,5.8,26.25,1
20190246,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,D,,,C,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,493,55,2.5,63.75,1
20190247,F,268,NA,IP (Y),SCHOOL Y,E,,,E,,,,B,E,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,732,34,3.5,55,1
20190248,F,269,NA,IP (Y),SCHOOL Y,B,,,B,,,,C,A,,,,,,,,,,,,,,B,,,,,,,,,,,,A,A,Passed,260,76,2,71.25,1
20190249,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,E,,,U,,,,MC,,,,,S,,S,,,,,,,,,,,,,,,,,,,,B,A,Failed,1094,1,6.3,15,1
20190250,F,266,NA,IP (Y),SCHOOL Y,B,,,B,,,,A,B,,,,,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,229,79,1.8,72.5,2
20190251,F,266,NA,IP (Y),SCHOOL Y,B,,,E,,,,B,A,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,493,55,3,63.75,1
20190252,M,264,NA,IP (X),SCHOOL X,B,,,A,,,A,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,A,Passed,18,98,1,78.75,1
20190253,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,C,,,C,,,,D,B,,,,C,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,569,48,3,61.25,1
20190254,F,239,NA,DSA (CCA),CHUNG CHENG HIGH SCHOOL (MAIN),D,,,S,,,S,,,,,,E,,,,,,,,,,,,,,,,C,,,,,,A,E,Passed,1034,7,5.3,33.75,1
20190255,M,260,NA,IP (X),SCHOOL X,,B,,E,,,S,D,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,4.3,45,1
20190256,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,D,,,B,,,C,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,493,55,2.5,63.75,1
20190257,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,E,,,S,,,,E,D,,,,S,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,1027,7,5.3,35,2
20190258,M,260,NA,IP (X),SCHOOL X,D,,,A,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,297,73,2,70,1
20190259,F,261,NA,IP (Y),SCHOOL Y,C,,,S,,,,,,C,,,E,,D,,,,,,,,,,,,,,,,,,,,A,A,Passed,874,21,4.5,47.5,1
20190260,M,0,NA,IP (X),SCHOOL X,,,B,,,,,,,,B,,,,,B,,,,,,,,,,B,,,,,,,,,A,A,Passed,297,73,2,70,2
20190261,M,250,NA,IP (X),SCHOOL X,C,,,U,,,D,S,,,,,,,,,,,,,,,,,,,,,,,E,,,,B,C,Passed,1059,4,5.6,30,1
20190262,F,242,NA,IP (Y),SCHOOL Y,B,,,,,,,,,C,,,E,,C,,,,,,,,,,,,B,,,,,,,,A,A,Passed,674,39,3.4,57.5,1
20190263,F,261,NA,IP (Y),SCHOOL Y,C,,,C,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2,70,1
20190264,F,262,NA,IP (Y),SCHOOL Y,C,,,S,,,,MC,,,,,B,,,,MC,,,,,,,,,,,,,,,,,,A,B,Passed,1059,4,4,30,1
20190265,F,259,NA,IP (Y),SCHOOL Y,B,,,C,,S,E,,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,900,19,4.8,46.25,1
20190266,F,265,NA,IP (Y),SCHOOL Y,D,,,A,C,,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,644,42,3.3,58.75,2
20190267,M,266,NA,IP (X),SCHOOL X,B,,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,141,87,1.5,75,2
20190268,M,255,NA,IP (X),SCHOOL X,D,,,B,,,B,A,,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,410,63,2.5,66.25,0
20190269,F,0,NA,JAE Ordinary Admission,PRESBYTERIAN HIGH SCHOOL,S,,,A,,,C,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,A,A,Passed,455,59,2,65,1
20190270,M,241,NA,DSA,ANGLICAN HIGH SCHOOL,,,B,U,,,,,,,C,,,D,,,,,,,,,,,,,,,,,,,,,A,D,Passed,915,17,4,45,2
20190271,F,261,NA,IP (Y),SCHOOL Y,C,,,D,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,602,45,3.3,60,1
20190272,M,254,NA,IP (X),SCHOOL X,S,,,B,,,B,,,,,,D,,,,,,,,,B,,,,,,,,,,,,,A,A,Passed,569,48,2.5,61.25,1
20190273,F,268,NA,IP (Y),SCHOOL Y,A,,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,18,98,1.3,78.75,1
20190274,F,249,NA,IP (Y),SCHOOL Y,C,,,A,,,,B,B,,,,,,,,,,,A,,,,,,,,,,,,,,,A,B,Passed,183,83,1.5,73.75,1
20190275,F,267,NA,IP (Y),SCHOOL Y,B,,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,46,95,1.3,77.5,2
20190276,F,261,NA,IP (Y),SCHOOL Y,E,,,C,,C,C,,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,674,39,3,57.5,1
20190277,M,0,NA,JAE Ordinary Admission,SCHOOL X,D,,,C,,,C,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,644,42,3,58.75,1
20190278,M,254,NA,IP (X),SCHOOL X,C,,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,260,76,1.8,71.25,1
20190279,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,D,,,S,,,,E,C,,,,E,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,934,16,4.8,43.75,1
20190280,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),C,,,D,,,,E,D,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,829,25,4.3,50,1
20190281,M,260,NA,IP (X),SCHOOL X,D,,,U,,,C,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,848,23,4.3,48.75,1
20190282,M,256,NA,IP (X),SCHOOL X,E,,,A,B,,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,1.8,70,1
20190283,F,258,NA,IP (Y),SCHOOL Y,E,,,D,,E,E,,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,915,17,4.5,45,1
20190284,F,264,NA,IP (Y),SCHOOL Y,C,,,D,,,,E,C,,,,,,,,,,,,,,,,,,,,,,,C,,,A,B,Passed,784,29,3.9,52.5,1
20190285,M,256,NA,IP (X),SCHOOL X,E,,,D,,,,,,,,,D,,,,,,,,E,D,,,,,,,,,,,,,A,A,Passed,874,21,4.3,47.5,0
20190286,F,247,NA,IP (Y),SCHOOL Y,D,,,D,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,539,51,2.8,62.5,1
20190287,F,257,NA,IP (Y),SCHOOL Y,D,,,D,,D,D,,,,,,,,,,,,,,,,C,,,,,,,,,,,,A,A,Passed,784,29,3.8,52.5,1
20190288,F,264,NA,IP (Y),SCHOOL Y,E,,,E,,,,,,,D,,,S,,,,,,,,C,,,,,,,,,,,,,A,A,Passed,915,17,4.5,45,1
20190289,F,257,NA,IP (Y),SCHOOL Y,B,,,B,,,,,,,A,,,D,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,297,73,2.3,70,1
20190290,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,D,,,B,,,C,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,702,36,3.5,56.25,1
20190291,F,260,NA,IP (Y),SCHOOL Y,,A,,D,,,D,B,,,,,,,,,,,,,,,,,,,,,,,B,,,,A,A,Passed,455,59,2.7,65,1
20190292,M,255,NA,IP (X),SCHOOL X,C,,,B,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,183,83,1.5,73.75,1
20190293,M,0,NA,IP (X),SCHOOL X,C,,,E,,,C,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,784,29,4,52.5,0
