NEWID,MA2
20200001,0
20200002,0
20200003,0
20200004,1
20200005,2
20200006,0
20200007,2
20200008,0
20200009,0
20200010,0
20200011,0
20200012,0
20200013,1
20200014,0
20200015,0
20200017,2
20200018,0
20200019,0
20200020,1
20200021,2
20200022,0
20200023,1
20200024,0
20200025,0
20200026,1
20200027,0
20200028,0
20200029,0
20200030,1
20200031,2
20200032,0
20200033,0
20200034,0
20200035,1
20200036,0
20200037,0
20200039,0
20200040,2
20200041,2
20200042,0
20200043,0
20200045,0
20200046,0
20200047,0
20200048,0
20200049,0
20200050,0
20200051,2
20200052,2
20200053,0
20200054,1
20200055,0
20200056,1
20200057,0
20200058,0
20200059,0
20200060,0
20200061,0
20200062,0
20200063,0
20200064,0
20200065,0
20200066,1
20200067,0
20200068,0
20200069,0
20200070,0
20200071,0
20200072,2
20200073,0
20200074,0
20200075,0
20200076,0
20200077,2
20200078,1
20200079,0
20200080,0
20200081,0
20200082,2
20200083,2
20200084,0
20200085,0
20200087,3
20200088,0
20200089,0
20200090,1
20200091,1
20200092,0
20200093,2
20200094,0
20200095,0
20200096,2
20200097,0
20200098,1
20200099,0
20200100,0
20200101,1
20200102,0
20200103,0
20200104,0
20200105,0
20200106,0
20200107,0
20200108,0
20200109,0
20200111,0
20200112,0
20200113,0
20200114,0
20200115,0
20200117,0
20200118,0
20200119,1
20200120,0
20200121,2
20200122,0
20200123,0
20200124,0
20200125,0
20200126,1
20200127,2
20200128,1
20200129,0
20200130,0
20200131,0
20200132,1
20200133,0
20200135,0
20200136,2
20200137,0
20200138,1
20200139,0
20200140,1
20200141,0
20200142,0
20200143,0
20200144,0
20200145,0
20200146,0
20200147,0
20200148,0
20200149,1
20200150,2
20200151,0
20200152,0
20200153,0
20200154,0
20200155,0
20200156,1
20200157,0
20200158,2
20200159,1
20200160,0
20200162,0
20200163,0
20200164,0
20200165,0
20200166,0
20200167,0
20200168,0
20200169,0
20200170,0
20200171,0
20200172,0
20200173,1
20200174,0
20200175,0
20200176,2
20200177,0
20200178,1
20200179,0
20200180,0
20200181,1
20200182,0
20200183,0
20200184,0
20200186,0
20200187,0
20200188,0
20200189,0
20200190,0
20200191,0
20200192,0
20200193,0
20200194,0
20200195,0
20200196,1
20200198,1
20200199,0
