NEWID,MA2
20200200,3
20200201,0
20200202,0
20200203,0
20200204,0
20200205,0
20200206,1
20200207,0
20200208,0
20200209,0
20200210,1
20200211,0
20200212,0
20200213,0
20200214,1
20200215,0
20200216,0
20200217,3
20200218,0
20200219,0
20200220,3
20200221,0
20200222,0
20200223,0
20200224,0
20200225,0
20200226,0
20200227,0
20200228,0
20200229,0
20200230,0
20200231,0
20200232,0
20200233,1
20200234,0
20200235,1
20200236,0
20200237,0
20200238,1
20200239,0
20200240,0
20200241,0
20200242,0
20200243,0
20200244,1
20200245,0
20200246,0
20200247,0
20200248,0
20200249,0
20200250,0
20200251,0
20200252,0
20200253,0
20200254,1
20200255,0
20200256,0
20200257,0
20200258,0
20200259,0
20200260,0
20200261,3
20200262,0
20200263,0
20200265,1
20200266,0
20200267,0
20200268,0
20200269,0
20200270,0
20200271,0
20200272,1
20200274,0
20200275,0
20200276,0
20200277,1
20200278,0
20200279,0
20200280,0
20200281,0
20200282,0
20200283,0
20200284,0
20200285,0
20200286,0
20200287,0
20200288,0
20200289,0
20200290,0
20200291,0
20200292,0
20200293,0
20200294,1
20200295,1
20200296,0
20200297,0
20200298,0
20200299,0
20200300,3
20200301,1
20200302,1
20200303,0
20200304,1
20200305,0
20200306,0
20200307,0
20200308,0
20200309,3
20200310,0
20200311,0
20200312,0
20200313,1
20200314,0
20200315,0
20200316,0
20200317,0
20200318,0
20200319,0
20200320,0
20200321,0
20200322,0
20200323,1
20200324,0
20200325,1
20200326,0
20200327,0
20200328,0
20200330,0
20200331,0
20200332,3
20200333,0
20200334,0
20200335,0
20200336,0
20200337,1
20200338,0
20200339,2
20200340,0
20200341,0
20200342,1
20200343,0
20200344,0
20200345,3
20200347,0
20200348,0
20200349,0
20200350,0
20200351,0
20200352,0
20200353,0
20200354,0
20200355,0
20200356,0
20200357,2
20200358,0
20200359,0
20200360,0
20200361,0
20200362,0
20200363,0
20200364,0
20200365,0
20200366,1
20200367,0
20200368,0
20200370,1
20200371,0
20200372,0
20200373,2
20200374,0
20200375,0
20200376,0
20200378,0
20200379,0
20200380,0
20200381,0
20200382,0
20200383,2
20200384,0
20200385,0
20200386,0
20200387,0
20200388,0
20200389,0
20200390,0
20200391,0
20200392,0
20200393,0
20200394,4
20200395,0
20200398,0
20200399,0
20200400,0
20200401,2
20200402,3
20200403,0
20200404,0
20200405,0
20200406,0
20200407,0
20200408,0
20200409,0
20200410,0
20200411,0
20200412,0
20200413,1
20200414,0
20200415,0
20200416,0
20200418,1
20200419,0
20200420,0
20200421,0
20200422,1
20200423,0
20200424,0
20200425,0
20200426,0
20200427,4
20200428,0
20200429,0
20200430,1
20200431,0
20200432,0
20200433,0
20200434,2
20200435,0
20200436,0
20200437,0
20200438,0
20200439,0
20200440,1
20200441,0
20200442,0
20200443,0
20200444,2
20200445,0
20200446,0
20200447,0
20200448,3
20200449,1
20200450,4
20200451,1
20200452,0
20200453,0
20200454,0
20200455,0
20200456,0
20200457,1
20200458,1
20200459,0
20200460,0
20200461,0
20200462,0
20200463,0
20200464,1
20200465,0
20200466,0
20200467,0
20200468,1
20200469,0
20200470,0
20200471,0
20200473,0
20200474,0
20200475,0
20200476,0
20200477,0
20200478,0
20200479,2
20200480,0
20200481,1
20200482,0
20200483,0
20200484,2
20200485,4
20200486,1
20200487,0
20200488,0
20200489,1
20200490,0
20200491,0
20200492,4
20200493,0
20200494,0
20200495,0
20200496,0
20200497,0
20200498,0
20200499,0
20200500,0
