NEWID,GENDER_F,GENDER_M,INTAKE_DSA,INTAKE_DSA (CCA),INTAKE_IP (X),INTAKE_IP (Y),INTAKE_JAE Ordinary Admission,SEC SCHOOL_BUKIT PANJANG GOVT. HIGH SCHOOL,SEC SCHOOL_CATHOLIC HIGH SCHOOL,SEC SCHOOL_CHIJ ST. NICHOLAS GIRLS' SCHOOL,SEC SCHOOL_CHUNG CHENG HIGH SCHOOL (MAIN),SEC SCHOOL_METHODIST GIRLS' SCHOOL (SECONDARY),SEC SCHOOL_NAN HUA HIGH SCHOOL,SEC SCHOOL_SCHOOL X,SEC SCHOOL_SCHOOL Y,SEC SCHOOL__Minority_Sch,KI,FM2,CP2,PH2,CH2,BY2,EL2,ELL2,EC2,EH2,EG2,S1_2,S2_2,S3_2,S4_2,S5_2,EC1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,S1_3-MOE,Foreign_Lang,H1_Arts,H1_Sci,S2_3_EC3-MOE,MA2,PTS,NO OF CCA,GP/KI,H1,H3,GP/KI_C1,MA2_C1,H1_C1,PTS_C1,PTS_Sec4,AM,EM,CIP HOURS,CCA President,CCA Sec-Treas,CCA Role,CT Rep,CIP Leader,CIP Organiser
20190019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,71.25,1,2,0,5,3,52.9,0,61.25,1.362968533,6,2,14,0,0,0,0,0,1
20190020,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,42.5,1,3,6,5,5,36.2,5,32.5,2.750926165,1,1,4,0,0,0,0,0,0
20190021,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.5,76.25,1,2,1,5,3,49.8,0,56.25,0.195460543,2,1,158.6,0,1,0,0,0,0
20190022,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,81.25,1,3,0,5,5,64.7,0,66.25,-0.315632581,1,1,87.5,0,0,0,0,1,0
20190023,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,75,1,2,0,5,4,41.2,0,63.75,0.195460543,2,2,99,0,0,0,0,1,0
20190024,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,83.75,1,2,0,5,4,49.4,0,60,0.195460543,1,1,0,0,0,0,0,0,0
20190025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,71.25,1,2,0,5,2,48.1,0,65,0.033218254,1,1,56.5,0,0,0,0,1,0
20190026,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,72.5,1,2,0,5,3,54.6,0,57.5,-0.903651262,1,1,26.5,1,0,0,0,0,0
20190027,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,75,1,2,0,5,4,62.2,0,62.5,0.706553668,1,1,44.5,0,0,0,0,1,0
20190028,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68,85,1,2,0,1,2,71.9,0,77.5,-0.826725705,1,1,54,0,0,0,0,0,1
20190029,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,77.5,1,1,0,5,1,48.1,0,70,0.123883045,2,2,220.5,0,0,1,0,0,1
20190030,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47.5,52.5,1,2,2,5,5,36.6,3,37.5,2.299838049,2,4,9,0,0,0,0,0,0
20190031,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,63.75,2,3,0,5,4,30.4,0,31.25,0.195460543,1,1,22,0,0,0,0,0,1
20190032,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.5,80,2,3,0,5,4,48.7,0,65,-0.465438101,1,2,52,0,0,1,1,0,1
20190033,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59.5,81.25,1,4,2,5,5,58.5,4,68.75,2.61716482,5,1,0,0,0,0,0,0,0
20190034,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53.75,1,2,0,5,4,28.8,0,41.25,0.706553668,2,1,106.2,0,0,0,0,1,0
20190035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57.5,78.75,2,2,0,2,3,48.9,0,73.75,-0.571213692,2,1,71.5,0,0,1,1,0,1
20190036,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,66.25,1,2,3,5,4,27.1,3,41.25,1.876735687,3,5,24,0,0,1,1,0,1
20190037,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,60,2,3,0,5,5,51.1,0,45,1.121195755,1,1,75,0,0,1,0,0,1
20190038,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,86.25,1,1,0,5,2,60,0,71.25,-0.722321678,1,1,18.5,0,0,0,0,0,1
20190039,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,63.75,1,4,0,5,6,50.2,0,42.5,1.728739916,1,1,10,0,0,0,0,0,0
20190040,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,61.25,1,4,3,5,5,49.8,4,46.25,1.922068083,1,1,160.9,0,0,0,0,0,0
20190041,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,82.5,1,2,0,5,5,53,0,65,-0.826725705,1,1,81.8,0,0,0,0,1,0
20190042,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,40,2,1,0,1,1,90.4,0,80,-1.024537651,1,1,83,0,0,1,0,1,0
20190043,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,75,1,3,0,5,5,51.2,0,50,-0.435216504,1,1,8,0,0,0,0,0,0
20190044,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.5,82.5,1,2,0,2,3,83.6,0,76.25,-0.268997719,1,1,19,0,0,0,0,0,0
20190045,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,85,1,2,0,3,2,56.8,0,71.25,-0.826725705,1,1,33,1,0,0,0,0,0
20190046,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,32.5,1,2,0,5,3,45.1,0,32.5,1.045641762,1,1,15,0,0,0,0,1,0
20190047,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.5,87.5,1,2,0,4,2,65.9,0,75,-0.873429664,1,1,27.5,0,0,0,0,0,0
20190048,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,73.75,2,2,0,5,3,49.5,0,55,-0.826725705,1,1,34,0,0,1,1,0,1
20190049,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,76.25,1,2,0,5,4,44,0,51.25,0.985198567,3,1,9,1,0,0,0,0,0
20190050,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77,87.5,1,2,0,2,3,57.8,0,73.75,-0.979205255,1,1,200,0,0,0,0,0,0
20190051,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,81.25,1,2,0,2,5,60.2,0,68.75,-0.315632581,1,1,26.5,0,0,0,0,1,0
20190052,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75.5,87.5,2,2,0,1,2,71.2,0,78.75,-1.311642825,1,1,103.3,1,0,0,0,0,1
20190053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,82.5,1,2,0,3,3,57.8,0,76.25,-0.299219316,1,1,83.5,0,1,0,0,1,0
20190054,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84,90,2,1,0,1,3,78.5,0,77.5,-1.175645637,1,1,29.7,0,0,1,0,0,0
20190055,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,78.75,1,3,0,5,4,58.2,0,63.75,-0.133000531,1,1,6,0,0,1,0,0,0
20190057,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,76.25,2,2,0,5,2,55.7,0,65,-0.465438101,2,1,42,0,0,0,0,0,0
