NEWID,MA2
20180001,0
20180002,0
20180003,0
20180005,0
20180006,0
20180007,0
20180008,1
20180009,1
20180010,0
20180011,0
20180012,0
20180013,0
20180014,0
20180015,0
20180016,0
20180017,0
20180018,0
20180020,0
20180021,0
20180022,0
20180023,0
20180024,0
20180025,0
20180026,0
20180028,0
20180029,0
20180030,0
20180031,0
20180032,0
20180033,0
20180034,0
20180035,0
20180036,0
20180037,0
20180038,1
20180039,0
20180040,0
20180041,1
20180042,0
20180043,0
20180044,0
20180045,0
20180046,2
20180047,0
20180049,0
20180050,0
20180051,2
20180052,1
20180053,0
20180054,1
20180055,0
20180056,2
20180057,0
20180058,0
20180059,2
20180060,1
20180061,0
20180062,0
20180063,0
20180064,0
20180065,0
20180066,0
20180067,0
20180068,1
20180069,0
20180070,1
20180071,0
20180072,0
20180073,0
20180074,0
20180075,0
20180076,0
20180077,0
20180078,3
20180080,0
20180082,0
20180083,0
20180084,0
20180085,0
20180086,0
20180087,0
20180088,0
20180089,0
20180090,0
20180091,0
20180092,0
20180093,0
20180094,0
20180096,1
20180097,1
20180098,0
20180099,0
20180100,0
20180101,0
20180102,0
20180103,0
20180104,0
20180105,0
20180106,0
20180108,0
20180109,1
20180110,0
20180111,0
20180112,0
20180113,0
20180114,1
20180115,0
20180116,0
20180117,0
20180118,0
20180119,0
20180120,1
20180121,0
20180122,0
20180123,0
20180124,0
20180125,0
20180126,2
20180127,0
20180128,1
20180130,0
20180132,0
20180133,0
20180134,1
20180135,1
20180136,0
20180137,0
20180138,0
20180139,1
20180140,0
20180141,1
20180142,0
20180143,0
20180144,0
20180145,0
20180146,0
20180147,1
20180148,3
20180149,2
20180150,0
20180151,0
20180152,0
20180153,0
20180154,0
20180155,0
20180156,0
20180157,0
20180158,0
20180159,0
20180160,3
20180161,0
20180162,0
20180163,0
20180164,0
20180165,0
20180166,0
20180167,0
20180168,0
20180169,1
20180170,0
20180171,0
20180173,3
20180174,0
20180175,1
20180176,0
20180177,0
20180178,2
20180179,0
20180180,0
20180182,2
20180183,1
20180184,1
20180185,0
20180186,0
20180187,0
20180188,0
20180189,0
20180190,0
20180191,0
20180192,1
20180193,0
20180194,1
20180195,4
20180196,1
20180197,0
20180198,0
20180199,0
20180200,0
20180201,0
20180202,0
20180203,0
20180204,0
20180205,0
20180206,0
20180207,2
20180208,0
20180209,1
20180210,0
20180211,0
20180212,1
20180213,0
20180214,0
20180215,0
20180216,0
20180217,0
20180218,0
20180219,0
20180220,0
20180221,2
20180222,0
20180223,3
20180224,0
20180225,1
20180226,0
20180227,0
20180228,0
20180229,0
20180231,0
20180232,0
20180233,0
20180234,1
20180235,0
20180236,0
20180237,0
20180238,0
20180239,0
20180241,0
20180242,1
20180243,1
20180244,0
20180245,0
20180246,0
20180247,3
20180248,1
20180249,1
20180250,0
20180251,0
20180252,0
20180253,0
20180254,0
20180255,1
20180256,0
20180257,0
20180258,0
20180259,1
20180260,1
20180261,1
20180262,1
20180263,1
20180264,0
20180265,0
20180266,0
20180267,1
20180268,1
20180269,0
20180270,0
20180271,0
20180272,0
20180273,0
20180274,0
20180275,0
20180276,0
20180277,0
20180278,0
20180279,0
20180280,0
20180281,0
20180282,0
20180283,0
20180284,0
20180285,0
20180286,0
20180287,0
20180288,0
20180289,1
20180290,1
20180291,0
20180292,0
20180293,0
20180294,0
20180295,0
20180296,0
20180297,0
20180298,0
20180299,0
20180300,2
20180301,0
20180302,0
20180303,2
20180304,0
20180305,0
20180306,0
20180307,2
20180308,0
20180309,1
20180311,2
20180312,0
20180313,0
20180314,0
20180315,0
20180316,0
20180317,3
20180318,1
20180319,0
20180320,0
20180321,0
20180322,0
20180323,0
20180324,0
20180325,0
20180326,0
20180327,0
20180328,0
20180329,0
20180330,1
20180331,0
20180332,3
20180334,0
20180335,1
20180336,0
20180337,1
20180338,0
20180339,0
20180340,2
20180341,2
20180342,1
20180343,2
20180344,0
20180345,0
20180346,0
20180348,0
20180349,0
20180350,0
20180351,0
20180352,0
20180353,0
20180354,0
20180355,0
20180356,0
20180357,0
20180358,4
20180359,0
20180360,0
20180361,0
20180362,1
20180363,1
20180365,0
20180366,0
20180367,0
20180368,0
20180369,0
20180370,0
20180371,0
20180372,0
20180373,0
20180374,0
20180375,0
20180376,0
20180377,1
20180378,0
20180379,0
20180380,0
20180381,0
20180382,0
20180384,0
20180385,0
20180386,1
20180387,0
20180388,2
20180389,0
20180390,0
20180391,0
20180392,0
20180393,0
20180395,1
20180396,2
20180397,2
20180398,0
20180399,0
20180400,0
20180401,2
20180402,1
20180403,0
20180404,0
20180405,1
20180406,2
20180407,0
20180408,0
20180409,0
20180410,0
20180411,1
20180412,0
20180413,1
20180414,1
20180415,0
20180416,2
20180417,0
20180419,0
20180420,0
20180421,0
20180422,0
20180423,0
20180424,0
20180425,0
20180426,0
20180427,0
20180428,0
20180429,0
20180430,0
20180431,0
20180432,0
20180433,1
20180434,2
20180436,0
20180438,0
20180439,2
20180441,0
20180442,0
20180443,0
20180444,0
20180445,0
20180446,0
20180447,0
20180448,0
20180450,0
20180451,1
20180452,1
20180453,2
20180454,1
20180455,0
20180456,0
20180457,0
20180458,0
20180459,0
20180460,0
20180461,0
20180463,0
20180464,1
20180465,0
20180466,0
20180467,1
20180468,0
20180469,0
20180470,2
20180471,0
20180472,0
20180473,2
20180474,2
20180475,0
20180476,0
20180477,0
20180478,0
20180479,0
20180480,0
20180481,0
20180483,0
20180484,1
20180485,0
20180486,0
20180487,0
20180488,0
20180489,0
20180490,0
20180491,0
20180492,0
20180493,0
20180494,4
20180495,0
20180496,0
20180497,0
20180498,1
20180499,2
20180500,0
